Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2005,5,2005-10-09,NO,1,1,0,0,0,0,0,0,0.0,,,,,,,,,,,,Aaron Rodgers
2005,15,2005-12-19,BAL,8,15,65,0,1,1,8,0,-2.6,,,,,,,,,,,,Aaron Rodgers
2006,17,2006-01-01,SEA,0,0,0,0,0,1,-1,0,-0.1,,,,,,,,,,,,Aaron Rodgers
2006,4,2006-10-02,PHI,2,3,14,0,0,0,0,0,0.56,,,,,,,,,,,,Aaron Rodgers
2006,11,2006-11-19,NE,4,12,32,0,0,2,11,0,0.3799999999999999,,,,,,,,,,,,Aaron Rodgers
2007,10,2007-11-11,MIN,2,2,17,0,0,2,-1,0,0.5800000000000001,,,,,,,,,,,,Aaron Rodgers
2007,13,2007-11-29,DAL,18,26,201,1,0,5,30,0,15.04,,,,,,,,,,,,Aaron Rodgers
2008,1,2008-09-08,MIN,18,22,178,1,0,8,35,1,18.62,,,,,,,,,,,,Aaron Rodgers
2008,2,2008-09-14,DET,24,38,328,3,0,4,25,0,23.62,,,,,,,,,,,,Aaron Rodgers
2008,3,2008-09-21,DAL,22,39,290,0,0,5,10,1,16.6,,,,,,,,,,,,Aaron Rodgers
2008,4,2008-09-28,TB,14,27,165,2,3,2,8,0,9.4,,,,,,,,,,,,Aaron Rodgers
2008,5,2008-10-05,ATL,25,37,313,3,1,2,4,0,22.92,,,,,,,,,,,,Aaron Rodgers
2008,6,2008-10-12,SEA,21,30,208,2,0,6,23,1,22.62,,,,,,,,,,,,Aaron Rodgers
2008,7,2008-10-19,IND,21,28,186,1,0,3,8,0,12.240000000000002,,,,,,,,,,,,Aaron Rodgers
2008,9,2008-11-02,TEN,22,41,314,1,1,2,11,0,13.660000000000004,,,,,,,,,,,,Aaron Rodgers
2008,10,2008-11-09,MIN,15,26,142,0,0,1,1,0,3.78,,,,,,,,,,,,Aaron Rodgers
2008,11,2008-11-16,CHI,23,30,227,2,1,1,1,0,15.18,,,,,,,,,,,,Aaron Rodgers
2008,12,2008-11-24,NO,23,41,248,2,3,8,36,1,19.520000000000003,,,,,,,,,,,,Aaron Rodgers
2008,13,2008-11-30,CAR,29,45,298,3,1,5,26,0,24.520000000000003,,,,,,,,,,,,Aaron Rodgers
2008,14,2008-12-07,HOU,19,30,295,2,1,1,4,0,18.2,,,,,,,,,,,,Aaron Rodgers
2008,15,2008-12-14,JAX,20,32,278,1,1,5,22,0,13.32,,,,,,,,,,,,Aaron Rodgers
2008,16,2008-12-22,CHI,24,39,260,2,1,2,-6,0,15.799999999999995,,,,,,,,,,,,Aaron Rodgers
2008,17,2008-12-28,DET,21,31,308,3,0,1,-1,0,22.22,,,,,,,,,,,,Aaron Rodgers
2009,1,2009-09-13,CHI,17,28,184,1,0,3,7,0,12.06,,,,,,,,,,,,Aaron Rodgers
2009,2,2009-09-20,CIN,21,39,261,1,0,4,43,0,16.74,,,,,,,,,,,,Aaron Rodgers
2009,3,2009-09-27,STL,13,23,269,2,0,8,38,1,28.56,,,,,,,,,,,,Aaron Rodgers
2009,4,2009-10-05,MIN,26,37,384,2,1,2,16,0,20.96,,,,,,,,,,,,Aaron Rodgers
2009,6,2009-10-18,DET,29,37,358,2,1,3,9,0,19.22,,,,,,,,,,,,Aaron Rodgers
2009,7,2009-10-25,CLE,15,20,246,3,0,4,23,0,24.14,,,,,,,,,,,,Aaron Rodgers
2009,8,2009-11-01,MIN,26,41,287,3,0,5,52,0,26.68,,,,,,,,,,,,Aaron Rodgers
2009,9,2009-11-08,TB,17,35,266,2,3,3,26,1,21.24,,,,,,,,,,,,Aaron Rodgers
2009,10,2009-11-15,DAL,25,36,189,1,0,5,15,1,15.06,,,,,,,,,,,,Aaron Rodgers
2009,11,2009-11-22,SF,32,45,344,2,0,7,13,0,21.06,,,,,,,,,,,,Aaron Rodgers
2009,12,2009-11-26,DET,28,39,348,3,0,1,5,0,24.42,,,,,,,,,,,,Aaron Rodgers
2009,13,2009-12-07,BAL,26,40,263,3,2,4,30,0,21.52,,,,,,,,,,,,Aaron Rodgers
2009,14,2009-12-13,CHI,16,24,180,0,0,3,6,0,5.8,,,,,,,,,,,,Aaron Rodgers
2009,15,2009-12-20,PIT,26,48,383,3,0,3,22,1,35.52,,,,,,,,,,,,Aaron Rodgers
2009,16,2009-12-27,SEA,12,23,237,1,0,1,9,0,12.38,,,,,,,,,,,,Aaron Rodgers
2010,17,2010-01-03,ARI,21,26,235,1,0,2,2,1,19.6,,,,,,,,,,,,Aaron Rodgers
2010,1,2010-09-12,PHI,19,31,188,2,2,5,9,0,12.419999999999998,,,,,,,,,,,,Aaron Rodgers
2010,2,2010-09-19,BUF,19,29,255,2,0,5,20,1,26.2,,,,,,,,,,,,Aaron Rodgers
2010,3,2010-09-27,CHI,34,45,316,1,1,2,20,1,22.64,,,,,,,,,,,,Aaron Rodgers
2010,4,2010-10-03,DET,12,17,181,3,2,3,20,0,17.240000000000002,,,,,,,,,,,,Aaron Rodgers
2010,5,2010-10-10,WAS,27,46,293,1,1,4,30,0,16.72,,,,,,,,,,,,Aaron Rodgers
2010,6,2010-10-17,MIA,18,33,313,1,1,4,14,1,21.92,,,,,,,,,,,,Aaron Rodgers
