Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,3.0,3,2018-09-20,CLE,NYJ,,17,23,73.9,201,0,0,8.7,8.74,100.1,1,8,2,-2,0,-1.0,1,5.839999999999999,2018,Baker Mayfield
2.0,2.0,4.0,4,2018-09-30,CLE,LV,*,21,41,51.2,295,2,2,7.2,5.98,70.7,2,16,4,10,0,2.5,2,12.8,2018,Baker Mayfield
3.0,3.0,5.0,5,2018-10-07,CLE,BAL,*,25,43,58.1,342,1,1,8.0,7.37,81.7,5,38,2,23,0,11.5,0,17.98,2018,Baker Mayfield
4.0,4.0,6.0,6,2018-10-14,CLE,LAC,*,22,46,47.8,238,1,2,5.2,3.65,52.6,5,24,2,8,0,4.0,0,10.32,2018,Baker Mayfield
5.0,5.0,7.0,7,2018-10-21,CLE,TB,*,23,34,67.6,215,2,0,6.3,7.5,104.4,5,29,4,43,0,10.8,1,18.900000000000002,2018,Baker Mayfield
6.0,6.0,8.0,8,2018-10-28,CLE,PIT,*,22,36,61.1,180,2,1,5.0,4.86,80.8,2,17,1,9,0,9.0,0,14.099999999999998,2018,Baker Mayfield
7.0,7.0,9.0,9,2018-11-04,CLE,KC,*,29,42,69.0,297,2,1,7.1,6.95,95.0,2,22,0,0,0,,0,17.880000000000003,2018,Baker Mayfield
8.0,8.0,10.0,10,2018-11-11,CLE,ATL,*,17,20,85.0,216,3,0,10.8,13.8,151.2,0,0,6,20,0,3.3,1,20.64,2018,Baker Mayfield
9.0,9.0,11.0,12,2018-11-25,CLE,CIN,*,19,26,73.1,258,4,0,9.9,13.0,143.9,0,0,4,-4,0,-1.0,0,25.92,2018,Baker Mayfield
10.0,10.0,12.0,13,2018-12-02,CLE,HOU,*,29,43,67.4,397,1,3,9.2,6.56,75.4,0,0,0,0,0,,0,13.880000000000003,2018,Baker Mayfield
11.0,11.0,13.0,14,2018-12-09,CLE,CAR,*,18,22,81.8,238,1,0,10.8,11.73,126.9,1,6,4,2,0,0.5,1,11.719999999999999,2018,Baker Mayfield
12.0,12.0,14.0,15,2018-12-15,CLE,DEN,*,18,31,58.1,188,2,1,6.1,5.9,83.8,2,13,4,6,0,1.5,1,12.120000000000001,2018,Baker Mayfield
13.0,13.0,15.0,16,2018-12-23,CLE,CIN,*,27,37,73.0,284,3,0,7.7,9.3,121.9,0,0,6,16,0,2.7,0,24.96,2018,Baker Mayfield
14.0,14.0,16.0,17,2018-12-30,CLE,BAL,*,23,42,54.8,376,3,3,9.0,7.17,79.1,0,0,0,0,0,,0,21.04,2018,Baker Mayfield
15.0,15.0,1.0,1,2019-09-08,CLE,TEN,*,25,38,65.8,285,1,3,7.5,4.47,64.0,5,41,0,0,0,,0,9.4,2019,Baker Mayfield
16.0,16.0,2.0,2,2019-09-16,CLE,NYJ,*,19,35,54.3,325,1,1,9.3,8.57,83.6,3,20,0,0,0,,0,15.0,2019,Baker Mayfield
17.0,17.0,3.0,3,2019-09-22,CLE,LAR,*,18,36,50.0,195,1,1,5.4,4.72,64.0,3,20,1,-1,0,-1.0,1,7.700000000000001,2019,Baker Mayfield
18.0,18.0,4.0,4,2019-09-29,CLE,BAL,*,20,30,66.7,342,1,1,11.4,10.57,102.4,1,5,3,1,0,0.3,0,15.780000000000001,2019,Baker Mayfield
19.0,19.0,5.0,5,2019-10-07,CLE,SF,*,8,22,36.4,100,0,2,4.5,0.45,13.4,4,42,0,0,0,,2,-4.0,2019,Baker Mayfield
20.0,20.0,6.0,6,2019-10-13,CLE,SEA,*,22,37,59.5,249,1,3,6.7,3.62,54.9,0,0,4,35,1,8.8,0,17.46,2019,Baker Mayfield
21.0,21.0,7.0,8,2019-10-27,CLE,NE,*,20,31,64.5,194,1,1,6.3,5.45,79.2,5,43,1,18,0,18.0,0,11.56,2019,Baker Mayfield
22.0,22.0,8.0,9,2019-11-03,CLE,DEN,*,27,42,64.3,273,1,0,6.5,6.98,90.7,2,12,3,22,0,7.3,0,17.12,2019,Baker Mayfield
23.0,23.0,9.0,10,2019-11-10,CLE,BUF,*,26,38,68.4,238,2,0,6.3,7.32,102.7,2,17,2,1,0,0.5,0,17.62,2019,Baker Mayfield
24.0,24.0,10.0,11,2019-11-14,CLE,PIT,*,17,32,53.1,193,2,0,6.0,7.28,92.3,1,4,1,1,1,1.0,0,21.82,2019,Baker Mayfield
25.0,25.0,11.0,12,2019-11-24,CLE,MIA,*,24,34,70.6,327,3,1,9.6,10.06,118.1,1,7,2,5,0,2.5,1,21.58,2019,Baker Mayfield
26.0,26.0,12.0,13,2019-12-01,CLE,PIT,*,18,32,56.3,196,1,1,6.1,5.34,71.9,5,23,1,2,0,2.0,1,8.04,2019,Baker Mayfield
27.0,27.0,13.0,14,2019-12-08,CLE,CIN,*,11,24,45.8,192,0,2,8.0,4.25,38.9,1,5,2,13,1,6.5,0,10.98,2019,Baker Mayfield
28.0,28.0,14.0,15,2019-12-15,CLE,ARI,*,30,43,69.8,247,2,1,5.7,5.63,90.0,1,6,2,11,0,5.5,0,16.980000000000004,2019,Baker Mayfield
29.0,29.0,15.0,16,2019-12-22,CLE,BAL,*,20,33,60.6,192,2,1,5.8,5.67,84.4,0,0,2,4,0,2.0,0,14.079999999999998,2019,Baker Mayfield
30.0,30.0,16.0,17,2019-12-29,CLE,CIN,*,12,27,44.4,279,3,3,10.3,7.56,79.6,6,40,4,29,0,7.3,1,18.06,2019,Baker Mayfield
31.0,31.0,1.0,1,2020-09-13,CLE,BAL,*,21,39,53.8,189,1,1,4.8,4.21,65.0,2,21,2,3,0,1.5,0,9.86,2020,Baker Mayfield
32.0,32.0,2.0,2,2020-09-17,CLE,CIN,*,16,23,69.6,219,2,1,9.5,9.3,110.6,0,0,3,5,0,1.7,0,15.259999999999998,2020,Baker Mayfield
33.0,33.0,3.0,3,2020-09-27,CLE,WAS,*,16,23,69.6,156,2,0,6.8,8.52,117.3,2,14,1,1,0,1.0,0,14.34,2020,Baker Mayfield
34.0,34.0,4.0,4,2020-10-04,CLE,DAL,*,19,30,63.3,165,2,0,5.5,6.83,100.0,2,1,3,6,0,2.0,0,15.2,2020,Baker Mayfield
35.0,35.0,5.0,5,2020-10-11,CLE,IND,*,21,37,56.8,247,2,2,6.7,5.32,72.7,1,4,2,17,0,8.5,1,13.580000000000002,2020,Baker Mayfield
36.0,36.0,6.0,6,2020-10-18,CLE,PIT,*,10,18,55.6,119,1,2,6.6,2.72,54.9,4,20,1,5,0,5.0,0,5.26,2020,Baker Mayfield
37.0,37.0,7.0,7,2020-10-25,CLE,CIN,*,22,28,78.6,297,5,1,10.6,12.57,135.6,0,0,1,-1,0,-1.0,0,29.78,2020,Baker Mayfield
38.0,38.0,8.0,8,2020-11-01,CLE,LV,*,12,25,48.0,122,0,0,4.9,4.88,62.4,0,0,6,29,0,4.8,0,7.779999999999999,2020,Baker Mayfield
39.0,39.0,9.0,10,2020-11-15,CLE,HOU,*,12,20,60.0,132,0,0,6.6,6.6,79.6,1,7,3,1,0,0.3,0,5.38,2020,Baker Mayfield
40.0,40.0,10.0,11,2020-11-22,CLE,PHI,*,12,22,54.5,204,0,0,9.3,9.27,86.2,3,17,6,9,0,1.5,2,5.0600000000000005,2020,Baker Mayfield
41.0,41.0,11.0,12,2020-11-29,CLE,JAX,*,19,29,65.5,258,2,0,8.9,10.28,116.7,2,6,4,1,0,0.3,0,18.42,2020,Baker Mayfield
42.0,42.0,12.0,13,2020-12-06,CLE,TEN,*,25,33,75.8,334,4,0,10.1,12.55,147.0,0,0,4,5,0,1.3,1,27.86,2020,Baker Mayfield
43.0,43.0,13.0,14,2020-12-14,CLE,BAL,*,28,47,59.6,343,2,1,7.3,7.19,87.5,0,0,5,23,1,4.6,1,26.02,2020,Baker Mayfield
44.0,44.0,14.0,15,2020-12-20,CLE,NYG,*,27,32,84.4,297,2,0,9.3,10.53,126.2,1,11,4,11,0,2.8,0,20.980000000000004,2020,Baker Mayfield
45.0,45.0,15.0,16,2020-12-27,CLE,NYJ,*,28,53,52.8,285,0,0,5.4,5.38,68.5,4,31,3,6,0,2.0,3,6.0,2020,Baker Mayfield
46.0,46.0,16.0,17,2021-01-03,CLE,PIT,*,17,27,63.0,196,1,0,7.3,8.0,97.1,4,30,6,44,0,7.3,0,16.240000000000002,2021,Baker Mayfield
47.0,47.0,1.0,1,2021-09-12,CLE,KC,*,21,28,75.0,321,0,1,11.5,9.86,97.5,2,17,1,7,0,7.0,0,11.54,2021,Baker Mayfield
48.0,48.0,2.0,2,2021-09-19,CLE,HOU,*,19,21,90.5,213,1,1,10.1,8.95,105.0,2,14,8,10,1,1.3,1,15.52,2021,Baker Mayfield
49.0,49.0,3.0,3,2021-09-26,CLE,CHI,*,19,31,61.3,246,1,0,7.9,8.58,97.0,5,43,4,31,0,7.8,0,16.94,2021,Baker Mayfield
50.0,50.0,4.0,4,2021-10-03,CLE,MIN,*,15,33,45.5,155,0,0,4.7,4.7,59.5,3,12,2,11,0,5.5,0,7.300000000000001,2021,Baker Mayfield
51.0,51.0,5.0,5,2021-10-10,CLE,LAC,*,23,32,71.9,305,2,0,9.5,10.78,122.5,1,4,2,8,0,4.0,1,19.0,2021,Baker Mayfield
52.0,52.0,6.0,6,2021-10-17,CLE,ARI,*,19,28,67.9,234,2,1,8.4,8.18,102.4,5,23,3,8,0,2.7,2,12.16,2021,Baker Mayfield
53.0,53.0,8.0,8,2021-10-31,CLE,PIT,*,20,31,64.5,225,0,0,7.3,7.26,86.1,4,15,1,5,0,5.0,0,9.5,2021,Baker Mayfield
54.0,54.0,9.0,9,2021-11-07,CLE,CIN,*,14,21,66.7,218,2,0,10.4,12.29,132.6,2,10,0,0,0,,0,16.72,2021,Baker Mayfield
55.0,55.0,10.0,10,2021-11-14,CLE,NE,*,11,21,52.4,73,1,1,3.5,2.29,56.2,2,17,0,0,0,,1,2.92,2021,Baker Mayfield
56.0,56.0,11.0,11,2021-11-21,CLE,DET,*,15,29,51.7,176,1,2,6.1,3.66,53.2,1,11,4,9,0,2.3,0,7.9399999999999995,2021,Baker Mayfield
57.0,57.0,12.0,12,2021-11-28,CLE,BAL,*,18,37,48.6,247,1,0,6.7,7.22,79.4,2,24,2,4,0,2.0,1,12.280000000000001,2021,Baker Mayfield
58.0,58.0,13.0,14,2021-12-12,CLE,BAL,*,22,32,68.8,190,2,1,5.9,5.78,91.9,0,0,6,14,0,2.3,0,15.0,2021,Baker Mayfield
59.0,59.0,15.0,16,2021-12-25,CLE,GB,*,21,36,58.3,222,2,4,6.2,2.28,55.3,5,33,2,11,0,5.5,0,9.980000000000004,2021,Baker Mayfield
60.0,60.0,16.0,17,2022-01-03,CLE,PIT,*,16,38,42.1,185,2,2,4.9,3.55,53.1,9,46,2,16,0,8.0,0,13.0,2022,Baker Mayfield
61.0,61.0,1.0,1,2022-09-11,CAR,CLE,*,16,27,59.3,235,1,1,8.7,7.78,84.6,4,28,5,6,1,1.2,4,10.0,2022,Baker Mayfield
62.0,62.0,2.0,2,2022-09-18,CAR,NYG,*,14,29,48.3,145,1,0,5.0,5.69,74.6,2,16,6,35,0,5.8,1,11.3,2022,Baker Mayfield
63.0,63.0,3.0,3,2022-09-25,CAR,NO,*,12,25,48.0,170,1,0,6.8,7.6,83.7,3,22,1,-1,0,-1.0,0,10.700000000000001,2022,Baker Mayfield
64.0,64.0,4.0,4,2022-10-02,CAR,ARI,*,22,36,61.1,197,1,2,5.5,3.53,61.9,2,17,2,0,0,0.0,1,5.879999999999999,2022,Baker Mayfield
65.0,65.0,5.0,5,2022-10-09,CAR,SF,*,20,36,55.6,215,0,1,6.0,4.72,61.7,4,16,0,0,0,,0,6.6,2022,Baker Mayfield
66.0,66.0,9.0,9,2022-11-06,CAR,CIN,,14,20,70.0,155,2,0,7.8,9.75,126.0,0,0,0,0,0,,0,14.2,2022,Baker Mayfield
67.0,67.0,11.0,11,2022-11-20,CAR,BAL,*,21,33,63.6,196,0,2,5.9,3.21,54.6,4,27,2,12,0,6.0,0,5.039999999999999,2022,Baker Mayfield
68.0,68.0,13.0,14,2022-12-08,LAR,LV,,22,35,62.9,230,1,0,6.6,7.14,91.4,4,19,4,10,0,2.5,0,14.2,2022,Baker Mayfield
69.0,69.0,14.0,15,2022-12-19,LAR,GB,*,12,21,57.1,111,1,1,5.3,4.1,67.8,5,27,1,1,0,1.0,1,4.540000000000001,2022,Baker Mayfield
70.0,70.0,15.0,16,2022-12-25,LAR,DEN,*,24,28,85.7,230,2,0,8.2,9.64,124.7,0,0,2,2,0,1.0,1,15.399999999999999,2022,Baker Mayfield
71.0,71.0,16.0,17,2023-01-01,LAR,LAC,*,11,19,57.9,132,0,0,6.9,6.95,79.3,3,21,3,8,0,2.7,1,4.08,2023,Baker Mayfield
72.0,72.0,17.0,18,2023-01-08,LAR,SEA,*,13,26,50.0,147,0,1,5.7,3.92,51.3,5,24,5,16,0,3.2,0,5.48,2023,Baker Mayfield
73.0,73.0,1.0,1,2023-09-10,TB,MIN,*,21,34,61.8,173,2,0,5.1,6.26,94.4,1,4,8,11,0,1.4,0,16.02,2023,Baker Mayfield
74.0,74.0,2.0,2,2023-09-17,TB,CHI,*,26,34,76.5,317,1,0,9.3,9.91,114.5,0,0,6,17,0,2.8,0,18.38,2023,Baker Mayfield
75.0,75.0,3.0,3,2023-09-25,TB,PHI,*,15,25,60.0,146,1,1,5.8,4.84,73.1,2,13,1,2,0,2.0,1,6.039999999999999,2023,Baker Mayfield
76.0,76.0,4.0,4,2023-10-01,TB,NO,*,25,32,78.1,246,3,1,7.7,8.16,116.9,1,7,8,31,0,3.9,0,22.94,2023,Baker Mayfield
77.0,77.0,5.0,6,2023-10-15,TB,DET,*,19,37,51.4,206,0,1,5.6,4.35,56.8,1,1,2,6,0,3.0,0,6.84,2023,Baker Mayfield
78.0,78.0,6.0,7,2023-10-22,TB,ATL,*,27,42,64.3,275,1,1,6.5,5.95,81.0,3,19,3,32,0,10.7,1,14.2,2023,Baker Mayfield
79.0,79.0,7.0,8,2023-10-26,TB,BUF,*,25,42,59.5,237,2,0,5.6,6.6,91.1,3,13,3,19,0,6.3,1,17.38,2023,Baker Mayfield
80.0,80.0,8.0,9,2023-11-05,TB,HOU,*,21,30,70.0,265,2,0,8.8,10.17,119.4,2,14,4,4,0,1.0,0,19.0,2023,Baker Mayfield
81.0,81.0,9.0,10,2023-11-12,TB,TEN,*,18,29,62.1,278,2,1,9.6,9.41,102.4,3,15,3,12,0,4.0,1,16.319999999999997,2023,Baker Mayfield
82.0,82.0,10.0,11,2023-11-19,TB,SF,*,29,45,64.4,246,1,1,5.5,4.91,76.7,4,25,3,5,0,1.7,1,10.34,2023,Baker Mayfield
83.0,83.0,11.0,12,2023-11-26,TB,IND,*,20,30,66.7,199,2,1,6.6,6.47,93.6,6,26,3,14,0,4.7,2,11.36,2023,Baker Mayfield
84.0,84.0,12.0,13,2023-12-03,TB,CAR,*,14,29,48.3,202,1,1,7.0,6.1,68.5,1,8,2,-2,0,-1.0,0,9.88,2023,Baker Mayfield
85.0,85.0,13.0,14,2023-12-10,TB,ATL,*,14,29,48.3,144,2,0,5.0,6.34,86.0,1,2,3,3,1,1.0,0,20.060000000000002,2023,Baker Mayfield
86.0,86.0,14.0,15,2023-12-17,TB,GB,*,22,28,78.6,381,4,0,13.6,16.46,158.3,5,28,2,-2,0,-1.0,1,29.040000000000003,2023,Baker Mayfield
87.0,87.0,15.0,16,2023-12-24,TB,JAX,*,26,35,74.3,283,2,0,8.1,9.23,116.7,2,18,5,5,0,1.0,0,19.82,2023,Baker Mayfield
88.0,88.0,16.0,17,2023-12-31,TB,NO,*,22,33,66.7,309,2,2,9.4,7.85,91.6,2,17,1,-1,0,-1.0,0,16.259999999999998,2023,Baker Mayfield
89.0,89.0,17.0,18,2024-01-07,TB,CAR,*,20,32,62.5,137,0,0,4.3,4.28,72.0,3,22,5,7,0,1.4,0,6.180000000000001,2024,Baker Mayfield
90.0,90.0,1.0,1,2024-09-08,TB,WAS,*,24,30,80.0,289,4,0,9.6,12.3,146.4,1,9,3,21,0,7.0,0,29.660000000000004,2024,Baker Mayfield
91.0,91.0,2.0,2,2024-09-15,TB,DET,*,12,19,63.2,185,1,1,9.7,8.42,90.9,5,39,5,34,1,6.8,2,14.8,2024,Baker Mayfield
92.0,92.0,3.0,3,2024-09-22,TB,DEN,*,25,33,75.8,163,1,1,4.9,4.18,83.3,7,31,0,0,0,,0,8.52,2024,Baker Mayfield
93.0,93.0,4.0,4,2024-09-29,TB,PHI,*,30,47,63.8,347,2,0,7.4,8.23,100.2,2,13,4,10,1,2.5,1,26.880000000000003,2024,Baker Mayfield
94.0,94.0,5.0,5,2024-10-03,TB,ATL,*,19,24,79.2,180,3,0,7.5,10.0,137.5,1,7,6,42,0,7.0,0,23.4,2024,Baker Mayfield
95.0,95.0,6.0,6,2024-10-13,TB,NO,*,24,36,66.7,325,4,3,9.0,7.5,97.6,1,8,3,29,0,9.7,0,25.9,2024,Baker Mayfield
96.0,96.0,7.0,7,2024-10-21,TB,BAL,*,31,45,68.9,370,3,2,8.2,7.56,97.5,3,14,5,22,0,4.4,0,25.0,2024,Baker Mayfield
97.0,97.0,8.0,8,2024-10-27,TB,ATL,*,37,50,74.0,330,3,2,6.6,6.0,94.6,0,0,3,11,0,3.7,1,20.3,2024,Baker Mayfield
98.0,98.0,9.0,9,2024-11-04,TB,KC,*,23,31,74.2,200,2,0,6.5,7.74,112.3,2,11,4,20,0,5.0,0,18.0,2024,Baker Mayfield
99.0,99.0,10.0,10,2024-11-10,TB,SF,*,18,29,62.1,116,1,0,4.0,4.69,82.0,2,11,3,3,0,1.0,3,2.9400000000000013,2024,Baker Mayfield
100.0,100.0,11.0,12,2024-11-24,TB,NYG,*,24,30,80.0,294,0,0,9.8,9.8,107.5,0,0,4,29,1,7.3,2,16.66,2024,Baker Mayfield
101.0,101.0,12.0,13,2024-12-01,TB,CAR,*,21,33,63.6,235,1,2,7.1,5.0,69.6,4,31,3,8,0,2.7,2,6.200000000000001,2024,Baker Mayfield
102.0,102.0,13.0,14,2024-12-08,TB,LV,*,18,29,62.1,295,3,2,10.2,9.14,101.9,4,27,2,12,0,6.0,1,19.0,2024,Baker Mayfield
103.0,103.0,14.0,15,2024-12-15,TB,LAC,*,22,27,81.5,288,4,1,10.7,11.96,135.3,1,5,2,25,0,12.5,0,28.02,2024,Baker Mayfield
104.0,104.0,15.0,16,2024-12-22,TB,DAL,*,31,43,72.1,303,2,1,7.0,6.93,97.3,4,27,3,42,0,14.0,1,20.319999999999997,2024,Baker Mayfield
105.0,105.0,16.0,17,2024-12-29,TB,CAR,*,27,32,84.4,359,5,0,11.2,14.34,153.0,2,10,1,2,0,2.0,0,34.56,2024,Baker Mayfield
106.0,106.0,17.0,18,2025-01-05,TB,NO,*,21,32,65.6,221,2,1,6.9,6.75,93.4,1,5,9,68,0,7.6,0,21.64,2025,Baker Mayfield
