Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2018,3,2018-09-20,NYJ,17,23,201,0,0,2,-2,0,5.839999999999999,20.5625,34.8125,244.0,1.875,0.625,3.375,19.625,0.125,1.75,,18.3,Baker Mayfield
2018,4,2018-09-30,LV,21,41,295,2,2,4,10,0,12.8,22.5625,33.125,252.875,1.5,0.3125,2.875,9.4375,0.1875,1.9375,,17.2,Baker Mayfield
2018,5,2018-10-07,BAL,25,43,342,1,1,2,23,0,17.98,20.75,35.5,230.0,1.0625,1.375,2.6875,11.0,0.0,2.5625,,10.9,Baker Mayfield
2018,6,2018-10-14,LAC,22,46,238,1,2,2,8,0,10.32,20.5625,32.6875,213.5625,1.0625,1.125,2.875,14.625,0.125,2.6875,0.0625,12.3,Baker Mayfield
2018,7,2018-10-21,TB,23,34,215,2,0,4,43,0,18.9,23.125,34.25,265.9375,1.3125,0.8125,4.0625,18.1875,0.125,1.375,,16.6,Baker Mayfield
2018,8,2018-10-28,PIT,22,36,180,2,1,1,9,0,14.099999999999998,18.5625,31.0625,225.625,1.25,1.0,2.4375,10.6875,0.125,3.5,0.0625,13.8,Baker Mayfield
2018,9,2018-11-04,KC,29,42,297,2,1,0,0,0,17.880000000000003,20.3125,35.5625,258.1875,1.4375,0.9375,2.9375,15.4375,0.1875,1.9375,0.0625,17.0,Baker Mayfield
2018,10,2018-11-11,ATL,17,20,216,3,0,6,20,0,20.64,22.5625,34.5,233.0625,1.375,0.5,4.0625,21.9375,0.1875,2.4375,0.0625,16.8,Baker Mayfield
2018,12,2018-11-25,CIN,19,26,258,4,0,4,-4,0,25.92,20.9375,35.0,225.8125,1.25,0.6875,3.1875,17.0625,0.1875,2.5625,,15.6,Baker Mayfield
2018,13,2018-12-02,HOU,29,43,397,1,3,0,0,0,13.880000000000004,19.9375,31.1875,248.1875,1.875,0.6875,3.5625,15.75,0.1875,2.0,0.0625,18.5,Baker Mayfield
2018,14,2018-12-09,CAR,18,22,238,1,0,4,2,0,11.72,21.9375,34.375,248.0625,1.5625,0.625,3.0625,13.6875,0.0,3.125,0.0625,15.3,Baker Mayfield
2018,15,2018-12-15,DEN,18,31,188,2,1,4,6,0,12.12,18.375,30.625,211.5625,1.8125,0.5625,3.0,8.0625,0.0625,2.0625,,15.1,Baker Mayfield
2018,16,2018-12-23,CIN,27,37,284,3,0,6,16,0,24.96,20.9375,35.0,225.8125,1.25,0.6875,3.1875,17.0625,0.1875,2.5625,,15.6,Baker Mayfield
2018,17,2018-12-30,BAL,23,42,376,3,3,0,0,0,21.04,20.75,35.5,230.0,1.0625,1.375,2.6875,11.0,0.0,2.5625,,10.9,Baker Mayfield
2019,1,2019-09-08,TEN,25,38,285,1,3,0,0,0,9.4,21.0,33.0625,232.0625,1.3125,0.6875,3.625,16.625,0.125,2.4375,,15.1,Baker Mayfield
2019,2,2019-09-16,NYJ,19,35,325,1,1,0,0,0,15.0,22.875,36.25,271.4375,1.8125,0.8125,3.875,22.0625,0.1875,2.4375,,19.8,Baker Mayfield
2019,3,2019-09-22,LAR,18,36,195,1,1,1,-1,0,7.700000000000001,21.625,33.1875,254.625,1.875,1.125,2.875,17.1875,0.0,2.5,0.125,16.7,Baker Mayfield
2019,4,2019-09-29,BAL,20,30,342,1,1,3,1,0,15.78,21.0625,35.9375,228.1875,1.3125,0.75,2.8125,12.1875,0.125,2.6875,0.0625,14.6,Baker Mayfield
2019,5,2019-10-07,SF,8,22,100,0,2,0,0,0,-4.0,21.5,33.875,247.4375,2.1875,0.125,3.75,10.1875,0.0,2.3125,0.125,19.4,Baker Mayfield
2019,6,2019-10-13,SEA,22,37,249,1,3,4,35,1,17.46,22.1875,34.125,256.4375,1.625,0.75,2.5625,13.5,0.0,2.6875,,16.0,Baker Mayfield
2019,8,2019-10-27,NE,20,31,194,1,1,1,18,0,11.56,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3,Baker Mayfield
2019,9,2019-11-03,DEN,27,42,273,1,0,3,22,0,17.12,22.0,34.1875,264.875,1.5625,1.0625,2.9375,5.75,0.0625,2.75,,15.2,Baker Mayfield
2019,10,2019-11-10,BUF,26,38,238,2,0,2,1,0,17.62,19.5,30.625,192.5625,1.3125,1.0,3.5,9.75,0.0,2.25,,11.8,Baker Mayfield
2019,11,2019-11-14,PIT,17,32,193,2,0,1,1,1,21.82,22.625,35.375,252.75,1.6875,0.5,2.625,12.5,0.0625,3.25,0.125,17.3,Baker Mayfield
2019,12,2019-11-24,MIA,24,34,327,3,1,2,5,0,21.58,20.9375,31.6875,258.8125,1.9375,1.3125,4.0625,23.9375,0.125,1.9375,0.0625,18.7,Baker Mayfield
2019,13,2019-12-01,PIT,18,32,196,1,1,1,2,0,8.04,22.625,35.375,252.75,1.6875,0.5,2.625,12.5,0.0625,3.25,0.125,17.3,Baker Mayfield
2019,14,2019-12-08,CIN,11,24,192,0,2,2,13,1,10.98,24.25,36.375,282.75,2.0,0.75,4.875,19.3125,0.1875,2.125,0.125,20.7,Baker Mayfield
2019,15,2019-12-15,ARI,30,43,247,2,1,2,11,0,16.980000000000004,21.3125,31.5625,222.9375,1.25,0.4375,3.25,9.8125,0.25,3.0625,0.0625,14.9,Baker Mayfield
2019,16,2019-12-22,BAL,20,33,192,2,1,2,4,0,14.079999999999998,21.0625,35.9375,228.1875,1.3125,0.75,2.8125,12.1875,0.125,2.6875,0.0625,14.6,Baker Mayfield
2019,17,2019-12-29,CIN,12,27,279,3,3,4,29,0,18.06,24.25,36.375,282.75,2.0,0.75,4.875,19.3125,0.1875,2.125,0.125,20.7,Baker Mayfield
2020,1,2020-09-13,BAL,21,39,189,1,1,2,3,0,9.86,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0,Baker Mayfield
2020,2,2020-09-17,CIN,16,23,219,2,1,3,5,0,15.259999999999998,19.0,30.9375,254.625,1.5625,0.6875,5.8125,30.5625,0.3125,1.9375,0.125,20.2,Baker Mayfield
2020,3,2020-09-27,WAS,16,23,156,2,0,1,1,0,14.34,23.1875,33.6875,255.8125,2.1875,0.8125,3.75,18.875,0.125,2.875,,19.5,Baker Mayfield
2020,4,2020-10-04,DAL,19,30,165,2,0,3,6,0,15.2,23.0,35.4375,240.375,1.25,0.4375,4.375,18.5,0.1875,2.4375,0.0625,16.1,Baker Mayfield
2020,5,2020-10-11,IND,21,37,247,2,2,2,17,0,13.580000000000002,24.5625,35.0625,263.6875,1.8125,0.9375,3.1875,10.5,0.125,2.5625,0.0625,18.3,Baker Mayfield
2020,6,2020-10-18,PIT,10,18,119,1,2,1,5,0,5.26,19.5625,32.0,213.9375,1.4375,1.1875,4.4375,14.0625,0.125,3.375,,12.8,Baker Mayfield
2020,7,2020-10-25,CIN,22,28,297,5,1,1,-1,0,29.78,19.0,30.9375,254.625,1.5625,0.6875,5.8125,30.5625,0.3125,1.9375,0.125,20.2,Baker Mayfield
2020,8,2020-11-01,LV,12,25,122,0,0,6,29,0,7.779999999999999,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3,Baker Mayfield
2020,10,2020-11-15,HOU,12,20,132,0,0,3,1,0,5.38,23.375,36.4375,280.8125,2.0625,0.75,3.25,18.1875,0.1875,1.875,0.0625,20.4,Baker Mayfield
2020,11,2020-11-22,PHI,12,22,204,0,0,6,9,0,5.0600000000000005,21.625,35.5625,257.5,1.5625,0.6875,2.6875,13.375,0.0625,2.6875,0.0625,16.3,Baker Mayfield
2020,12,2020-11-29,JAX,19,29,258,2,0,4,1,0,18.42,20.4375,32.25,255.5,1.375,0.625,3.9375,15.25,0.3125,2.9375,0.0625,17.5,Baker Mayfield
2020,13,2020-12-06,TEN,25,33,334,4,0,4,5,0,27.86,24.125,37.3125,272.25,1.5625,0.875,3.8125,15.6875,0.0625,2.6875,0.125,17.2,Baker Mayfield
2020,14,2020-12-14,BAL,28,47,343,2,1,5,23,1,26.02,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0,Baker Mayfield
2020,15,2020-12-20,NYG,27,32,297,2,0,4,11,0,20.980000000000004,23.0,34.6875,278.75,1.875,0.625,4.375,14.125,0.375,2.25,,20.7,Baker Mayfield
2020,16,2020-12-27,NYJ,28,53,285,0,0,3,6,0,6.0,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7,Baker Mayfield
2021,17,2021-01-03,PIT,17,27,196,1,0,6,44,0,16.240000000000002,18.625,32.8125,218.375,1.375,1.125,4.125,21.875,0.0625,3.5,0.125,14.2,Baker Mayfield
2021,1,2021-09-12,KC,21,28,321,0,1,1,7,0,11.54,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Baker Mayfield
