Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2022,5.0,2022-10-09,CAR,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.1,19.764705882352946,30.235294117647054,208.41176470588235,1.5294117647058822,0.5294117647058824,4.117647058823529,15.411764705882351,0.1764705882352941,2.294117647058824,0.0588235294117647,16.1,Brock Purdy
2022,7.0,2022-10-23,KC,4.0,9.0,66.0,0.0,1.0,1.0,1.0,0.0,0.7400000000000002,23.41176470588235,35.64705882352941,261.29411764705884,1.5294117647058822,0.8823529411764706,4.470588235294118,22.88235294117647,0.4117647058823529,1.8235294117647056,0.0588235294117647,19.4,Brock Purdy
2022,11.0,2022-11-21,ARI,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.3,21.47058823529412,32.88235294117647,225.58823529411765,1.7647058823529411,0.7647058823529411,3.4705882352941178,15.294117647058824,0.1764705882352941,2.411764705882353,0.1764705882352941,16.3,Brock Purdy
2022,13.0,2022-12-04,MIA,25.0,37.0,210.0,2.0,1.0,4.0,-1.0,0.0,14.299999999999995,21.94117647058824,35.588235294117645,250.05882352941177,1.3529411764705883,0.8235294117647058,3.647058823529412,12.705882352941176,0.1764705882352941,2.823529411764706,,15.5,Brock Purdy
2022,14.0,2022-12-11,TB,16.0,21.0,185.0,2.0,0.0,2.0,3.0,1.0,21.700000000000003,26.058823529411764,39.76470588235294,253.05882352941177,1.5294117647058822,1.0,4.941176470588236,23.47058823529412,0.1764705882352941,2.764705882352941,0.0588235294117647,17.3,Brock Purdy
2022,15.0,2022-12-15,SEA,17.0,26.0,217.0,2.0,0.0,4.0,-2.0,0.0,16.48,26.058823529411764,38.70588235294117,280.3529411764706,1.411764705882353,0.6470588235294118,3.4705882352941178,13.588235294117649,0.0,2.0,0.1176470588235294,16.9,Brock Purdy
2022,16.0,2022-12-24,WAS,15.0,22.0,234.0,2.0,1.0,1.0,6.0,0.0,15.96,23.529411764705884,35.11764705882353,265.88235294117646,2.0,0.6470588235294118,4.882352941176471,28.0,0.2941176470588235,2.235294117647059,,21.5,Brock Purdy
2023,17.0,2023-01-01,LV,22.0,35.0,284.0,2.0,1.0,2.0,-3.0,0.0,17.06,23.41176470588235,34.64705882352941,254.05882352941177,1.4705882352941178,0.3529411764705882,3.5294117647058822,15.823529411764708,0.2352941176470588,1.588235294117647,0.1176470588235294,18.5,Brock Purdy
2023,18.0,2023-01-08,ARI,15.0,20.0,178.0,3.0,0.0,4.0,7.0,0.0,19.82,24.235294117647054,34.76470588235294,243.11764705882356,1.7058823529411764,0.6470588235294118,4.411764705882353,15.941176470588236,0.1764705882352941,2.117647058823529,0.0588235294117647,17.4,Brock Purdy
2023,1.0,2023-09-10,PIT,19.0,29.0,220.0,2.0,0.0,3.0,20.0,0.0,14.8,19.47058823529412,31.764705882352946,239.05882352941177,1.6470588235294117,1.1764705882352942,4.529411764705882,17.529411764705884,0.0,2.3529411764705883,0.0588235294117647,15.8,Brock Purdy
