Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,5.0,5.0,2022-10-09,SF,CAR,,0,0,,0,0,0,,,,0,0,1,-1,0,-1.0,0,-0.1,2022,Brock Purdy
2.0,2.0,7.0,7.0,2022-10-23,SF,KC,,4,9,44.4,66,0,1,7.3,2.33,30.1,0,0,1,1,0,1.0,0,0.7400000000000002,2022,Brock Purdy
3.0,3.0,10.0,11.0,2022-11-21,SF,ARI,,0,0,,0,0,0,,,,0,0,3,3,0,1.0,0,0.3,2022,Brock Purdy
4.0,4.0,12.0,13.0,2022-12-04,SF,MIA,,25,37,67.6,210,2,1,5.7,5.54,88.8,3,26,4,-1,0,-0.3,0,14.299999999999997,2022,Brock Purdy
5.0,5.0,13.0,14.0,2022-12-11,SF,TB,*,16,21,76.2,185,2,0,8.8,10.71,134.0,0,0,2,3,1,1.5,0,21.700000000000003,2022,Brock Purdy
6.0,6.0,14.0,15.0,2022-12-15,SF,SEA,*,17,26,65.4,217,2,0,8.3,9.88,117.0,1,6,4,-2,0,-0.5,0,16.48,2022,Brock Purdy
7.0,7.0,15.0,16.0,2022-12-24,SF,WAS,*,15,22,68.2,234,2,1,10.6,10.41,114.6,3,16,1,6,0,6.0,0,15.96,2022,Brock Purdy
8.0,8.0,16.0,17.0,2023-01-01,SF,LV,*,22,35,62.9,284,2,1,8.1,7.97,95.4,0,0,2,-3,0,-1.5,0,17.06,2023,Brock Purdy
9.0,9.0,17.0,18.0,2023-01-08,SF,ARI,*,15,20,75.0,178,3,0,8.9,11.9,141.2,4,36,4,7,0,1.8,0,19.82,2023,Brock Purdy
10.0,10.0,1.0,1.0,2023-09-10,SF,PIT,*,19,29,65.5,220,2,0,7.6,8.97,111.3,3,17,3,20,0,6.7,2,14.8,2023,Brock Purdy
11.0,11.0,2.0,2.0,2023-09-17,SF,LAR,*,17,25,68.0,206,0,0,8.2,8.24,93.1,1,0,3,5,1,1.7,1,12.74,2023,Brock Purdy
12.0,12.0,3.0,3.0,2023-09-21,SF,NYG,*,25,37,67.6,310,2,0,8.4,9.46,111.3,2,10,4,-1,0,-0.3,1,18.299999999999997,2023,Brock Purdy
13.0,13.0,4.0,4.0,2023-10-01,SF,ARI,*,20,21,95.2,283,1,0,13.5,14.43,134.6,1,12,2,0,1,0.0,0,21.32,2023,Brock Purdy
14.0,14.0,5.0,5.0,2023-10-08,SF,DAL,*,17,24,70.8,252,4,0,10.5,13.83,144.4,1,2,0,0,0,,0,26.08,2023,Brock Purdy
15.0,15.0,6.0,6.0,2023-10-15,SF,CLE,*,12,27,44.4,125,1,1,4.6,3.7,55.3,3,18,3,7,0,2.3,1,5.699999999999999,2023,Brock Purdy
16.0,16.0,7.0,7.0,2023-10-23,SF,MIN,*,21,30,70.0,272,1,2,9.1,6.73,81.5,1,12,5,19,0,3.8,0,12.780000000000001,2023,Brock Purdy
17.0,17.0,8.0,8.0,2023-10-29,SF,CIN,*,22,31,71.0,365,1,2,11.8,9.52,94.2,2,18,6,57,0,9.5,1,18.3,2023,Brock Purdy
18.0,18.0,9.0,10.0,2023-11-12,SF,JAX,*,19,26,73.1,296,3,0,11.4,13.69,148.9,2,9,0,0,0,,0,23.84,2023,Brock Purdy
19.0,19.0,10.0,11.0,2023-11-19,SF,TB,*,21,25,84.0,333,3,0,13.3,15.72,158.3,4,28,4,14,0,3.5,0,26.72,2023,Brock Purdy
20.0,20.0,11.0,12.0,2023-11-23,SF,SEA,*,21,30,70.0,209,1,1,7.0,6.13,86.7,1,1,3,1,0,0.3,0,10.459999999999999,2023,Brock Purdy
21.0,21.0,12.0,13.0,2023-12-03,SF,PHI,*,19,27,70.4,314,4,0,11.6,14.59,148.8,2,4,2,9,0,4.5,0,29.46,2023,Brock Purdy
22.0,22.0,13.0,14.0,2023-12-10,SF,SEA,*,19,27,70.4,368,2,1,13.6,13.44,122.1,3,14,2,7,0,3.5,0,21.419999999999998,2023,Brock Purdy
23.0,23.0,14.0,15.0,2023-12-17,SF,ARI,*,16,25,64.0,242,4,0,9.7,12.88,135.3,0,0,0,0,0,,0,25.68,2023,Brock Purdy
24.0,24.0,15.0,16.0,2023-12-25,SF,BAL,*,18,32,56.3,255,0,4,8.0,2.34,42.6,2,8,1,2,0,2.0,0,2.3999999999999986,2023,Brock Purdy
25.0,25.0,16.0,17.0,2023-12-31,SF,WAS,*,22,28,78.6,230,2,0,8.2,9.64,124.7,0,0,1,4,0,4.0,0,17.599999999999998,2023,Brock Purdy
26.0,26.0,1.0,1.0,2024-09-09,SF,NYJ,*,19,29,65.5,231,0,0,8.0,7.97,89.9,2,6,1,11,0,11.0,0,10.34,2024,Brock Purdy
