Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2023,1.0,2023-09-10,ATL,20.0,38.0,146.0,1.0,2.0,3.0,17.0,0.0,5.539999999999999,21.764705882352946,32.88235294117647,235.8823529411765,1.4705882352941178,0.5882352941176471,3.764705882352941,13.0,0.1764705882352941,1.2352941176470589,0.1176470588235294,16.9,Bryce Young
2023,2.0,2023-09-18,NO,22.0,33.0,153.0,1.0,0.0,2.0,34.0,0.0,11.52,18.88235294117647,31.47058823529412,200.0,1.0,0.4117647058823529,4.529411764705882,24.058823529411764,0.2352941176470588,2.823529411764706,0.0588235294117647,14.9,Bryce Young
2023,4.0,2023-10-01,MIN,25.0,32.0,204.0,0.0,0.0,2.0,10.0,0.0,7.16,24.0,36.23529411764706,279.7647058823529,1.3529411764705883,0.8823529411764706,3.647058823529412,20.11764705882353,0.2352941176470588,2.235294117647059,0.1176470588235294,18.1,Bryce Young
2023,5.0,2023-10-08,DET,25.0,41.0,247.0,3.0,2.0,1.0,4.0,0.0,18.28,20.764705882352946,32.94117647058823,261.52941176470586,1.5294117647058822,0.7058823529411765,5.882352941176471,41.1764705882353,0.4117647058823529,2.235294117647059,0.1176470588235294,21.9,Bryce Young
2023,6.0,2023-10-15,MIA,23.0,38.0,217.0,1.0,0.0,0.0,0.0,0.0,10.68,24.41176470588235,36.64705882352941,250.52941176470588,1.588235294117647,0.4705882352941176,5.176470588235294,30.88235294117647,0.1764705882352941,2.3529411764705883,0.1176470588235294,19.6,Bryce Young
2023,8.0,2023-10-29,HOU,22.0,31.0,235.0,1.0,0.0,4.0,11.0,0.0,14.5,19.764705882352946,30.705882352941178,222.05882352941177,0.8823529411764706,0.9411764705882352,5.0,17.41176470588235,0.1176470588235294,2.294117647058824,0.0588235294117647,12.9,Bryce Young
2023,9.0,2023-11-05,IND,24.0,39.0,173.0,1.0,3.0,5.0,41.0,0.0,9.02,21.47058823529412,31.47058823529412,225.64705882352945,1.4705882352941178,0.5882352941176471,4.705882352941177,20.647058823529413,0.3529411764705882,2.588235294117647,0.2352941176470588,17.9,Bryce Young
2023,10.0,2023-11-09,CHI,21.0,38.0,185.0,0.0,0.0,3.0,18.0,0.0,9.2,18.94117647058824,28.176470588235293,224.52941176470588,1.2941176470588236,0.8235294117647058,6.0,22.294117647058822,0.5294117647058824,1.1764705882352942,0.1764705882352941,18.2,Bryce Young
2023,11.0,2023-11-19,DAL,16.0,29.0,123.0,1.0,1.0,2.0,3.0,0.0,5.220000000000001,20.235294117647054,32.23529411764706,220.8823529411765,1.3529411764705883,0.9411764705882352,3.823529411764706,19.235294117647054,0.1764705882352941,3.176470588235294,0.0588235294117647,14.3,Bryce Young
2023,12.0,2023-11-26,TEN,18.0,31.0,194.0,0.0,0.0,3.0,23.0,0.0,8.059999999999999,25.764705882352946,39.35294117647059,290.05882352941177,1.7058823529411764,0.8235294117647058,3.941176470588236,12.764705882352942,0.1764705882352941,2.294117647058824,0.1176470588235294,19.0,Bryce Young
2023,13.0,2023-12-03,TB,15.0,31.0,178.0,0.0,1.0,0.0,0.0,0.0,3.12,21.294117647058822,33.411764705882355,221.58823529411765,1.7058823529411764,0.5882352941176471,3.647058823529412,16.294117647058822,0.0588235294117647,2.647058823529412,0.1176470588235294,16.0,Bryce Young
2023,14.0,2023-12-10,NO,13.0,36.0,137.0,0.0,0.0,3.0,40.0,0.0,7.48,18.88235294117647,31.47058823529412,200.0,1.0,0.4117647058823529,4.529411764705882,24.058823529411764,0.2352941176470588,2.823529411764706,0.0588235294117647,14.9,Bryce Young
2023,15.0,2023-12-17,ATL,18.0,24.0,167.0,0.0,0.0,4.0,9.0,0.0,5.58,21.764705882352946,32.88235294117647,235.8823529411765,1.4705882352941178,0.5882352941176471,3.764705882352941,13.0,0.1764705882352941,1.2352941176470589,0.1176470588235294,16.9,Bryce Young
2023,16.0,2023-12-24,GB,23.0,36.0,312.0,2.0,0.0,4.0,17.0,0.0,20.18,18.352941176470587,28.0,208.76470588235293,1.2352941176470589,1.0,4.117647058823529,22.529411764705884,0.1176470588235294,2.0,,14.0,Bryce Young
2023,17.0,2023-12-31,JAX,19.0,32.0,112.0,0.0,1.0,1.0,2.0,0.0,2.6800000000000006,22.647058823529413,35.35294117647059,250.4705882352941,1.4705882352941178,0.8235294117647058,5.411764705882353,27.58823529411765,0.1176470588235294,2.0588235294117645,0.1764705882352941,17.5,Bryce Young
2024,18.0,2024-01-07,TB,11.0,18.0,94.0,0.0,0.0,2.0,24.0,0.0,4.16,23.764705882352946,35.94117647058823,268.7058823529412,1.3529411764705883,0.7647058823529411,3.7058823529411766,13.764705882352942,0.3529411764705882,2.823529411764706,0.0588235294117647,18.0,Bryce Young
2024,1.0,2024-09-08,NO,13.0,30.0,161.0,0.0,2.0,4.0,12.0,1.0,9.64,19.529411764705884,32.705882352941174,220.8823529411765,1.2941176470588236,1.0588235294117647,4.235294117647059,23.058823529411764,0.1176470588235294,2.0,0.1176470588235294,14.6,Bryce Young
2024,2.0,2024-09-15,LAC,18.0,26.0,84.0,0.0,1.0,1.0,6.0,0.0,1.96,22.764705882352946,35.05882352941177,268.7058823529412,1.4705882352941178,0.5294117647058824,4.117647058823529,13.529411764705882,0.3529411764705882,2.823529411764706,,18.5,Bryce Young
2024,5.0,2024-10-06,CHI,4.0,7.0,58.0,0.0,0.0,1.0,8.0,0.0,3.12,24.11764705882353,36.294117647058826,249.7058823529412,1.8235294117647056,1.2941176470588236,3.588235294117647,14.529411764705882,0.0588235294117647,1.7647058823529411,0.0588235294117647,16.8,Bryce Young
2024,7.0,2024-10-20,WAS,2.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,-0.16,23.294117647058822,35.1764705882353,272.1764705882353,2.294117647058824,0.4705882352941176,3.647058823529412,17.176470588235293,0.0588235294117647,2.294117647058824,0.0588235294117647,20.7,Bryce Young
2024,8.0,2024-10-27,DEN,24.0,37.0,224.0,2.0,2.0,3.0,6.0,0.0,13.560000000000002,22.41176470588235,33.47058823529412,252.23529411764707,1.7058823529411764,0.6470588235294118,3.823529411764706,14.411764705882351,0.1176470588235294,2.4705882352941178,0.0588235294117647,17.1,Bryce Young
2024,9.0,2024-11-03,NO,16.0,26.0,171.0,1.0,1.0,4.0,9.0,0.0,9.74,19.529411764705884,32.705882352941174,220.8823529411765,1.2941176470588236,1.0588235294117647,4.235294117647059,23.058823529411764,0.1176470588235294,2.0,0.1176470588235294,14.6,Bryce Young
2024,10.0,2024-11-10,NYG,15.0,25.0,126.0,1.0,0.0,2.0,30.0,0.0,12.04,21.823529411764707,34.23529411764706,244.52941176470588,1.2352941176470589,1.0588235294117647,2.9411764705882355,14.823529411764708,0.2352941176470588,2.0,,15.2,Bryce Young
2024,12.0,2024-11-24,KC,21.0,35.0,263.0,1.0,0.0,3.0,20.0,0.0,14.52,19.94117647058824,32.588235294117645,197.23529411764707,1.1176470588235294,0.4705882352941176,5.352941176470588,20.11764705882353,0.2352941176470588,3.3529411764705883,,14.5,Bryce Young
2024,13.0,2024-12-01,TB,26.0,46.0,298.0,1.0,0.0,3.0,17.0,1.0,23.62,23.764705882352946,35.94117647058823,268.7058823529412,1.3529411764705883,0.7647058823529411,3.7058823529411766,13.764705882352942,0.3529411764705882,2.823529411764706,0.0588235294117647,18.0,Bryce Young
2024,14.0,2024-12-08,PHI,19.0,34.0,191.0,1.0,1.0,7.0,29.0,0.0,12.54,25.0,38.35294117647059,267.7058823529412,2.0588235294117645,0.5294117647058824,3.588235294117647,18.705882352941178,0.1176470588235294,2.4705882352941178,0.1764705882352941,20.6,Bryce Young
2024,15.0,2024-12-15,DAL,19.0,28.0,219.0,1.0,2.0,3.0,12.0,1.0,11.96,17.941176470588236,29.764705882352946,201.05882352941177,1.2352941176470589,1.0,4.647058823529412,18.647058823529413,0.2352941176470588,2.647058823529412,,14.1,Bryce Young
2024,16.0,2024-12-22,ARI,17.0,26.0,158.0,2.0,0.0,5.0,68.0,1.0,27.12,20.352941176470587,29.705882352941178,225.23529411764707,1.8823529411764703,0.6470588235294118,4.294117647058823,20.764705882352946,0.2941176470588235,1.8823529411764703,0.0588235294117647,18.9,Bryce Young
2024,17.0,2024-12-29,TB,15.0,28.0,203.0,2.0,0.0,2.0,8.0,0.0,12.919999999999998,23.764705882352946,35.94117647058823,268.7058823529412,1.3529411764705883,0.7647058823529411,3.7058823529411766,13.764705882352942,0.3529411764705882,2.823529411764706,0.0588235294117647,18.0,Bryce Young
2025,18.0,2025-01-05,ATL,25.0,34.0,251.0,3.0,0.0,5.0,24.0,2.0,36.44,23.58823529411765,33.76470588235294,232.1764705882353,2.0,0.7058823529411765,5.882352941176471,29.11764705882353,0.1764705882352941,1.7647058823529411,0.1176470588235294,20.0,Bryce Young
2025,1.0,2025-09-05 00:00:00,JAX,,,,,,,,,,22.823529411764707,34.05882352941177,269.47058823529414,1.7058823529411764,0.35294117647058826,5.176470588235294,24.647058823529413,0.11764705882352941,2.0,0.058823529411764705,20.1,Bryce Young
2025,2.0,2025-09-12 00:00:00,ARI,,,,,,,,,,21.764705882352942,31.705882352941178,231.1764705882353,1.1764705882352942,0.5294117647058824,4.0588235294117645,17.823529411764707,0.35294117647058826,2.411764705882353,0.058823529411764705,16.4,Bryce Young
2025,3.0,2025-09-19 00:00:00,ATL,,,,,,,,,,23.58823529411765,33.76470588235294,232.1764705882353,2.0,0.7058823529411765,5.882352941176471,29.11764705882353,0.17647058823529413,1.7647058823529411,0.11764705882352941,20.0,Bryce Young
2025,4.0,2025-09-26 00:00:00,NE,,,,,,,,,,20.352941176470587,31.352941176470587,220.52941176470588,1.588235294117647,0.4117647058823529,3.9411764705882355,13.588235294117647,0.058823529411764705,1.6470588235294117,0.058823529411764705,16.3,Bryce Young
2025,5.0,2025-10-01 00:00:00,MIA,,,,,,,,,,21.470588235294116,33.529411764705884,225.23529411764707,1.2941176470588236,0.5882352941176471,3.1176470588235294,10.352941176470589,0.0,2.0588235294117645,0.11764705882352941,13.8,Bryce Young
2025,6.0,2025-10-08 00:00:00,DAL,,,,,,,,,,20.529411764705884,30.058823529411764,237.94117647058823,1.6470588235294117,0.7647058823529411,5.470588235294118,32.529411764705884,0.5882352941176471,3.0588235294117645,,20.9,Bryce Young
2025,7.0,2025-10-15 00:00:00,NYJ,,,,,,,,,,19.235294117647058,30.58823529411765,211.05882352941177,1.0588235294117647,0.4117647058823529,4.588235294117647,19.11764705882353,0.47058823529411764,2.4705882352941178,0.11764705882352941,16.2,Bryce Young
2025,8.0,2025-10-22 00:00:00,BUF,,,,,,,,,,23.294117647058822,34.0,241.1764705882353,1.6470588235294117,0.9411764705882353,3.1176470588235294,15.470588235294118,0.11764705882352941,2.2941176470588234,0.058823529411764705,15.7,Bryce Young
2025,9.0,2025-11-01 00:00:00,GB,,,,,,,,,,22.41176470588235,33.1764705882353,232.88235294117646,1.3529411764705883,0.9411764705882353,4.470588235294118,15.764705882352942,0.058823529411764705,2.6470588235294117,0.058823529411764705,14.1,Bryce Young
2025,10.0,2025-11-08 00:00:00,NO,,,,,,,,,,21.529411764705884,34.76470588235294,252.64705882352942,1.1176470588235294,0.8235294117647058,4.705882352941177,25.529411764705884,0.058823529411764705,2.2941176470588234,0.11764705882352941,16.0,Bryce Young
2025,11.0,2025-11-15 00:00:00,ATL,,,,,,,,,,23.58823529411765,33.76470588235294,232.1764705882353,2.0,0.7058823529411765,5.882352941176471,29.11764705882353,0.17647058823529413,1.7647058823529411,0.11764705882352941,20.0,Bryce Young
2025,12.0,2025-11-22 00:00:00,SF,,,,,,,,,,19.88235294117647,30.294117647058822,204.47058823529412,1.4705882352941178,0.6470588235294118,3.235294117647059,16.235294117647058,0.23529411764705882,2.1176470588235294,0.058823529411764705,16.1,Bryce Young
2025,13.0,2025-12-01 00:00:00,LAR,,,,,,,,,,20.823529411764707,31.88235294117647,241.23529411764707,1.7058823529411764,0.7647058823529411,4.294117647058823,21.11764705882353,0.17647058823529413,2.235294117647059,0.058823529411764705,17.7,Bryce Young
2025,15.0,2025-12-15 00:00:00,NO,,,,,,,,,,21.529411764705884,34.76470588235294,252.64705882352942,1.1176470588235294,0.8235294117647058,4.705882352941177,25.529411764705884,0.058823529411764705,2.2941176470588234,0.11764705882352941,16.0,Bryce Young
2025,16.0,2025-12-22 00:00:00,TB,,,,,,,,,,24.529411764705884,36.94117647058823,261.5882352941176,1.588235294117647,0.4117647058823529,4.764705882352941,20.823529411764707,0.35294117647058826,2.7058823529411766,,19.8,Bryce Young
2025,17.0,2025-12-29 00:00:00,SEA,,,,,,,,,,21.764705882352942,33.411764705882355,230.76470588235293,1.4705882352941178,0.7647058823529411,3.6470588235294117,14.764705882352942,0.11764705882352941,2.6470588235294117,,16.2,Bryce Young
2025,18.0,2026-01-01 00:00:00,TB,,,,,,,,,,24.529411764705884,36.94117647058823,261.5882352941176,1.588235294117647,0.4117647058823529,4.764705882352941,20.823529411764707,0.35294117647058826,2.7058823529411766,,19.8,Bryce Young
