Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2023-09-10,CAR,ATL,*,20,38,52.6,146,1,2,3.8,2.0,48.8,2,19,3,17,0,5.7,1,5.539999999999999,2023,Bryce Young
2.0,2.0,2.0,2.0,2023-09-18,CAR,NO,*,22,33,66.7,153,1,0,4.6,5.24,87.1,4,14,2,34,0,17.0,1,11.520000000000001,2023,Bryce Young
3.0,3.0,4.0,4.0,2023-10-01,CAR,MIN,*,25,32,78.1,204,0,0,6.4,6.38,93.2,5,55,2,10,0,5.0,1,7.16,2023,Bryce Young
4.0,4.0,5.0,5.0,2023-10-08,CAR,DET,*,25,41,61.0,247,3,2,6.0,5.29,82.1,1,4,1,4,0,4.0,0,18.28,2023,Bryce Young
5.0,5.0,6.0,6.0,2023-10-15,CAR,MIA,*,23,38,60.5,217,1,0,5.7,6.24,85.1,4,36,0,0,0,,1,10.68,2023,Bryce Young
6.0,6.0,7.0,8.0,2023-10-29,CAR,HOU,*,22,31,71.0,235,1,0,7.6,8.23,103.6,6,55,4,11,0,2.8,0,14.5,2023,Bryce Young
7.0,7.0,8.0,9.0,2023-11-05,CAR,IND,*,24,39,61.5,173,1,3,4.4,1.49,48.3,4,36,5,41,0,8.2,0,9.02,2023,Bryce Young
8.0,8.0,9.0,10.0,2023-11-09,CAR,CHI,*,21,38,55.3,185,0,0,4.9,4.87,68.4,3,15,3,18,0,6.0,0,9.200000000000001,2023,Bryce Young
9.0,9.0,10.0,11.0,2023-11-19,CAR,DAL,*,16,29,55.2,123,1,1,4.2,3.38,62.9,7,46,2,3,0,1.5,1,5.220000000000001,2023,Bryce Young
10.0,10.0,11.0,12.0,2023-11-26,CAR,TEN,*,18,31,58.1,194,0,0,6.3,6.26,76.5,4,32,3,23,0,7.7,1,8.059999999999999,2023,Bryce Young
11.0,11.0,12.0,13.0,2023-12-03,CAR,TB,*,15,31,48.4,178,0,1,5.7,4.29,52.9,4,29,0,0,0,,1,3.12,2023,Bryce Young
12.0,12.0,13.0,14.0,2023-12-10,CAR,NO,*,13,36,36.1,137,0,0,3.8,3.81,48.0,4,38,3,40,0,13.3,1,7.48,2023,Bryce Young
13.0,13.0,14.0,15.0,2023-12-17,CAR,ATL,*,18,24,75.0,167,0,0,7.0,6.96,93.6,3,13,4,9,0,2.3,1,5.58,2023,Bryce Young
14.0,14.0,15.0,16.0,2023-12-24,CAR,GB,*,23,36,63.9,312,2,0,8.7,9.78,110.0,2,14,4,17,0,4.3,1,20.18,2023,Bryce Young
15.0,15.0,16.0,17.0,2023-12-31,CAR,JAX,*,19,32,59.4,112,0,1,3.5,2.09,53.1,6,45,1,2,0,2.0,0,2.6800000000000006,2023,Bryce Young
16.0,16.0,17.0,18.0,2024-01-07,CAR,TB,*,11,18,61.1,94,0,0,5.2,5.22,74.8,3,26,2,24,0,12.0,1,4.16,2024,Bryce Young
17.0,17.0,1.0,1.0,2024-09-08,CAR,NO,*,13,30,43.3,161,0,2,5.4,2.37,32.8,4,26,4,12,1,3.0,0,9.64,2024,Bryce Young
18.0,18.0,2.0,2.0,2024-09-15,CAR,LAC,*,18,26,69.2,84,0,1,3.2,1.5,57.2,2,15,1,6,0,6.0,0,1.96,2024,Bryce Young
19.0,19.0,5.0,5.0,2024-10-06,CAR,CHI,,4,7,57.1,58,0,0,8.3,8.29,84.2,1,2,1,8,0,8.0,0,3.12,2024,Bryce Young
20.0,20.0,7.0,7.0,2024-10-20,CAR,WAS,,2,2,100.0,-4,0,0,-2.0,-2.0,79.2,0,0,0,0,0,,0,-0.16,2024,Bryce Young
21.0,21.0,8.0,8.0,2024-10-27,CAR,DEN,*,24,37,64.9,224,2,2,6.1,4.7,76.9,2,9,3,6,0,2.0,0,13.560000000000002,2024,Bryce Young
22.0,22.0,9.0,9.0,2024-11-03,CAR,NO,*,16,26,61.5,171,1,1,6.6,5.62,77.6,1,5,4,9,0,2.3,0,9.74,2024,Bryce Young
23.0,23.0,10.0,10.0,2024-11-10,CAR,NYG,*,15,25,60.0,126,1,0,5.0,5.84,86.4,1,8,2,30,0,15.0,0,12.04,2024,Bryce Young
24.0,24.0,11.0,12.0,2024-11-24,CAR,KC,*,21,35,60.0,263,1,0,7.5,8.09,92.9,2,14,3,20,0,6.7,1,14.52,2024,Bryce Young
25.0,25.0,12.0,13.0,2024-12-01,CAR,TB,*,26,46,56.5,298,1,0,6.5,6.91,83.4,1,9,3,17,1,5.7,0,23.62,2024,Bryce Young
26.0,26.0,13.0,14.0,2024-12-08,CAR,PHI,*,19,34,55.9,191,1,1,5.6,4.88,69.6,1,7,7,29,0,4.1,0,12.540000000000001,2024,Bryce Young
27.0,27.0,14.0,15.0,2024-12-15,CAR,DAL,*,19,28,67.9,219,1,2,7.8,5.32,73.4,6,44,3,12,1,4.0,2,11.96,2024,Bryce Young
28.0,28.0,15.0,16.0,2024-12-22,CAR,ARI,*,17,26,65.4,158,2,0,6.1,7.62,107.5,3,9,5,68,1,13.6,0,27.12,2024,Bryce Young
29.0,29.0,16.0,17.0,2024-12-29,CAR,TB,*,15,28,53.6,203,2,0,7.3,8.68,100.7,5,38,2,8,0,4.0,2,12.919999999999998,2024,Bryce Young
30.0,30.0,17.0,18.0,2025-01-05,CAR,ATL,*,25,34,73.5,251,3,0,7.4,9.15,123.5,0,0,5,24,2,4.8,0,36.44,2025,Bryce Young
