Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2023-09-10,HOU,BAL,*,28,44,63.6,242,0,0,5.5,5.5,78.0,5,46,4,20,0,5.0,1,9.68,2023,Cj Stroud
2.0,2.0,2.0,2.0,2023-09-17,HOU,IND,*,30,47,63.8,384,2,0,8.2,9.02,103.5,6,47,3,1,0,0.3,2,19.46,2023,Cj Stroud
3.0,3.0,3.0,3.0,2023-09-24,HOU,JAX,*,20,30,66.7,280,2,0,9.3,10.67,118.7,0,0,3,14,0,4.7,0,20.599999999999998,2023,Cj Stroud
4.0,4.0,4.0,4.0,2023-10-01,HOU,PIT,*,16,30,53.3,306,2,0,10.2,11.53,111.2,0,0,4,16,0,4.0,0,21.840000000000003,2023,Cj Stroud
5.0,5.0,5.0,5.0,2023-10-08,HOU,ATL,*,20,35,57.1,249,1,0,7.1,7.69,88.9,0,0,1,2,0,2.0,0,14.16,2023,Cj Stroud
6.0,6.0,6.0,6.0,2023-10-15,HOU,NO,*,13,27,48.1,199,2,1,7.4,7.19,82.2,2,22,3,2,0,0.7,0,14.16,2023,Cj Stroud
7.0,7.0,7.0,8.0,2023-10-29,HOU,CAR,*,16,24,66.7,140,0,0,5.8,5.83,81.9,2,21,2,13,1,6.5,0,12.899999999999999,2023,Cj Stroud
8.0,8.0,8.0,9.0,2023-11-05,HOU,TB,*,30,42,71.4,470,5,0,11.2,13.57,147.8,3,27,0,10,0,,1,37.8,2023,Cj Stroud
9.0,9.0,9.0,10.0,2023-11-12,HOU,CIN,*,23,39,59.0,356,1,1,9.1,8.49,87.1,1,0,2,8,1,4.0,2,19.040000000000003,2023,Cj Stroud
10.0,10.0,10.0,11.0,2023-11-19,HOU,ARI,*,27,37,73.0,336,2,3,9.1,6.51,85.0,3,29,1,-1,0,-1.0,0,15.339999999999996,2023,Cj Stroud
11.0,11.0,11.0,12.0,2023-11-26,HOU,JAX,*,26,36,72.2,304,2,0,8.4,9.56,116.0,4,43,6,47,1,7.8,0,30.86,2023,Cj Stroud
12.0,12.0,12.0,13.0,2023-12-03,HOU,DEN,*,16,27,59.3,274,1,0,10.1,10.89,106.1,5,28,6,11,0,1.8,1,14.060000000000002,2023,Cj Stroud
13.0,13.0,13.0,14.0,2023-12-10,HOU,NYJ,*,10,23,43.5,91,0,0,4.0,3.96,54.8,4,38,0,0,0,,1,1.6400000000000001,2023,Cj Stroud
14.0,14.0,16.0,17.0,2023-12-31,HOU,TEN,*,24,32,75.0,213,1,0,6.7,7.28,102.7,1,12,1,4,0,4.0,0,12.92,2023,Cj Stroud
15.0,15.0,17.0,18.0,2024-01-06,HOU,IND,*,20,26,76.9,264,2,0,10.2,11.69,134.1,2,18,3,20,0,6.7,0,20.560000000000002,2024,Cj Stroud
16.0,16.0,1.0,1.0,2024-09-08,HOU,IND,*,24,32,75.0,234,2,0,7.3,8.56,115.9,4,30,4,13,0,3.3,0,18.66,2024,Cj Stroud
17.0,17.0,2.0,2.0,2024-09-15,HOU,CHI,*,23,36,63.9,260,1,0,7.2,7.78,94.7,3,25,1,-1,0,-1.0,0,14.3,2024,Cj Stroud
18.0,18.0,3.0,3.0,2024-09-22,HOU,MIN,*,20,31,64.5,215,1,2,6.9,4.68,68.6,4,42,3,12,0,4.0,0,9.799999999999999,2024,Cj Stroud
19.0,19.0,4.0,4.0,2024-09-29,HOU,JAX,*,27,40,67.5,345,2,0,8.6,9.63,110.9,2,11,3,17,0,5.7,0,23.5,2024,Cj Stroud
20.0,20.0,5.0,5.0,2024-10-06,HOU,BUF,*,28,38,73.7,331,1,1,8.7,8.05,97.6,1,0,3,27,0,9.0,1,15.940000000000001,2024,Cj Stroud
21.0,21.0,6.0,6.0,2024-10-13,HOU,NE,*,20,31,64.5,192,3,1,6.2,6.68,100.5,2,16,3,7,0,2.3,1,16.38,2024,Cj Stroud
22.0,22.0,7.0,7.0,2024-10-20,HOU,GB,*,10,21,47.6,86,0,0,4.1,4.1,58.8,4,31,5,19,0,3.8,0,5.34,2024,Cj Stroud
23.0,23.0,8.0,8.0,2024-10-27,HOU,IND,*,25,37,67.6,285,1,0,7.7,8.24,99.5,2,18,1,-10,0,-10.0,1,12.4,2024,Cj Stroud
24.0,24.0,9.0,9.0,2024-10-31,HOU,NYJ,*,11,30,36.7,191,0,0,6.4,6.37,59.2,8,56,8,59,0,7.4,1,11.54,2024,Cj Stroud
25.0,25.0,10.0,10.0,2024-11-10,HOU,DET,*,19,33,57.6,232,1,2,7.0,4.91,64.2,4,40,1,5,0,5.0,1,7.779999999999999,2024,Cj Stroud
