Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2016-09-11,DAL,NYG,*,25,45,55.6,227,0,0,5.0,5.04,69.4,0,0,2,12,0,6.0,0,10.28,2016,Dak Prescott
2.0,2.0,2.0,2.0,2016-09-18,DAL,WAS,*,22,30,73.3,292,0,0,9.7,9.73,103.7,4,14,1,6,1,6.0,0,18.28,2016,Dak Prescott
3.0,3.0,3.0,3.0,2016-09-25,DAL,CHI,*,19,24,79.2,248,1,0,10.3,11.17,123.6,0,0,4,36,1,9.0,0,23.52,2016,Dak Prescott
4.0,4.0,4.0,4.0,2016-10-02,DAL,SF,*,23,32,71.9,245,2,0,7.7,8.91,114.7,2,11,5,3,0,0.6,0,18.1,2016,Dak Prescott
5.0,5.0,5.0,5.0,2016-10-09,DAL,CIN,*,18,24,75.0,227,1,0,9.5,10.29,117.9,1,5,7,4,1,0.6,2,15.48,2016,Dak Prescott
6.0,6.0,6.0,6.0,2016-10-16,DAL,GB,*,18,27,66.7,247,3,1,9.1,9.7,117.4,2,14,1,6,0,6.0,2,16.480000000000004,2016,Dak Prescott
7.0,7.0,7.0,8.0,2016-10-30,DAL,PHI,*,19,39,48.7,287,2,1,7.4,7.23,79.8,2,14,7,38,1,5.4,1,25.28,2016,Dak Prescott
8.0,8.0,8.0,9.0,2016-11-06,DAL,CLE,*,21,27,77.8,247,3,0,9.1,11.37,141.8,0,0,4,20,0,5.0,0,23.880000000000003,2016,Dak Prescott
9.0,9.0,9.0,10.0,2016-11-13,DAL,PIT,*,22,32,68.8,319,2,0,10.0,11.22,121.7,2,24,0,0,0,,1,18.759999999999998,2016,Dak Prescott
10.0,10.0,10.0,11.0,2016-11-20,DAL,BAL,*,27,36,75.0,301,3,0,8.4,10.03,127.2,1,2,2,16,0,8.0,0,25.64,2016,Dak Prescott
11.0,11.0,11.0,12.0,2016-11-24,DAL,WAS,*,17,24,70.8,195,1,0,8.1,8.96,108.9,1,5,8,39,1,4.9,0,21.700000000000003,2016,Dak Prescott
12.0,12.0,12.0,13.0,2016-12-01,DAL,MIN,*,12,18,66.7,139,1,0,7.7,8.83,108.3,3,15,6,37,0,6.2,2,9.259999999999998,2016,Dak Prescott
13.0,13.0,13.0,14.0,2016-12-11,DAL,NYG,*,17,37,45.9,165,1,2,4.5,2.57,45.4,3,13,1,1,0,1.0,1,4.699999999999999,2016,Dak Prescott
14.0,14.0,14.0,15.0,2016-12-18,DAL,TB,*,32,36,88.9,279,0,0,7.8,7.75,99.0,3,15,4,20,1,5.0,0,19.16,2016,Dak Prescott
