Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2016,1.0,2016-09-11,NYG,25,45,227,0,0,2,12,0,10.28,,,,,,,,,,,,Dak Prescott
2016,2.0,2016-09-18,WAS,22,30,292,0,0,1,6,1,18.28,,,,,,,,,,,,Dak Prescott
2016,3.0,2016-09-25,CHI,19,24,248,1,0,4,36,1,23.52,,,,,,,,,,,,Dak Prescott
2016,4.0,2016-10-02,SF,23,32,245,2,0,5,3,0,18.1,,,,,,,,,,,,Dak Prescott
2016,5.0,2016-10-09,CIN,18,24,227,1,0,7,4,1,15.48,,,,,,,,,,,,Dak Prescott
2016,6.0,2016-10-16,GB,18,27,247,3,1,1,6,0,16.480000000000004,,,,,,,,,,,,Dak Prescott
2016,8.0,2016-10-30,PHI,19,39,287,2,1,7,38,1,25.28,,,,,,,,,,,,Dak Prescott
2016,9.0,2016-11-06,CLE,21,27,247,3,0,4,20,0,23.880000000000003,,,,,,,,,,,,Dak Prescott
2016,10.0,2016-11-13,PIT,22,32,319,2,0,0,0,0,18.76,,,,,,,,,,,,Dak Prescott
2016,11.0,2016-11-20,BAL,27,36,301,3,0,2,16,0,25.64,,,,,,,,,,,,Dak Prescott
2016,12.0,2016-11-24,WAS,17,24,195,1,0,8,39,1,21.700000000000003,,,,,,,,,,,,Dak Prescott
2016,13.0,2016-12-01,MIN,12,18,139,1,0,6,37,0,9.259999999999998,,,,,,,,,,,,Dak Prescott
2016,14.0,2016-12-11,NYG,17,37,165,1,2,1,1,0,4.699999999999999,,,,,,,,,,,,Dak Prescott
2016,15.0,2016-12-18,TB,32,36,279,0,0,4,20,1,19.16,,,,,,,,,,,,Dak Prescott
2016,16.0,2016-12-26,DET,15,20,212,3,0,4,35,0,23.98,,,,,,,,,,,,Dak Prescott
2017,17.0,2017-01-01,PHI,4,8,37,0,0,1,9,0,2.38,20.75,34.4375,251.5,1.5,1.0,3.0625,10.25,0.0625,2.125,,15.2,Dak Prescott
2017,1.0,2017-09-10,NYG,24,39,268,1,0,3,24,0,17.12,23.0,39.1875,264.3125,0.9375,1.0625,1.875,5.3125,0.0,2.1875,,12.5,Dak Prescott
2017,2.0,2017-09-17,DEN,30,50,238,2,2,3,24,0,15.919999999999998,19.0625,34.375,199.875,0.75,0.875,3.375,17.5,0.25,2.625,0.0625,12.1,Dak Prescott
2017,3.0,2017-09-25,ARI,13,18,183,2,0,3,16,1,22.92,21.4375,34.0625,233.4375,1.3125,0.8125,4.625,21.75,0.25,3.0,0.0625,15.8,Dak Prescott
2017,4.0,2017-10-01,LAR,20,36,252,3,1,3,25,0,22.58,23.5625,36.3125,242.375,1.9375,0.625,3.4375,10.875,0.125,1.9375,,17.7,Dak Prescott
2017,5.0,2017-10-08,GB,25,36,251,3,1,4,37,1,27.74,23.0625,35.625,287.0625,1.9375,1.0625,2.4375,7.5625,0.0625,2.4375,,17.7,Dak Prescott
