Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2019-09-08,NYG,DAL,,3,4,75.0,17,0,0,4.3,4.25,82.3,0,0,1,5,0,5.0,1,-0.8199999999999998,2019,Daniel Jones
2.0,2.0,3.0,3.0,2019-09-22,NYG,TB,*,23,36,63.9,336,2,0,9.3,10.44,112.7,5,24,4,28,2,7.0,2,32.239999999999995,2019,Daniel Jones
3.0,3.0,4.0,4.0,2019-09-29,NYG,WAS,*,23,31,74.2,225,1,2,7.3,5.0,78.0,0,0,5,33,0,6.6,1,10.3,2019,Daniel Jones
4.0,4.0,5.0,5.0,2019-10-06,NYG,MIN,*,21,38,55.3,182,1,1,4.8,4.13,65.9,4,35,3,12,0,4.0,0,10.48,2019,Daniel Jones
5.0,5.0,6.0,6.0,2019-10-10,NYG,NE,*,15,31,48.4,161,1,3,5.2,1.48,35.2,1,0,2,8,0,4.0,0,5.240000000000002,2019,Daniel Jones
6.0,6.0,7.0,7.0,2019-10-20,NYG,ARI,*,22,35,62.9,223,1,1,6.4,5.66,78.6,8,67,4,35,0,8.8,3,8.420000000000002,2019,Daniel Jones
7.0,7.0,8.0,8.0,2019-10-27,NYG,DET,*,28,41,68.3,322,4,0,7.9,9.8,124.2,3,32,4,13,0,3.3,2,26.180000000000003,2019,Daniel Jones
8.0,8.0,9.0,9.0,2019-11-04,NYG,DAL,*,26,41,63.4,210,1,1,5.1,4.51,74.2,5,39,6,54,0,9.0,2,11.8,2019,Daniel Jones
9.0,9.0,10.0,10.0,2019-11-10,NYG,NYJ,*,26,40,65.0,308,4,0,7.7,9.7,121.7,6,50,3,20,0,6.7,3,24.32,2019,Daniel Jones
10.0,10.0,11.0,12.0,2019-11-24,NYG,CHI,*,21,36,58.3,150,2,0,4.2,5.28,86.6,1,16,2,27,0,13.5,1,14.7,2019,Daniel Jones
11.0,11.0,12.0,13.0,2019-12-01,NYG,GB,*,20,37,54.1,240,1,3,6.5,3.38,49.4,0,0,5,6,0,1.2,1,6.199999999999999,2019,Daniel Jones
12.0,12.0,15.0,16.0,2019-12-22,NYG,WAS,*,28,42,66.7,352,5,0,8.4,10.76,132.1,1,6,3,12,0,4.0,1,33.28,2019,Daniel Jones
13.0,13.0,16.0,17.0,2019-12-29,NYG,PHI,*,28,47,59.6,301,1,1,6.4,5.87,76.6,4,26,3,26,0,8.7,2,12.64,2019,Daniel Jones
