Tm,G,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,2PP,Sk,Rushing Att,Rushing Yds,Rushing TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt,Season
CLE,16,347,543,4173,36,10,2,26,41,175,0,311.02,336.4,320.4,19.4,21.0,20.0,2016
ATL,16,422,654,4495,31,12,2,34,55,212,1,305.30,332.3,317.8,19.1,20.8,19.9,2016
DET,16,398,548,4126,32,10,2,26,41,161,2,303.94,333.6,314.1,19.0,20.9,19.6,2016
MIA,16,365,586,4066,30,16,5,32,70,338,2,298.54,330.4,314.4,18.7,20.7,19.7,2016
TEN,16,385,632,4548,24,12,,40,42,160,3,295.92,330.9,308.4,18.5,20.7,19.3,2016
NO,16,377,580,4550,27,9,3,30,50,143,1,292.30,328.3,301.3,18.3,20.5,18.8,2016
IND,16,378,582,4411,27,8,,33,41,166,1,283.04,308.0,291.0,17.7,19.3,18.2,2016
GB,16,369,570,4593,31,17,,39,39,121,1,283.02,322.0,300.0,17.7,20.1,18.8,2016
LAR,16,377,581,3878,31,10,,31,55,174,2,282.92,302.9,293.4,17.7,18.9,18.3,2016
SF,16,322,521,4013,30,10,,33,61,223,0,278.82,300.8,288.8,17.4,18.8,18.1,2016
LV,16,328,540,4267,27,16,3,25,35,141,4,278.48,312.5,295.5,17.4,19.5,18.5,2016
CHI,16,342,530,3828,22,8,1,37,58,258,4,276.12,296.8,284.8,17.3,18.6,17.8,2016
NYJ,16,347,544,4077,30,8,1,27,50,88,0,274.08,295.9,281.9,17.1,18.5,17.6,2016
CAR,16,409,612,4561,27,17,3,47,40,117,1,266.14,305.1,283.1,16.6,19.1,17.7,2016
WAS,16,387,588,4383,22,13,,38,31,143,3,265.62,304.6,278.6,16.6,19.0,17.4,2016
DAL,16,425,631,4376,25,9,,36,38,135,1,264.54,291.5,273.5,16.5,18.2,17.1,2016
TB,16,347,548,4246,24,17,1,38,49,250,2,261.04,294.8,277.8,16.3,18.4,17.4,2016
LAC,16,364,580,4217,21,18,2,35,58,218,4,258.48,295.5,276.5,16.2,18.5,17.3,2016
CIN,16,374,593,3985,22,17,,33,57,256,3,253.70,288.7,271.2,15.9,18.0,17.0,2016
BUF,16,306,511,3835,19,12,2,39,60,292,3,252.70,272.6,264.6,15.8,17.0,16.5,2016
ARI,16,343,545,3735,21,13,1,48,74,348,4,252.40,281.4,266.4,15.8,17.6,16.7,2016
NE,16,367,593,4028,21,13,1,34,37,189,2,250.02,273.0,263.0,15.6,17.1,16.4,2016
KC,16,350,598,4120,23,18,1,28,57,273,1,248.10,282.1,266.1,15.5,17.6,16.6,2016
BAL,16,369,578,3947,28,18,,31,37,78,2,247.68,277.7,265.7,15.5,17.4,16.6,2016
