Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2013,1,2013-09-08,TB,24.0,38.0,256.0,1.0,1.0,6.0,47.0,0.0,14.94,,,,,,,,,,,,Geno Smith
2013,2,2013-09-12,NE,15.0,35.0,214.0,0.0,3.0,3.0,17.0,0.0,4.26,,,,,,,,,,,,Geno Smith
2013,3,2013-09-22,BUF,16.0,29.0,331.0,2.0,2.0,4.0,14.0,1.0,24.64,,,,,,,,,,,,Geno Smith
2013,4,2013-09-29,TEN,23.0,34.0,289.0,1.0,2.0,3.0,7.0,0.0,8.260000000000002,,,,,,,,,,,,Geno Smith
2013,5,2013-10-07,ATL,16.0,20.0,199.0,3.0,0.0,3.0,21.0,0.0,22.06,,,,,,,,,,,,Geno Smith
2013,6,2013-10-13,PIT,19.0,34.0,201.0,0.0,2.0,3.0,8.0,0.0,2.84,,,,,,,,,,,,Geno Smith
2013,7,2013-10-20,NE,17.0,33.0,233.0,1.0,1.0,6.0,32.0,1.0,16.52,,,,,,,,,,,,Geno Smith
2013,8,2013-10-27,CIN,20.0,30.0,159.0,0.0,2.0,2.0,8.0,0.0,3.16,,,,,,,,,,,,Geno Smith
2013,9,2013-11-03,NO,8.0,19.0,115.0,0.0,0.0,6.0,18.0,1.0,12.4,,,,,,,,,,,,Geno Smith
2013,11,2013-11-17,BUF,8.0,23.0,103.0,0.0,3.0,1.0,0.0,0.0,-5.88,,,,,,,,,,,,Geno Smith
2013,12,2013-11-24,BAL,9.0,22.0,127.0,0.0,2.0,3.0,6.0,0.0,1.6799999999999995,,,,,,,,,,,,Geno Smith
2013,13,2013-12-01,MIA,4.0,10.0,29.0,0.0,1.0,1.0,2.0,0.0,-0.6400000000000001,,,,,,,,,,,,Geno Smith
2013,14,2013-12-08,LV,16.0,25.0,219.0,1.0,1.0,5.0,50.0,1.0,21.76,,,,,,,,,,,,Geno Smith
2013,15,2013-12-15,CAR,15.0,28.0,167.0,1.0,1.0,6.0,44.0,0.0,13.08,,,,,,,,,,,,Geno Smith
2013,16,2013-12-22,CLE,20.0,36.0,214.0,2.0,0.0,10.0,48.0,1.0,27.360000000000003,,,,,,,,,,,,Geno Smith
2013,17,2013-12-29,MIA,17.0,27.0,190.0,0.0,0.0,10.0,44.0,1.0,18.0,,,,,,,,,,,,Geno Smith
2014,1,2014-09-07,LV,23.0,28.0,221.0,1.0,1.0,10.0,38.0,0.0,10.64,,,,,,,,,,,,Geno Smith
2014,2,2014-09-14,GB,16.0,32.0,176.0,1.0,1.0,7.0,26.0,1.0,17.64,,,,,,,,,,,,Geno Smith
2014,3,2014-09-22,CHI,26.0,43.0,316.0,1.0,2.0,3.0,20.0,0.0,14.64,,,,,,,,,,,,Geno Smith
2014,4,2014-09-28,DET,17.0,33.0,209.0,1.0,1.0,4.0,4.0,0.0,6.76,,,,,,,,,,,,Geno Smith
2014,5,2014-10-05,SDG,4.0,12.0,27.0,0.0,1.0,1.0,3.0,0.0,-0.6199999999999999,,,,,,,,,,,,Geno Smith
2014,6,2014-10-12,DEN,23.0,43.0,190.0,2.0,1.0,2.0,11.0,0.0,12.7,,,,,,,,,,,,Geno Smith
2014,7,2014-10-16,NE,20.0,34.0,226.0,1.0,0.0,7.0,37.0,0.0,14.739999999999998,,,,,,,,,,,,Geno Smith
2014,8,2014-10-26,BUF,2.0,8.0,5.0,0.0,3.0,1.0,0.0,0.0,-5.8,,,,,,,,,,,,Geno Smith
2014,12,2014-11-24,BUF,10.0,12.0,89.0,0.0,0.0,2.0,4.0,0.0,3.96,,,,,,,,,,,,Geno Smith
2014,13,2014-12-01,MIA,7.0,13.0,65.0,0.0,1.0,4.0,19.0,0.0,0.5,,,,,,,,,,,,Geno Smith
2014,14,2014-12-07,MIN,18.0,29.0,254.0,1.0,1.0,6.0,33.0,0.0,15.46,,,,,,,,,,,,Geno Smith
2014,15,2014-12-14,TEN,16.0,28.0,179.0,1.0,0.0,4.0,16.0,0.0,12.76,,,,,,,,,,,,Geno Smith
2014,16,2014-12-21,NE,17.0,27.0,210.0,1.0,1.0,3.0,9.0,0.0,11.3,,,,,,,,,,,,Geno Smith
2014,17,2014-12-28,MIA,20.0,25.0,358.0,3.0,0.0,5.0,18.0,0.0,26.12,,,,,,,,,,,,Geno Smith
2015,8,2015-11-01,LV,27.0,42.0,265.0,2.0,1.0,2.0,34.0,0.0,20.0,,,,,,,,,,,,Geno Smith
2016,6,2016-10-17,ARI,4.0,6.0,31.0,0.0,1.0,1.0,2.0,0.0,-2.56,,,,,,,,,,,,Geno Smith
2016,7,2016-10-23,BAL,4.0,8.0,95.0,1.0,0.0,1.0,7.0,0.0,8.5,,,,,,,,,,,,Geno Smith
2017,9,2017-11-05,LAR,0.0,2.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.1,23.5625,36.3125,242.375,1.9375,0.625,3.4375,10.875,0.125,1.9375,,17.7,Geno Smith
2017,13,2017-12-03,LV,21.0,34.0,212.0,1.0,0.0,3.0,13.0,0.0,9.78,20.5,33.75,266.6875,1.6875,1.0,2.1875,8.8125,0.25,1.5625,0.1875,17.4,Geno Smith
2018,2,2018-09-16,BUF,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.1,23.125,35.8125,240.25,0.875,1.125,3.125,7.9375,0.25,1.6875,,12.9,Geno Smith
