Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2013-09-08,NYJ,TB,*,24,38,63.2,256,1,1,6.7,6.08,80.6,5,42,6,47,0,7.8,1,14.940000000000001,2013,Geno Smith
2.0,2.0,2.0,2,2013-09-12,NYJ,NE,*,15,35,42.9,214,0,3,6.1,2.26,27.6,4,25,3,17,0,5.7,0,4.26,2013,Geno Smith
3.0,3.0,3.0,3,2013-09-22,NYJ,BUF,*,16,29,55.2,331,2,2,11.4,9.69,89.9,0,0,4,14,1,3.5,0,24.64,2013,Geno Smith
4.0,4.0,4.0,4,2013-09-29,NYJ,TEN,*,23,34,67.6,289,1,2,8.5,6.44,79.2,5,50,3,7,0,2.3,2,8.260000000000002,2013,Geno Smith
5.0,5.0,5.0,5,2013-10-07,NYJ,ATL,*,16,20,80.0,199,3,0,10.0,12.95,147.7,4,29,3,21,0,7.0,0,22.060000000000002,2013,Geno Smith
6.0,6.0,6.0,6,2013-10-13,NYJ,PIT,*,19,34,55.9,201,0,2,5.9,3.26,48.8,3,17,3,8,0,2.7,1,2.84,2013,Geno Smith
7.0,7.0,7.0,7,2013-10-20,NYJ,NE,*,17,33,51.5,233,1,1,7.1,6.3,71.9,4,27,6,32,1,5.3,2,16.52,2013,Geno Smith
8.0,8.0,8.0,8,2013-10-27,NYJ,CIN,*,20,30,66.7,159,0,2,5.3,2.3,51.9,3,28,2,8,0,4.0,0,3.16,2013,Geno Smith
9.0,9.0,9.0,9,2013-11-03,NYJ,NO,*,8,19,42.1,115,0,0,6.1,6.05,62.4,2,0,6,18,1,3.0,0,12.399999999999999,2013,Geno Smith
10.0,10.0,10.0,11,2013-11-17,NYJ,BUF,*,8,23,34.8,103,0,3,4.5,-1.39,10.1,4,30,1,0,0,0.0,2,-5.88,2013,Geno Smith
11.0,11.0,11.0,12,2013-11-24,NYJ,BAL,*,9,22,40.9,127,0,2,5.8,1.68,22.3,3,22,3,6,0,2.0,0,1.6799999999999997,2013,Geno Smith
12.0,12.0,12.0,13,2013-12-01,NYJ,MIA,*,4,10,40.0,29,0,1,2.9,-1.6,8.3,1,8,1,2,0,2.0,0,-0.6400000000000001,2013,Geno Smith
13.0,13.0,13.0,14,2013-12-08,NYJ,LV,*,16,25,64.0,219,1,1,8.8,7.76,88.6,1,10,5,50,1,10.0,0,21.759999999999998,2013,Geno Smith
14.0,14.0,14.0,15,2013-12-15,NYJ,CAR,*,15,28,53.6,167,1,1,6.0,5.07,68.6,4,27,6,44,0,7.3,0,13.08,2013,Geno Smith
15.0,15.0,15.0,16,2013-12-22,NYJ,CLE,*,20,36,55.6,214,2,0,5.9,7.06,91.7,0,0,10,48,1,4.8,0,27.360000000000003,2013,Geno Smith
16.0,16.0,16.0,17,2013-12-29,NYJ,MIA,*,17,27,63.0,190,0,0,7.0,7.04,83.9,0,0,10,44,1,4.4,0,18.0,2013,Geno Smith
17.0,17.0,1.0,1,2014-09-07,NYJ,LV,*,23,28,82.1,221,1,1,7.9,7.0,96.6,2,31,10,38,0,3.8,2,10.64,2014,Geno Smith
18.0,18.0,2.0,2,2014-09-14,NYJ,GB,*,16,32,50.0,176,1,1,5.5,4.72,64.1,1,7,7,26,1,3.7,0,17.64,2014,Geno Smith
19.0,19.0,3.0,3,2014-09-22,NYJ,CHI,*,26,43,60.5,316,1,2,7.3,5.72,71.5,3,16,3,20,0,6.7,0,14.64,2014,Geno Smith
20.0,20.0,4.0,4,2014-09-28,NYJ,DET,*,17,33,51.5,209,1,1,6.3,5.58,68.9,2,5,4,4,0,1.0,2,6.76,2014,Geno Smith
21.0,21.0,5.0,5,2014-10-05,NYJ,SDG,*,4,12,33.3,27,0,1,2.3,-1.5,7.6,0,0,1,3,0,3.0,0,-0.6199999999999999,2014,Geno Smith
22.0,22.0,6.0,6,2014-10-12,NYJ,DEN,*,23,43,53.5,190,2,1,4.4,4.3,70.9,4,17,2,11,0,5.5,1,12.7,2014,Geno Smith
23.0,23.0,7.0,7,2014-10-16,NYJ,NE,*,20,34,58.8,226,1,0,6.6,7.24,88.6,3,21,7,37,0,5.3,1,14.739999999999998,2014,Geno Smith
24.0,24.0,8.0,8,2014-10-26,NYJ,BUF,*,2,8,25.0,5,0,3,0.6,-16.25,0.0,0,0,1,0,0,0.0,0,-5.8,2014,Geno Smith
25.0,25.0,11.0,12,2014-11-24,NYJ,BUF,,10,12,83.3,89,0,0,7.4,7.42,97.6,2,9,2,4,0,2.0,0,3.96,2014,Geno Smith
26.0,26.0,12.0,13,2014-12-01,NYJ,MIA,*,7,13,53.8,65,0,1,5.0,1.54,35.7,2,16,4,19,0,4.8,1,0.5,2014,Geno Smith
27.0,27.0,13.0,14,2014-12-07,NYJ,MIN,*,18,29,62.1,254,1,1,8.8,7.9,87.4,3,12,6,33,0,5.5,0,15.46,2014,Geno Smith
28.0,28.0,14.0,15,2014-12-14,NYJ,TEN,*,16,28,57.1,179,1,0,6.4,7.11,88.2,3,16,4,16,0,4.0,0,12.76,2014,Geno Smith
29.0,29.0,15.0,16,2014-12-21,NYJ,NE,*,17,27,63.0,210,1,1,7.8,6.85,83.9,2,19,3,9,0,3.0,0,11.3,2014,Geno Smith
30.0,30.0,16.0,17,2014-12-28,NYJ,MIA,*,20,25,80.0,358,3,0,14.3,16.72,158.3,1,6,5,18,0,3.6,1,26.12,2014,Geno Smith
31.0,31.0,7.0,8,2015-11-01,NYJ,LV,,27,42,64.3,265,2,1,6.3,6.19,87.9,3,19,2,34,0,17.0,0,20.0,2015,Geno Smith
