Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2013,1,2013-09-08,TB,24,38,256,1,1,6,47,0,14.94,,,,,,,,,,,,Geno Smith
2013,2,2013-09-12,NE,15,35,214,0,3,3,17,0,4.26,,,,,,,,,,,,Geno Smith
2013,3,2013-09-22,BUF,16,29,331,2,2,4,14,1,24.64,,,,,,,,,,,,Geno Smith
2013,4,2013-09-29,TEN,23,34,289,1,2,3,7,0,8.260000000000002,,,,,,,,,,,,Geno Smith
2013,5,2013-10-07,ATL,16,20,199,3,0,3,21,0,22.06,,,,,,,,,,,,Geno Smith
2013,6,2013-10-13,PIT,19,34,201,0,2,3,8,0,2.84,,,,,,,,,,,,Geno Smith
2013,7,2013-10-20,NE,17,33,233,1,1,6,32,1,16.52,,,,,,,,,,,,Geno Smith
2013,8,2013-10-27,CIN,20,30,159,0,2,2,8,0,3.16,,,,,,,,,,,,Geno Smith
2013,9,2013-11-03,NO,8,19,115,0,0,6,18,1,12.4,,,,,,,,,,,,Geno Smith
2013,11,2013-11-17,BUF,8,23,103,0,3,1,0,0,-5.88,,,,,,,,,,,,Geno Smith
2013,12,2013-11-24,BAL,9,22,127,0,2,3,6,0,1.6799999999999995,,,,,,,,,,,,Geno Smith
2013,13,2013-12-01,MIA,4,10,29,0,1,1,2,0,-0.6400000000000001,,,,,,,,,,,,Geno Smith
2013,14,2013-12-08,LV,16,25,219,1,1,5,50,1,21.76,,,,,,,,,,,,Geno Smith
2013,15,2013-12-15,CAR,15,28,167,1,1,6,44,0,13.08,,,,,,,,,,,,Geno Smith
2013,16,2013-12-22,CLE,20,36,214,2,0,10,48,1,27.360000000000003,,,,,,,,,,,,Geno Smith
2013,17,2013-12-29,MIA,17,27,190,0,0,10,44,1,18.0,,,,,,,,,,,,Geno Smith
2014,1,2014-09-07,LV,23,28,221,1,1,10,38,0,10.64,,,,,,,,,,,,Geno Smith
2014,2,2014-09-14,GB,16,32,176,1,1,7,26,1,17.64,,,,,,,,,,,,Geno Smith
2014,3,2014-09-22,CHI,26,43,316,1,2,3,20,0,14.64,,,,,,,,,,,,Geno Smith
2014,4,2014-09-28,DET,17,33,209,1,1,4,4,0,6.76,,,,,,,,,,,,Geno Smith
2014,5,2014-10-05,SDG,4,12,27,0,1,1,3,0,-0.6199999999999999,,,,,,,,,,,,Geno Smith
2014,6,2014-10-12,DEN,23,43,190,2,1,2,11,0,12.7,,,,,,,,,,,,Geno Smith
2014,7,2014-10-16,NE,20,34,226,1,0,7,37,0,14.739999999999998,,,,,,,,,,,,Geno Smith
2014,8,2014-10-26,BUF,2,8,5,0,3,1,0,0,-5.8,,,,,,,,,,,,Geno Smith
2014,12,2014-11-24,BUF,10,12,89,0,0,2,4,0,3.96,,,,,,,,,,,,Geno Smith
2014,13,2014-12-01,MIA,7,13,65,0,1,4,19,0,0.5,,,,,,,,,,,,Geno Smith
2014,14,2014-12-07,MIN,18,29,254,1,1,6,33,0,15.46,,,,,,,,,,,,Geno Smith
2014,15,2014-12-14,TEN,16,28,179,1,0,4,16,0,12.76,,,,,,,,,,,,Geno Smith
2014,16,2014-12-21,NE,17,27,210,1,1,3,9,0,11.3,,,,,,,,,,,,Geno Smith
2014,17,2014-12-28,MIA,20,25,358,3,0,5,18,0,26.12,,,,,,,,,,,,Geno Smith
2015,8,2015-11-01,LV,27,42,265,2,1,2,34,0,20.0,,,,,,,,,,,,Geno Smith
2016,6,2016-10-17,ARI,4,6,31,0,1,1,2,0,-2.56,,,,,,,,,,,,Geno Smith
2016,7,2016-10-23,BAL,4,8,95,1,0,1,7,0,8.5,,,,,,,,,,,,Geno Smith
2017,9,2017-11-05,LAR,0,2,0,0,0,1,-1,0,-0.1,23.5625,36.3125,242.375,1.9375,0.625,3.4375,10.875,0.125,1.9375,,17.7,Geno Smith
2017,13,2017-12-03,LV,21,34,212,1,0,3,13,0,9.78,20.5,33.75,266.6875,1.6875,1.0,2.1875,8.8125,0.25,1.5625,0.1875,17.4,Geno Smith
2018,2,2018-09-16,BUF,0,0,0,0,0,1,-1,0,-0.1,23.125,35.8125,240.25,0.875,1.125,3.125,7.9375,0.25,1.6875,,12.9,Geno Smith
2018,6,2018-10-14,CLE,1,1,8,0,0,2,-2,0,0.12,22.5,32.8125,242.5625,1.75,0.4375,3.625,11.1875,0.25,2.125,0.0625,18.2,Geno Smith
2018,12,2018-11-25,ARI,0,3,0,0,0,3,7,0,0.7,21.4375,35.25,237.25,1.5,0.9375,3.0625,15.25,0.3125,2.3125,,16.8,Geno Smith
2018,13,2018-12-02,PIT,0,0,0,0,0,0,0,0,0.0,18.5625,31.0625,225.625,1.25,1.0,2.4375,10.6875,0.125,3.5,0.0625,13.8,Geno Smith
2018,17,2018-12-30,DEN,0,0,0,0,0,2,-2,0,-2.2,18.375,30.625,211.5625,1.8125,0.5625,3.0,8.0625,0.0625,2.0625,,15.1,Geno Smith
2020,14,2020-12-13,NYJ,4,5,33,0,0,2,-2,0,-0.8799999999999999,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7,Geno Smith
2021,5,2021-10-07,LAR,10,17,131,1,1,3,23,0,9.54,21.6875,34.25,212.5625,1.0625,0.875,3.5625,15.125,0.25,3.3125,,13.5,Geno Smith
2021,6,2021-10-17,PIT,23,32,209,1,0,1,-1,0,10.26,18.625,32.8125,218.375,1.375,1.125,4.125,21.875,0.0625,3.5,0.125,14.2,Geno Smith
2021,7,2021-10-25,NO,12,22,167,1,0,3,12,0,11.88,20.8125,34.8125,234.9375,1.75,1.125,3.375,15.5625,0.0625,2.8125,0.125,15.8,Geno Smith
2021,8,2021-10-31,JAX,20,24,195,2,0,2,8,1,22.6,23.125,33.3125,270.125,2.125,0.75,4.9375,19.375,0.3125,1.125,0.0625,21.7,Geno Smith
2022,1,2022-09-12,DEN,23,28,195,2,0,6,14,0,15.2,20.058823529411764,33.05882352941177,229.47058823529412,1.2941176470588236,0.7647058823529411,4.352941176470588,18.11764705882353,0.11764705882352941,2.1176470588235294,,15.2,Geno Smith
2022,2,2022-09-18,SF,24,30,197,0,1,2,2,0,6.08,21.705882352941178,31.764705882352942,224.41176470588235,1.4705882352941178,0.5294117647058824,3.764705882352941,21.294117647058822,0.23529411764705882,2.823529411764706,0.11764705882352941,17.3,Geno Smith
2022,3,2022-09-25,ATL,32,44,325,2,1,2,-1,0,18.9,22.88235294117647,33.76470588235294,239.94117647058823,1.8235294117647058,0.7058823529411765,5.470588235294118,25.294117647058822,0.23529411764705882,1.0,0.17647058823529413,19.6,Geno Smith
2022,4,2022-10-02,DET,23,30,320,2,0,7,49,1,31.700000000000003,21.11764705882353,31.941176470588236,256.52941176470586,1.8235294117647058,0.6470588235294118,4.352941176470588,15.705882352941176,0.0,1.7647058823529411,0.058823529411764705,17.8,Geno Smith
2022,5,2022-10-09,NO,16,25,268,3,0,3,13,0,24.02,21.705882352941178,34.76470588235294,243.0,1.1764705882352942,1.0588235294117647,4.176470588235294,16.88235294117647,0.29411764705882354,2.7058823529411766,,15.4,Geno Smith
2022,6,2022-10-16,ARI,20,31,197,0,0,6,48,0,10.68,21.470588235294116,32.88235294117647,225.58823529411765,1.7647058823529411,0.7647058823529411,3.4705882352941178,15.294117647058824,0.17647058823529413,2.411764705882353,0.17647058823529413,16.3,Geno Smith
2022,7,2022-10-23,LAC,20,27,210,2,1,4,7,0,13.099999999999998,20.941176470588236,32.76470588235294,234.76470588235293,1.588235294117647,0.6470588235294118,3.411764705882353,17.294117647058822,0.17647058823529413,2.0588235294117645,0.17647058823529413,17.1,Geno Smith
2022,8,2022-10-30,NYG,23,34,212,2,0,5,26,0,19.08,23.58823529411765,35.8235294117647,236.58823529411765,1.588235294117647,0.8235294117647058,3.235294117647059,13.470588235294118,0.11764705882352941,2.0,,16.0,Geno Smith
2022,9,2022-11-06,ARI,26,34,275,2,1,6,38,0,20.8,21.470588235294116,32.88235294117647,225.58823529411765,1.7647058823529411,0.7647058823529411,3.4705882352941178,15.294117647058824,0.17647058823529413,2.411764705882353,0.17647058823529413,16.3,Geno Smith
