Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,2.0,2.0,2020-09-20,PHI,LAR,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0.0,2020,Jalen Hurts
2.0,2.0,3.0,3.0,2020-09-27,PHI,CIN,,0,0,,0,0,0,,,,0,0,2,5,0,2.5,1,-1.5,2020,Jalen Hurts
3.0,3.0,4.0,4.0,2020-10-04,PHI,SF,,0,0,,0,0,0,,,,0,0,3,18,0,6.0,1,-0.19999999999999996,2020,Jalen Hurts
4.0,4.0,5.0,5.0,2020-10-11,PHI,PIT,,1,1,100.0,18,0,0,18.0,18.0,118.7,0,0,0,0,0,,0,0.72,2020,Jalen Hurts
5.0,5.0,6.0,6.0,2020-10-18,PHI,BAL,,0,0,,0,0,0,,,,0,0,2,23,0,11.5,0,2.3,2020,Jalen Hurts
6.0,6.0,7.0,7.0,2020-10-22,PHI,NYG,,0,0,,0,0,0,,,,0,0,2,2,0,1.0,0,0.2,2020,Jalen Hurts
7.0,7.0,8.0,8.0,2020-11-01,PHI,DAL,,1,1,100.0,9,0,0,9.0,9.0,104.2,0,0,0,0,0,,0,0.36,2020,Jalen Hurts
8.0,8.0,9.0,10.0,2020-11-15,PHI,NYG,,0,0,,0,0,0,,,,0,0,2,-1,0,-0.5,1,-2.1,2020,Jalen Hurts
9.0,9.0,10.0,11.0,2020-11-22,PHI,CLE,,0,0,,0,0,0,,,,0,0,1,6,0,6.0,0,0.6,2020,Jalen Hurts
10.0,10.0,11.0,12.0,2020-11-30,PHI,SEA,,1,1,100.0,6,0,0,6.0,6.0,91.7,0,0,0,0,0,,0,0.24,2020,Jalen Hurts
