Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2020,2.0,2020-09-20,LAR,0,0,0,0,0,0,0,0,0.0,21.75,35.125,245.5,1.4375,0.8125,3.75,13.5,0.125,3.125,,15.5,Jalen Hurts
2020,3.0,2020-09-27,CIN,0,0,0,0,0,2,5,0,-1.5,19.0,30.9375,254.625,1.5625,0.6875,5.8125,30.5625,0.3125,1.9375,0.125,20.2,Jalen Hurts
2020,4.0,2020-10-04,SF,0,0,0,0,0,3,18,0,-0.1999999999999999,19.8125,32.375,190.875,1.4375,0.75,4.5625,23.75,0.1875,3.0,0.125,15.2,Jalen Hurts
2020,5.0,2020-10-11,PIT,1,1,18,0,0,0,0,0,0.72,19.5625,32.0,213.9375,1.4375,1.1875,4.4375,14.0625,0.125,3.375,,12.8,Jalen Hurts
2020,6.0,2020-10-18,BAL,0,0,0,0,0,2,23,0,2.3,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0,Jalen Hurts
2020,7.0,2020-10-22,NYG,0,0,0,0,0,2,2,0,0.2,23.0,34.6875,278.75,1.875,0.625,4.375,14.125,0.375,2.25,,20.7,Jalen Hurts
2020,8.0,2020-11-01,DAL,1,1,9,0,0,0,0,0,0.36,23.0,35.4375,240.375,1.25,0.4375,4.375,18.5,0.1875,2.4375,0.0625,16.1,Jalen Hurts
2020,10.0,2020-11-15,NYG,0,0,0,0,0,2,-1,0,-2.1,23.0,34.6875,278.75,1.875,0.625,4.375,14.125,0.375,2.25,,20.7,Jalen Hurts
2020,11.0,2020-11-22,CLE,0,0,0,0,0,1,6,0,0.6,19.8125,32.0,232.125,1.5625,0.875,5.625,25.8125,0.3125,2.375,,18.0,Jalen Hurts
2020,12.0,2020-11-30,SEA,1,1,6,0,0,0,0,0,0.24,23.9375,37.25,275.4375,1.1875,1.0,3.625,21.6875,0.1875,1.75,0.1875,16.5,Jalen Hurts
2020,13.0,2020-12-06,GB,5,12,109,1,1,5,29,0,9.26,20.3125,34.0,249.8125,1.125,1.0625,2.6875,8.9375,0.0,2.5625,,13.3,Jalen Hurts
2020,14.0,2020-12-13,NO,17,30,167,1,0,18,106,0,19.28,23.125,37.625,260.375,1.625,0.8125,2.5,13.4375,0.25,3.1875,0.0625,17.9,Jalen Hurts
2020,15.0,2020-12-20,ARI,24,44,338,3,0,11,63,1,31.82,26.3125,37.5625,299.0625,2.375,0.4375,3.3125,17.6875,0.0,2.5,,22.7,Jalen Hurts
2020,16.0,2020-12-27,DAL,21,39,342,1,2,9,69,0,16.58,23.0,35.4375,240.375,1.25,0.4375,4.375,18.5,0.1875,2.4375,0.0625,16.1,Jalen Hurts
2021,17.0,2021-01-03,WAS,7,20,72,0,1,8,34,2,16.28,20.5,32.9375,210.1875,1.3125,1.0,4.3125,23.3125,0.375,2.875,0.0625,15.7,Jalen Hurts
2021,1.0,2021-09-12,ATL,27,35,264,3,0,7,62,0,26.76,26.5625,38.9375,307.375,2.125,0.6875,4.0625,21.5,0.375,1.8125,0.125,23.3,Jalen Hurts
2021,2.0,2021-09-19,SF,12,23,190,0,0,10,82,1,19.8,21.25,33.4375,219.625,1.5625,0.75,5.8125,27.875,0.125,1.875,0.0625,16.7,Jalen Hurts
2021,3.0,2021-09-27,DAL,25,39,326,2,2,9,35,0,20.54,20.375,31.875,234.6875,2.0625,0.625,4.875,22.875,0.125,1.9375,0.1875,18.9,Jalen Hurts
2021,4.0,2021-10-03,KC,32,48,387,2,0,8,47,0,26.18,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Jalen Hurts
2021,5.0,2021-10-10,CAR,22,37,198,0,1,9,30,2,18.92,24.875,36.5625,251.5,1.75,0.4375,3.8125,15.9375,0.375,1.8125,0.0625,19.3,Jalen Hurts
2021,6.0,2021-10-14,TB,12,26,115,1,1,10,44,2,23.0,26.5625,38.4375,268.3125,1.8125,0.9375,3.1875,16.375,0.125,2.9375,0.0625,18.2,Jalen Hurts
2021,7.0,2021-10-24,LV,18,34,236,2,0,13,61,0,21.54,23.0625,36.1875,271.0625,1.75,0.625,3.75,13.4375,0.3125,1.3125,0.25,20.1,Jalen Hurts
2021,8.0,2021-10-31,DET,9,14,103,0,0,7,71,0,11.22,23.9375,34.6875,297.0625,2.375,0.4375,3.75,10.0,0.375,1.5,0.125,23.7,Jalen Hurts
2021,9.0,2021-11-07,LAC,11,17,162,1,0,10,62,0,16.68,21.125,33.8125,228.5,1.6875,0.75,5.0,21.375,0.5,1.6875,0.125,19.5,Jalen Hurts
2021,10.0,2021-11-14,DEN,16,23,178,2,1,13,55,0,16.62,23.25,35.25,253.1875,1.3125,0.625,4.3125,23.625,0.5,2.625,0.0625,19.7,Jalen Hurts
2021,11.0,2021-11-21,NO,13,24,147,0,0,18,69,3,30.78,20.8125,34.8125,234.9375,1.75,1.125,3.375,15.5625,0.0625,2.8125,0.125,15.8,Jalen Hurts
2021,12.0,2021-11-28,NYG,14,31,129,0,3,8,77,0,6.859999999999999,24.1875,35.8125,257.4375,1.3125,0.6875,5.0625,18.3125,0.0625,2.5,,16.2,Jalen Hurts
2021,15.0,2021-12-21,WAS,20,26,296,1,1,8,38,2,25.64,20.5,32.9375,210.1875,1.3125,1.0,4.3125,23.3125,0.375,2.875,0.0625,15.7,Jalen Hurts
2021,16.0,2021-12-26,NYG,17,29,199,2,0,2,7,0,14.66,24.1875,35.8125,257.4375,1.3125,0.6875,5.0625,18.3125,0.0625,2.5,,16.2,Jalen Hurts
2022,17.0,2022-01-02,WAS,17,26,214,0,0,7,44,0,12.96,23.529411764705884,35.11764705882353,265.88235294117646,2.0,0.6470588235294118,4.882352941176471,28.0,0.29411764705882354,2.235294117647059,,21.5,Jalen Hurts
2022,1.0,2022-09-11,DET,18,32,243,0,0,17,90,1,24.72,21.11764705882353,31.941176470588236,256.52941176470586,1.8235294117647058,0.6470588235294118,4.352941176470588,15.705882352941176,0.0,1.7647058823529411,0.058823529411764705,17.8,Jalen Hurts
2022,2.0,2022-09-19,MIN,26,31,333,1,1,11,57,2,31.02,23.529411764705884,36.76470588235294,273.11764705882354,1.7058823529411764,0.9411764705882353,3.7058823529411766,19.764705882352942,0.058823529411764705,3.0,0.29411764705882354,18.2,Jalen Hurts
2022,3.0,2022-09-25,WAS,22,35,340,3,0,9,20,0,27.6,23.529411764705884,35.11764705882353,265.88235294117646,2.0,0.6470588235294118,4.882352941176471,28.0,0.29411764705882354,2.235294117647059,,21.5,Jalen Hurts
2022,4.0,2022-10-02,JAX,16,25,204,0,1,16,38,1,13.96,22.176470588235293,31.941176470588236,241.8235294117647,1.411764705882353,0.4117647058823529,3.764705882352941,19.470588235294116,0.23529411764705882,1.8823529411764706,0.058823529411764705,17.8,Jalen Hurts
2022,5.0,2022-10-09,ARI,26,36,239,0,0,15,61,2,27.66,21.470588235294116,32.88235294117647,225.58823529411765,1.7647058823529411,0.7647058823529411,3.4705882352941178,15.294117647058824,0.17647058823529413,2.411764705882353,0.17647058823529413,16.3,Jalen Hurts
2022,6.0,2022-10-16,DAL,15,25,155,2,0,9,27,0,14.9,21.294117647058822,35.76470588235294,254.1764705882353,1.411764705882353,1.5294117647058822,4.411764705882353,18.529411764705884,0.23529411764705882,2.411764705882353,0.11764705882352941,15.9,Jalen Hurts
2022,8.0,2022-10-30,PIT,19,28,285,4,0,2,10,0,28.4,20.88235294117647,33.05882352941177,233.94117647058823,1.411764705882353,0.7647058823529411,4.352941176470588,23.176470588235293,0.17647058823529413,3.235294117647059,,16.4,Jalen Hurts
