Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2016,11,2016-11-20,MIA,17.0,31.0,134.0,0.0,0.0,4.0,11.0,0.0,6.460000000000001,,,,,,,,,,,,Jared Goff
2016,12,2016-11-27,NO,20.0,32.0,214.0,3.0,1.0,0.0,0.0,0.0,16.560000000000002,,,,,,,,,,,,Jared Goff
2016,13,2016-12-04,NE,14.0,32.0,161.0,1.0,2.0,1.0,-1.0,0.0,6.340000000000002,,,,,,,,,,,,Jared Goff
2016,14,2016-12-11,ATL,24.0,41.0,235.0,0.0,2.0,1.0,2.0,1.0,9.6,,,,,,,,,,,,Jared Goff
2016,15,2016-12-15,SEA,13.0,25.0,135.0,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,,,,,,,,,,,,Jared Goff
2016,16,2016-12-24,SF,11.0,24.0,90.0,1.0,2.0,2.0,4.0,0.0,4.0,,,,,,,,,,,,Jared Goff
2017,17,2017-01-01,ARI,13.0,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,21.4375,34.0625,233.4375,1.3125,0.8125,4.625,21.75,0.25,3.0,0.0625,15.8,Jared Goff
2017,1,2017-09-10,IND,21.0,29.0,306.0,1.0,0.0,1.0,2.0,0.0,16.44,23.625,36.375,275.6875,1.6875,0.5,2.5625,10.375,0.0625,2.0625,,17.7,Jared Goff
2017,2,2017-09-17,WAS,14.0,24.0,219.0,1.0,1.0,3.0,1.0,0.0,8.86,24.1875,36.75,273.9375,1.375,0.8125,1.9375,8.9375,0.1875,2.375,,16.6,Jared Goff
2017,3,2017-09-21,SF,22.0,28.0,292.0,3.0,0.0,1.0,-1.0,0.0,23.58,20.125,32.5625,250.8125,1.875,0.625,3.8125,13.9375,0.0,2.0625,,17.4,Jared Goff
2017,4,2017-10-01,DAL,21.0,36.0,255.0,2.0,0.0,1.0,-1.0,0.0,16.099999999999998,26.5625,39.4375,273.5,1.5625,0.5625,2.375,8.4375,0.0625,2.25,,16.5,Jared Goff
2017,5,2017-10-08,SEA,22.0,47.0,288.0,0.0,2.0,1.0,22.0,0.0,7.719999999999999,20.6875,33.375,242.75,1.0,0.6875,3.1875,8.9375,0.1875,2.625,0.0625,14.4,Jared Goff
2017,6,2017-10-15,JAX,11.0,21.0,124.0,1.0,0.0,4.0,9.0,0.0,9.86,21.5625,34.375,226.6875,1.25,0.4375,3.25,11.4375,0.1875,2.0625,,15.2,Jared Goff
2017,7,2017-10-22,ARI,22.0,37.0,235.0,1.0,1.0,2.0,13.0,1.0,18.700000000000003,21.4375,34.0625,233.4375,1.3125,0.8125,4.625,21.75,0.25,3.0,0.0625,15.8,Jared Goff
