Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,10.0,11,2016-11-20,LAR,MIA,*,17,31,54.8,134,0,0,4.3,4.32,65.8,1,9,4,11,0,2.8,0,6.460000000000001,2016,Jared Goff
2.0,2.0,11.0,12,2016-11-27,LAR,NO,*,20,32,62.5,214,3,1,6.7,7.16,100.3,3,36,0,0,0,,1,16.560000000000002,2016,Jared Goff
3.0,3.0,12.0,13,2016-12-04,LAR,NE,*,14,32,43.8,161,1,2,5.0,2.84,43.9,4,35,1,-1,0,-1.0,0,6.340000000000002,2016,Jared Goff
4.0,4.0,13.0,14,2016-12-11,LAR,ATL,*,24,41,58.5,235,0,2,5.7,3.54,54.4,3,27,1,2,1,2.0,1,9.6,2016,Jared Goff
5.0,5.0,14.0,15,2016-12-15,LAR,SEA,*,13,25,52.0,135,0,0,5.4,5.4,67.9,4,31,0,0,0,,1,3.4000000000000004,2016,Jared Goff
6.0,6.0,15.0,16,2016-12-24,LAR,SF,*,11,24,45.8,90,1,2,3.8,0.83,35.1,4,12,2,4,0,2.0,0,4.0,2016,Jared Goff
7.0,7.0,16.0,17,2017-01-01,LAR,ARI,*,13,20,65.0,120,0,0,6.0,6.0,81.2,7,72,0,0,0,,2,0.7999999999999998,2017,Jared Goff
8.0,8.0,1.0,1,2017-09-10,LAR,IND,*,21,29,72.4,306,1,0,10.6,11.24,117.9,1,8,1,2,0,2.0,0,16.44,2017,Jared Goff
9.0,9.0,2.0,2,2017-09-17,LAR,WAS,*,14,24,58.3,219,1,1,9.1,8.08,85.2,2,12,3,1,0,0.3,1,8.86,2017,Jared Goff
10.0,10.0,3.0,3,2017-09-21,LAR,SF,*,22,28,78.6,292,3,0,10.4,12.57,145.8,0,0,1,-1,0,-1.0,0,23.58,2017,Jared Goff
11.0,11.0,4.0,4,2017-10-01,LAR,DAL,*,21,36,58.3,255,2,0,7.1,8.19,98.7,1,11,1,-1,0,-1.0,1,16.099999999999998,2017,Jared Goff
12.0,12.0,5.0,5,2017-10-08,LAR,SEA,*,22,47,46.8,288,0,2,6.1,4.21,48.9,2,13,1,22,0,22.0,1,7.719999999999999,2017,Jared Goff
13.0,13.0,6.0,6,2017-10-15,LAR,JAX,*,11,21,52.4,124,1,0,5.9,6.86,86.2,3,17,4,9,0,2.3,0,9.860000000000001,2017,Jared Goff
14.0,14.0,7.0,7,2017-10-22,LAR,ARI,*,22,37,59.5,235,1,1,6.4,5.68,75.8,1,7,2,13,1,6.5,0,18.700000000000003,2017,Jared Goff
15.0,15.0,8.0,9,2017-11-05,LAR,NYG,*,14,22,63.6,311,4,0,14.1,17.77,146.8,0,0,0,0,0,,0,28.439999999999998,2017,Jared Goff
16.0,16.0,9.0,10,2017-11-12,LAR,HOU,*,25,37,67.6,355,3,0,9.6,11.22,125.4,3,22,4,3,0,0.8,0,26.5,2017,Jared Goff
17.0,17.0,10.0,11,2017-11-19,LAR,MIN,*,23,37,62.2,225,0,0,6.1,6.08,79.2,2,16,2,8,0,4.0,0,9.8,2017,Jared Goff
18.0,18.0,11.0,12,2017-11-26,LAR,NO,*,28,43,65.1,354,2,1,8.2,8.12,96.5,4,27,3,-3,0,-1.0,0,19.86,2017,Jared Goff
19.0,19.0,12.0,13,2017-12-03,LAR,ARI,*,21,31,67.7,220,2,1,7.1,6.94,96.2,1,7,1,2,0,2.0,1,13.0,2017,Jared Goff
20.0,20.0,13.0,14,2017-12-10,LAR,PHI,*,16,26,61.5,199,2,0,7.7,9.19,110.9,2,1,2,2,0,1.0,1,14.16,2017,Jared Goff
21.0,21.0,14.0,15,2017-12-17,LAR,SEA,*,14,21,66.7,120,2,1,5.7,5.48,93.4,2,16,0,0,0,,1,8.8,2017,Jared Goff
22.0,22.0,15.0,16,2017-12-24,LAR,TEN,*,22,38,57.9,301,4,0,7.9,10.03,118.4,1,15,3,-6,0,-2.0,2,23.439999999999998,2017,Jared Goff
23.0,23.0,1.0,1,2018-09-10,LAR,LV,*,18,33,54.5,233,2,0,7.1,8.27,97.2,1,8,1,-1,0,-1.0,1,15.219999999999999,2018,Jared Goff
24.0,24.0,2.0,2,2018-09-16,LAR,ARI,*,24,32,75.0,354,1,1,11.1,10.28,108.1,2,12,2,2,0,1.0,0,16.36,2018,Jared Goff
25.0,25.0,3.0,3,2018-09-23,LAR,LAC,*,29,36,80.6,354,3,1,9.8,10.25,123.8,1,4,3,14,0,4.7,0,25.56,2018,Jared Goff
26.0,26.0,4.0,4,2018-09-27,LAR,MIN,*,26,33,78.8,465,5,0,14.1,17.12,158.3,1,9,2,7,0,3.5,0,39.300000000000004,2018,Jared Goff
27.0,27.0,5.0,5,2018-10-07,LAR,SEA,*,23,32,71.9,321,1,2,10.0,7.84,88.2,1,8,5,15,0,3.0,2,10.34,2018,Jared Goff
28.0,28.0,6.0,6,2018-10-14,LAR,DEN,*,14,28,50.0,201,0,1,7.2,5.57,58.8,5,27,4,14,0,3.5,0,7.4399999999999995,2018,Jared Goff
29.0,29.0,7.0,7,2018-10-21,LAR,SF,*,18,24,75.0,202,2,0,8.4,10.08,127.4,1,9,3,4,0,1.3,1,14.479999999999997,2018,Jared Goff
30.0,30.0,8.0,8,2018-10-28,LAR,GB,*,19,35,54.3,295,3,0,8.4,10.14,111.0,5,26,5,7,0,1.4,0,24.5,2018,Jared Goff
31.0,31.0,9.0,9,2018-11-04,LAR,NO,*,28,40,70.0,391,3,1,9.8,10.15,115.7,0,0,3,17,0,5.7,0,27.34,2018,Jared Goff
32.0,32.0,10.0,10,2018-11-11,LAR,SEA,*,28,39,71.8,318,2,0,8.2,9.18,113.0,2,11,3,3,0,1.0,0,21.02,2018,Jared Goff
33.0,33.0,11.0,11,2018-11-19,LAR,KC,*,31,49,63.3,413,4,0,8.4,10.06,117.1,5,34,4,6,1,1.5,2,35.12,2018,Jared Goff
34.0,34.0,12.0,13,2018-12-02,LAR,DET,*,17,33,51.5,207,1,1,6.3,5.52,68.6,2,12,2,-2,0,-1.0,1,8.08,2018,Jared Goff
35.0,35.0,13.0,14,2018-12-09,LAR,CHI,*,20,44,45.5,180,0,4,4.1,0.0,19.1,3,25,1,5,0,5.0,1,-2.3,2018,Jared Goff
36.0,36.0,14.0,15,2018-12-16,LAR,PHI,*,35,53,66.0,339,0,1,6.4,5.55,75.9,2,14,2,11,0,5.5,2,8.66,2018,Jared Goff
37.0,37.0,15.0,16,2018-12-23,LAR,ARI,*,19,24,79.2,216,1,0,9.0,9.83,118.1,2,24,2,6,1,3.0,1,17.240000000000002,2018,Jared Goff
38.0,38.0,16.0,17,2018-12-30,LAR,SF,*,15,26,57.7,199,4,0,7.7,10.73,121.6,0,0,1,0,0,0.0,1,21.96,2018,Jared Goff
39.0,39.0,1.0,1,2019-09-08,LAR,CAR,*,23,39,59.0,186,1,1,4.8,4.13,69.0,1,3,4,0,0,0.0,1,7.440000000000001,2019,Jared Goff
40.0,40.0,2.0,2,2019-09-15,LAR,NO,*,19,28,67.9,283,1,0,10.1,10.82,112.6,3,18,4,-2,1,-0.5,1,19.12,2019,Jared Goff
41.0,41.0,3.0,3,2019-09-22,LAR,CLE,*,24,38,63.2,268,2,2,7.1,5.74,79.7,2,14,4,14,0,3.5,1,14.119999999999997,2019,Jared Goff
42.0,42.0,4.0,4,2019-09-29,LAR,TB,*,45,68,66.2,517,2,3,7.6,6.21,80.3,2,27,0,0,0,,1,20.68,2019,Jared Goff
43.0,43.0,5.0,5,2019-10-03,LAR,SEA,*,29,49,59.2,395,1,1,8.1,7.55,83.3,0,0,1,1,0,1.0,0,17.900000000000002,2019,Jared Goff
44.0,44.0,6.0,6,2019-10-13,LAR,SF,*,13,24,54.2,78,0,0,3.3,3.25,60.8,4,30,1,0,0,0.0,2,-0.8799999999999999,2019,Jared Goff
45.0,45.0,7.0,7,2019-10-20,LAR,ATL,*,22,37,59.5,268,2,0,7.2,8.32,99.8,0,0,3,3,1,1.0,0,25.02,2019,Jared Goff
46.0,46.0,8.0,8,2019-10-27,LAR,CIN,*,17,31,54.8,372,2,0,12.0,13.29,119.3,0,0,0,0,0,,0,22.880000000000003,2019,Jared Goff
