Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2020,1.0,2020-09-13,LAC,23.0,36.0,193.0,0.0,1.0,8.0,46.0,1.0,14.32,20.375,28.875,210.875,1.3125,0.6875,3.6875,13.8125,0.0625,1.8125,,13.8,Joe Burrow
2020,2.0,2020-09-17,CLE,37.0,61.0,316.0,3.0,0.0,7.0,19.0,0.0,22.54,19.8125,32.0,232.125,1.5625,0.875,5.625,25.8125,0.3125,2.375,,18.0,Joe Burrow
2020,3.0,2020-09-27,PHI,31.0,44.0,312.0,2.0,0.0,1.0,-1.0,0.0,20.38,21.625,35.5625,257.5,1.5625,0.6875,2.6875,13.375,0.0625,2.6875,0.0625,16.3,Joe Burrow
2020,4.0,2020-10-04,JAX,25.0,36.0,300.0,1.0,1.0,4.0,11.0,0.0,15.1,20.4375,32.25,255.5,1.375,0.625,3.9375,15.25,0.3125,2.9375,0.0625,17.5,Joe Burrow
2020,5.0,2020-10-11,BAL,19.0,30.0,183.0,0.0,1.0,3.0,10.0,0.0,2.3200000000000003,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0,Joe Burrow
2020,6.0,2020-10-18,IND,25.0,39.0,313.0,0.0,1.0,3.0,2.0,1.0,16.72,24.5625,35.0625,263.6875,1.8125,0.9375,3.1875,10.5,0.125,2.5625,0.0625,18.3,Joe Burrow
2020,7.0,2020-10-25,CLE,35.0,47.0,406.0,3.0,1.0,6.0,34.0,1.0,29.64,19.8125,32.0,232.125,1.5625,0.875,5.625,25.8125,0.3125,2.375,,18.0,Joe Burrow
2020,8.0,2020-11-01,TEN,26.0,37.0,249.0,2.0,0.0,3.0,9.0,0.0,18.86,24.125,37.3125,272.25,1.5625,0.875,3.8125,15.6875,0.0625,2.6875,0.125,17.2,Joe Burrow
2020,10.0,2020-11-15,PIT,21.0,40.0,213.0,1.0,0.0,0.0,0.0,0.0,12.52,19.5625,32.0,213.9375,1.4375,1.1875,4.4375,14.0625,0.125,3.375,,12.8,Joe Burrow
2020,11.0,2020-11-22,WAS,22.0,34.0,203.0,1.0,0.0,2.0,12.0,0.0,11.32,23.1875,33.6875,255.8125,2.1875,0.8125,3.75,18.875,0.125,2.875,,19.5,Joe Burrow
2021,1.0,2021-09-12,MIN,20.0,27.0,261.0,2.0,0.0,1.0,2.0,0.0,18.64,22.375,33.8125,266.6875,1.875,0.9375,3.625,11.5625,0.0625,1.375,0.0625,17.8,Joe Burrow
2021,2.0,2021-09-19,CHI,19.0,30.0,207.0,2.0,3.0,0.0,0.0,0.0,10.28,21.875,34.1875,246.1875,1.75,0.625,3.5,13.0,0.0,2.1875,,17.3,Joe Burrow
2021,3.0,2021-09-26,PIT,14.0,18.0,172.0,3.0,1.0,5.0,7.0,0.0,17.58,18.625,32.8125,218.375,1.375,1.125,4.125,21.875,0.0625,3.5,0.125,14.2,Joe Burrow
2021,4.0,2021-09-30,JAX,25.0,32.0,348.0,2.0,0.0,3.0,4.0,0.0,22.32,23.125,33.3125,270.125,2.125,0.75,4.9375,19.375,0.3125,1.125,0.0625,21.7,Joe Burrow
2021,5.0,2021-10-10,GB,26.0,38.0,281.0,2.0,2.0,3.0,11.0,0.0,16.340000000000003,21.625,33.5,237.0625,1.4375,0.6875,2.875,16.75,0.125,2.5625,0.125,16.0,Joe Burrow
2021,6.0,2021-10-17,DET,19.0,29.0,271.0,3.0,1.0,5.0,20.0,0.0,22.84,23.9375,34.6875,297.0625,2.375,0.4375,3.75,10.0,0.375,1.5,0.125,23.7,Joe Burrow
