Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2008,1,2008-09-07,CIN,15.0,29.0,129.0,0.0,0.0,4.0,37.0,1.0,14.86,,,,,,,,,,,,Joe Flacco
2008,3,2008-09-21,CLE,13.0,19.0,129.0,0.0,2.0,6.0,-2.0,0.0,-1.04,,,,,,,,,,,,Joe Flacco
2008,4,2008-09-29,PIT,16.0,31.0,192.0,1.0,0.0,2.0,-1.0,0.0,7.58,,,,,,,,,,,,Joe Flacco
2008,5,2008-10-05,TEN,18.0,27.0,153.0,0.0,2.0,2.0,4.0,0.0,2.5200000000000005,,,,,,,,,,,,Joe Flacco
2008,6,2008-10-12,IND,28.0,38.0,241.0,0.0,3.0,3.0,12.0,0.0,0.8399999999999999,,,,,,,,,,,,Joe Flacco
2008,7,2008-10-19,MIA,17.0,23.0,232.0,1.0,0.0,3.0,2.0,0.0,11.48,,,,,,,,,,,,Joe Flacco
2008,8,2008-10-26,LV,12.0,24.0,140.0,1.0,0.0,4.0,23.0,1.0,17.9,,,,,,,,,,,,Joe Flacco
2008,9,2008-11-02,CLE,17.0,29.0,248.0,2.0,0.0,4.0,2.0,0.0,18.12,,,,,,,,,,,,Joe Flacco
2008,10,2008-11-09,HOU,15.0,23.0,185.0,2.0,0.0,1.0,8.0,0.0,16.2,,,,,,,,,,,,Joe Flacco
2008,11,2008-11-16,NYG,20.0,33.0,164.0,1.0,2.0,6.0,57.0,0.0,12.259999999999998,,,,,,,,,,,,Joe Flacco
2008,12,2008-11-23,PHI,12.0,26.0,183.0,2.0,0.0,5.0,3.0,0.0,13.62,,,,,,,,,,,,Joe Flacco
2008,13,2008-11-30,CIN,19.0,29.0,280.0,2.0,0.0,3.0,15.0,0.0,18.7,,,,,,,,,,,,Joe Flacco
2008,14,2008-12-07,WAS,10.0,21.0,134.0,1.0,1.0,4.0,11.0,0.0,6.459999999999999,,,,,,,,,,,,Joe Flacco
2008,15,2008-12-14,PIT,11.0,28.0,115.0,0.0,2.0,1.0,5.0,0.0,-0.9000000000000004,,,,,,,,,,,,Joe Flacco
2008,16,2008-12-20,DAL,17.0,25.0,149.0,1.0,0.0,4.0,4.0,0.0,8.360000000000001,,,,,,,,,,,,Joe Flacco
2008,17,2008-12-28,JAX,17.0,23.0,297.0,0.0,0.0,0.0,0.0,0.0,11.88,,,,,,,,,,,,Joe Flacco
2009,1,2009-09-13,KC,26.0,43.0,307.0,3.0,1.0,5.0,18.0,0.0,22.08,,,,,,,,,,,,Joe Flacco
2009,2,2009-09-20,SDG,17.0,26.0,190.0,2.0,1.0,5.0,3.0,0.0,11.9,,,,,,,,,,,,Joe Flacco
2009,3,2009-09-27,CLE,25.0,35.0,342.0,1.0,0.0,2.0,5.0,0.0,18.18,,,,,,,,,,,,Joe Flacco
2009,4,2009-10-04,NE,27.0,47.0,264.0,2.0,1.0,1.0,2.0,0.0,16.76,,,,,,,,,,,,Joe Flacco
2009,5,2009-10-11,CIN,22.0,31.0,186.0,1.0,2.0,1.0,9.0,0.0,8.340000000000002,,,,,,,,,,,,Joe Flacco
2009,6,2009-10-18,MIN,28.0,43.0,385.0,2.0,0.0,0.0,0.0,0.0,21.4,,,,,,,,,,,,Joe Flacco
2009,8,2009-11-01,DEN,20.0,25.0,175.0,1.0,0.0,5.0,5.0,0.0,11.5,,,,,,,,,,,,Joe Flacco
2009,9,2009-11-08,CIN,18.0,32.0,195.0,0.0,2.0,2.0,3.0,0.0,4.1,,,,,,,,,,,,Joe Flacco
2009,10,2009-11-16,CLE,13.0,18.0,155.0,0.0,0.0,1.0,-6.0,0.0,5.6000000000000005,,,,,,,,,,,,Joe Flacco
2009,11,2009-11-22,IND,23.0,35.0,256.0,0.0,1.0,2.0,-2.0,0.0,8.040000000000001,,,,,,,,,,,,Joe Flacco
2009,12,2009-11-29,PIT,23.0,35.0,289.0,1.0,0.0,1.0,-2.0,0.0,11.36,,,,,,,,,,,,Joe Flacco
2009,13,2009-12-07,GB,15.0,36.0,137.0,1.0,3.0,3.0,16.0,0.0,3.08,,,,,,,,,,,,Joe Flacco
2009,14,2009-12-13,DET,13.0,20.0,230.0,1.0,0.0,1.0,2.0,0.0,13.4,,,,,,,,,,,,Joe Flacco
