Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2008-09-07,BAL,CIN,*,15,29,51.7,129,0,0,4.4,4.45,63.7,0,0,4,37,1,9.3,0,14.86,2008,Joe Flacco
2.0,2.0,2.0,3,2008-09-21,BAL,CLE,*,13,19,68.4,129,0,2,6.8,2.05,47.8,1,7,6,-2,0,-0.3,1,-1.04,2008,Joe Flacco
3.0,3.0,3.0,4,2008-09-29,BAL,PIT,*,16,31,51.6,192,1,0,6.2,6.84,81.7,5,52,2,-1,0,-0.5,2,7.58,2008,Joe Flacco
4.0,4.0,4.0,5,2008-10-05,BAL,TEN,*,18,27,66.7,153,0,2,5.7,2.33,50.4,0,0,2,4,0,2.0,0,2.5200000000000005,2008,Joe Flacco
5.0,5.0,5.0,6,2008-10-12,BAL,IND,*,28,38,73.7,241,0,3,6.3,2.79,57.0,4,32,3,12,0,4.0,2,0.8399999999999999,2008,Joe Flacco
6.0,6.0,6.0,7,2008-10-19,BAL,MIA,*,17,23,73.9,232,1,0,10.1,10.96,120.2,2,14,3,2,0,0.7,1,11.479999999999999,2008,Joe Flacco
7.0,7.0,7.0,8,2008-10-26,BAL,LV,*,12,24,50.0,140,1,0,5.8,6.67,81.9,0,0,4,23,1,5.8,0,17.9,2008,Joe Flacco
8.0,8.0,8.0,9,2008-11-02,BAL,CLE,*,17,29,58.6,248,2,0,8.6,9.93,109.6,2,12,4,2,0,0.5,0,18.12,2008,Joe Flacco
9.0,9.0,9.0,10,2008-11-09,BAL,HOU,*,15,23,65.2,185,2,0,8.0,9.78,118.9,3,28,1,8,0,8.0,0,16.2,2008,Joe Flacco
10.0,10.0,10.0,11,2008-11-16,BAL,NYG,*,20,33,60.6,164,1,2,5.0,2.85,58.1,1,10,6,57,0,9.5,0,12.259999999999998,2008,Joe Flacco
11.0,11.0,11.0,12,2008-11-23,BAL,PHI,*,12,26,46.2,183,2,0,7.0,8.58,95.5,3,45,5,3,0,0.6,1,13.620000000000001,2008,Joe Flacco
12.0,12.0,12.0,13,2008-11-30,BAL,CIN,*,19,29,65.5,280,2,0,9.7,11.03,119.9,2,8,3,15,0,5.0,1,18.7,2008,Joe Flacco
