Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2021,1.0,2021-09-12,NO,5.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.7200000000000002,20.8125,34.8125,234.9375,1.75,1.125,3.375,15.5625,0.0625,2.8125,0.125,15.8,Jordan Love
2021,2.0,2021-09-20,DET,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,-0.3,23.9375,34.6875,297.0625,2.375,0.4375,3.75,10.0,0.375,1.5,0.125,23.7,Jordan Love
2021,9.0,2021-11-07,KC,19.0,34.0,190.0,1.0,1.0,5.0,23.0,0.0,9.9,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Jordan Love
2021,11.0,2021-11-21,MIN,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.1,22.375,33.8125,266.6875,1.875,0.9375,3.625,11.5625,0.0625,1.375,0.0625,17.8,Jordan Love
2022,17.0,2022-01-02,MIN,2.0,4.0,19.0,0.0,0.0,2.0,9.0,0.0,1.66,23.529411764705884,36.76470588235294,273.11764705882354,1.7058823529411764,0.9411764705882352,3.7058823529411766,19.764705882352946,0.0588235294117647,3.0,0.2941176470588235,18.2,Jordan Love
2022,18.0,2022-01-09,DET,10.0,17.0,134.0,1.0,2.0,1.0,-1.0,0.0,3.26,21.11764705882353,31.94117647058824,256.52941176470586,1.8235294117647056,0.6470588235294118,4.352941176470588,15.705882352941176,0.0,1.7647058823529411,0.0588235294117647,17.8,Jordan Love
2022,1.0,2022-09-11,MIN,4.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,2.6,23.529411764705884,36.76470588235294,273.11764705882354,1.7058823529411764,0.9411764705882352,3.7058823529411766,19.764705882352946,0.0588235294117647,3.0,0.2941176470588235,18.2,Jordan Love
2022,6.0,2022-10-16,NYJ,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.32,23.47058823529412,34.294117647058826,271.2352941176471,1.588235294117647,0.4117647058823529,4.176470588235294,17.529411764705884,0.1764705882352941,1.9411764705882355,0.0588235294117647,19.1,Jordan Love
2022,12.0,2022-11-27,PHI,6.0,9.0,113.0,1.0,0.0,0.0,0.0,0.0,8.52,24.058823529411764,34.64705882352941,233.8823529411765,1.6470588235294117,0.7058823529411765,3.882352941176471,10.294117647058824,0.2352941176470588,1.7058823529411764,0.0588235294117647,17.0,Jordan Love
2023,17.0,2023-01-01,MIN,2.0,3.0,9.0,0.0,0.0,1.0,-1.0,0.0,0.26,24.0,36.23529411764706,279.7647058823529,1.3529411764705883,0.8823529411764706,3.647058823529412,20.11764705882353,0.2352941176470588,2.235294117647059,0.1176470588235294,18.1,Jordan Love
