Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2021-09-12,GB,NO,,5,7,71.4,68,0,0,9.7,9.71,102.1,1,4,0,0,0,,1,0.7200000000000002,2021,Jordan Love
2.0,2.0,2.0,2.0,2021-09-20,GB,DET,,0,0,,0,0,0,,,,0,0,3,-3,0,-1.0,0,-0.3,2021,Jordan Love
3.0,3.0,9.0,9.0,2021-11-07,GB,KC,*,19,34,55.9,190,1,1,5.6,4.85,69.5,1,11,5,23,0,4.6,1,9.899999999999999,2021,Jordan Love
4.0,4.0,11.0,11.0,2021-11-21,GB,MIN,,0,0,,0,0,0,,,,0,0,1,-1,0,-1.0,0,-0.1,2021,Jordan Love
5.0,5.0,16.0,17.0,2022-01-02,GB,MIN,,2,4,50.0,19,0,0,4.8,4.75,63.5,0,0,2,9,0,4.5,0,1.6600000000000001,2022,Jordan Love
6.0,6.0,17.0,18.0,2022-01-09,GB,DET,,10,17,58.8,134,1,2,7.9,3.76,64.0,1,8,1,-1,0,-1.0,1,3.26,2022,Jordan Love
7.0,7.0,1.0,1.0,2022-09-11,GB,MIN,,4,5,80.0,65,0,0,13.0,13.0,118.7,0,0,0,0,0,,0,2.6,2022,Jordan Love
8.0,8.0,6.0,6.0,2022-10-16,GB,NYJ,,2,4,50.0,8,0,0,2.0,2.0,56.2,0,0,0,0,0,,0,0.32,2022,Jordan Love
9.0,9.0,12.0,12.0,2022-11-27,GB,PHI,,6,9,66.7,113,1,0,12.6,14.78,146.8,0,0,0,0,0,,0,8.52,2022,Jordan Love
10.0,10.0,16.0,17.0,2023-01-01,GB,MIN,,2,3,66.7,9,0,0,3.0,3.0,70.1,0,0,1,-1,0,-1.0,0,0.26,2023,Jordan Love
11.0,11.0,1.0,1.0,2023-09-10,GB,CHI,*,15,27,55.6,245,3,0,9.1,11.3,123.2,1,8,3,12,0,4.0,1,21.0,2023,Jordan Love
