Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2021,1.0,2021-09-12,NO,5,7,68,0,0,0,0,0,0.7200000000000002,20.8125,34.8125,234.9375,1.75,1.125,3.375,15.5625,0.0625,2.8125,0.125,15.8,Jordan Love
2021,2.0,2021-09-20,DET,0,0,0,0,0,3,-3,0,-0.3,23.9375,34.6875,297.0625,2.375,0.4375,3.75,10.0,0.375,1.5,0.125,23.7,Jordan Love
2021,9.0,2021-11-07,KC,19,34,190,1,1,5,23,0,9.9,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Jordan Love
2021,11.0,2021-11-21,MIN,0,0,0,0,0,1,-1,0,-0.1,22.375,33.8125,266.6875,1.875,0.9375,3.625,11.5625,0.0625,1.375,0.0625,17.8,Jordan Love
2022,17.0,2022-01-02,MIN,2,4,19,0,0,2,9,0,1.66,23.529411764705884,36.76470588235294,273.11764705882354,1.7058823529411764,0.9411764705882353,3.7058823529411766,19.764705882352942,0.058823529411764705,3.0,0.29411764705882354,18.2,Jordan Love
2022,18.0,2022-01-09,DET,10,17,134,1,2,1,-1,0,3.26,21.11764705882353,31.941176470588236,256.52941176470586,1.8235294117647058,0.6470588235294118,4.352941176470588,15.705882352941176,0.0,1.7647058823529411,0.058823529411764705,17.8,Jordan Love
2022,1.0,2022-09-11,MIN,4,5,65,0,0,0,0,0,2.6,23.529411764705884,36.76470588235294,273.11764705882354,1.7058823529411764,0.9411764705882353,3.7058823529411766,19.764705882352942,0.058823529411764705,3.0,0.29411764705882354,18.2,Jordan Love
2022,6.0,2022-10-16,NYJ,2,4,8,0,0,0,0,0,0.32,23.470588235294116,34.294117647058826,271.2352941176471,1.588235294117647,0.4117647058823529,4.176470588235294,17.529411764705884,0.17647058823529413,1.9411764705882353,0.058823529411764705,19.1,Jordan Love
2022,12.0,2022-11-27,PHI,6,9,113,1,0,0,0,0,8.52,24.058823529411764,34.64705882352941,233.88235294117646,1.6470588235294117,0.7058823529411765,3.8823529411764706,10.294117647058824,0.23529411764705882,1.7058823529411764,0.058823529411764705,17.0,Jordan Love
2023,17.0,2023-01-01,MIN,2,3,9,0,0,1,-1,0,0.26,24.0,36.23529411764706,279.7647058823529,1.3529411764705883,0.8823529411764706,3.6470588235294117,20.11764705882353,0.23529411764705882,2.235294117647059,0.11764705882352941,18.1,Jordan Love
2023,1.0,2023-09-10,CHI,15,27,245,3,0,3,12,0,21.0,18.941176470588236,28.176470588235293,224.52941176470588,1.2941176470588236,0.8235294117647058,6.0,22.294117647058822,0.5294117647058824,1.1764705882352942,0.17647058823529413,18.2,Jordan Love
2023,2.0,2023-09-17,ATL,14,25,151,3,0,2,23,0,20.34,21.764705882352942,32.88235294117647,235.88235294117646,1.4705882352941178,0.5882352941176471,3.764705882352941,13.0,0.17647058823529413,1.2352941176470589,0.11764705882352941,16.9,Jordan Love
2023,3.0,2023-09-24,NO,22,44,259,1,1,9,39,1,22.26,18.88235294117647,31.470588235294116,200.0,1.0,0.4117647058823529,4.529411764705882,24.058823529411764,0.23529411764705882,2.823529411764706,0.058823529411764705,14.9,Jordan Love
2023,4.0,2023-09-28,DET,23,36,246,1,2,2,-2,1,13.64,20.764705882352942,32.94117647058823,261.52941176470586,1.5294117647058822,0.7058823529411765,5.882352941176471,41.1764705882353,0.4117647058823529,2.235294117647059,0.11764705882352941,21.9,Jordan Love
2023,5.0,2023-10-09,LV,16,30,182,0,3,2,37,0,4.98,23.41176470588235,34.64705882352941,254.05882352941177,1.4705882352941178,0.35294117647058826,3.5294117647058822,15.823529411764707,0.23529411764705882,1.588235294117647,0.11764705882352941,18.5,Jordan Love
2023,7.0,2023-10-22,DEN,21,31,180,2,1,3,21,0,15.3,23.058823529411764,35.529411764705884,224.64705882352942,1.1764705882352942,0.8235294117647058,3.5294117647058822,11.352941176470589,0.11764705882352941,2.1176470588235294,0.058823529411764705,14.0,Jordan Love
2023,8.0,2023-10-29,MIN,24,41,229,1,1,4,34,0,12.56,24.0,36.23529411764706,279.7647058823529,1.3529411764705883,0.8823529411764706,3.6470588235294117,20.11764705882353,0.23529411764705882,2.235294117647059,0.11764705882352941,18.1,Jordan Love
2023,9.0,2023-11-05,LAR,20,26,228,1,0,4,7,0,11.82,21.941176470588236,32.470588235294116,237.88235294117646,1.2941176470588236,0.9411764705882353,3.0,11.941176470588236,0.058823529411764705,2.176470588235294,0.058823529411764705,14.2,Jordan Love
2023,10.0,2023-11-12,PIT,21,40,289,2,2,2,11,0,16.660000000000004,19.470588235294116,31.764705882352942,239.05882352941177,1.6470588235294117,1.1764705882352942,4.529411764705882,17.529411764705884,0.0,2.3529411764705883,0.058823529411764705,15.8,Jordan Love
2023,11.0,2023-11-19,LAC,27,40,322,2,0,3,0,0,16.880000000000003,18.235294117647058,29.705882352941178,217.23529411764707,1.411764705882353,0.8235294117647058,3.3529411764705883,13.882352941176471,0.17647058823529413,2.2941176470588234,0.058823529411764705,15.0,Jordan Love
2023,12.0,2023-11-23,DET,22,32,268,3,0,3,39,0,26.62,20.764705882352942,32.94117647058823,261.52941176470586,1.5294117647058822,0.7058823529411765,5.882352941176471,41.1764705882353,0.4117647058823529,2.235294117647059,0.11764705882352941,21.9,Jordan Love
2023,13.0,2023-12-03,KC,25,36,267,3,0,2,10,0,23.68,23.941176470588236,36.294117647058826,243.41176470588235,1.9411764705882353,0.6470588235294118,5.529411764705882,26.11764705882353,0.23529411764705882,3.235294117647059,0.058823529411764705,19.5,Jordan Love
2023,14.0,2023-12-11,NYG,25,39,218,1,1,2,2,0,8.92,20.529411764705884,33.35294117647059,229.94117647058823,1.2352941176470589,0.35294117647058826,3.764705882352941,20.647058823529413,0.11764705882352941,2.411764705882353,,15.6,Jordan Love
2023,15.0,2023-12-17,TB,29,39,284,2,0,2,1,0,17.46,21.294117647058822,33.411764705882355,221.58823529411765,1.7058823529411764,0.5882352941176471,3.6470588235294117,16.294117647058822,0.058823529411764705,2.6470588235294117,0.11764705882352941,16.0,Jordan Love
2023,16.0,2023-12-24,CAR,17,28,219,2,0,2,12,1,23.96,22.529411764705884,34.11764705882353,241.05882352941177,1.4705882352941178,0.5882352941176471,4.588235294117647,14.176470588235293,0.29411764705882354,2.0588235294117645,0.058823529411764705,17.4,Jordan Love
2023,17.0,2023-12-31,MIN,24,33,256,3,0,2,2,1,28.44,24.0,36.23529411764706,279.7647058823529,1.3529411764705883,0.8823529411764706,3.6470588235294117,20.11764705882353,0.23529411764705882,2.235294117647059,0.11764705882352941,18.1,Jordan Love
2024,18.0,2024-01-07,CHI,27,32,316,2,0,3,-1,0,18.54,24.11764705882353,36.294117647058826,249.7058823529412,1.8235294117647058,1.2941176470588236,3.588235294117647,14.529411764705882,0.058823529411764705,1.7647058823529411,0.058823529411764705,16.8,Jordan Love
2024,1.0,2024-09-06,PHI,17,34,260,2,1,0,0,0,16.4,25.0,38.35294117647059,267.70588235294116,2.0588235294117645,0.5294117647058824,3.588235294117647,18.705882352941178,0.11764705882352941,2.4705882352941178,0.17647058823529413,20.6,Jordan Love
2024,4.0,2024-09-29,MIN,32,54,389,4,3,1,6,0,26.160000000000004,25.0,35.588235294117645,249.35294117647058,1.2941176470588236,0.6470588235294118,4.352941176470588,15.764705882352942,0.23529411764705882,2.4705882352941178,,16.5,Jordan Love
2024,5.0,2024-10-06,LAR,15,26,224,2,1,3,10,0,13.96,21.58823529411765,35.529411764705884,246.76470588235293,1.411764705882353,0.5882352941176471,5.470588235294118,21.88235294117647,0.35294117647058826,2.411764705882353,0.23529411764705882,18.8,Jordan Love
2024,6.0,2024-10-13,ARI,22,32,258,4,1,5,13,0,25.62,20.352941176470587,29.705882352941178,225.23529411764707,1.8823529411764706,0.6470588235294118,4.294117647058823,20.764705882352942,0.29411764705882354,1.8823529411764706,0.058823529411764705,18.9,Jordan Love
2024,7.0,2024-10-20,HOU,24,33,220,3,2,0,0,0,16.8,22.41176470588235,33.1764705882353,253.64705882352942,1.0,0.8235294117647058,3.823529411764706,16.647058823529413,0.4117647058823529,2.7058823529411766,0.23529411764705882,17.2,Jordan Love
2024,8.0,2024-10-27,JAX,14,22,196,0,1,1,-1,0,5.74,23.705882352941178,36.11764705882353,256.5882352941176,1.588235294117647,0.8823529411764706,4.705882352941177,20.058823529411764,0.29411764705882354,2.3529411764705883,0.058823529411764705,18.5,Jordan Love
2024,9.0,2024-11-03,DET,23,39,273,0,1,3,0,0,2.92,21.823529411764707,34.588235294117645,268.3529411764706,1.6470588235294117,0.9411764705882353,5.411764705882353,24.647058823529413,0.29411764705882354,2.411764705882353,0.058823529411764705,19.4,Jordan Love
2024,11.0,2024-11-17,CHI,13,17,261,1,1,4,18,1,20.24,24.11764705882353,36.294117647058826,249.7058823529412,1.8235294117647058,1.2941176470588236,3.588235294117647,14.529411764705882,0.058823529411764705,1.7647058823529411,0.058823529411764705,16.8,Jordan Love
2024,12.0,2024-11-24,SF,13,23,163,2,0,1,2,0,14.72,24.11764705882353,36.470588235294116,232.2941176470588,1.1764705882352942,1.2941176470588236,5.0588235294117645,19.529411764705884,0.11764705882352941,2.823529411764706,0.058823529411764705,14.0,Jordan Love
