Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2018,1.0,2018-09-09,BAL,6.0,15.0,74.0,0.0,0.0,4.0,26.0,0.0,5.5600000000000005,20.75,35.5,230.0,1.0625,1.375,2.6875,11.0,0.0,2.5625,,10.9,Josh Allen
2018,2.0,2018-09-16,LAC,18.0,33.0,245.0,1.0,2.0,8.0,32.0,0.0,13.0,20.5625,32.6875,213.5625,1.0625,1.125,2.875,14.625,0.125,2.6875,0.0625,12.3,Josh Allen
2018,3.0,2018-09-23,MIN,15.0,22.0,196.0,1.0,0.0,10.0,39.0,2.0,21.74,20.1875,34.5625,205.6875,0.75,0.875,2.5625,11.0,0.1875,2.3125,0.0625,11.7,Josh Allen
2018,4.0,2018-09-30,GB,16.0,33.0,151.0,0.0,2.0,5.0,19.0,0.0,1.9399999999999995,21.75,32.0625,252.5625,1.875,0.6875,3.125,12.75,0.125,2.3125,0.0625,18.0,Josh Allen
2018,5.0,2018-10-07,TEN,10.0,19.0,82.0,0.0,1.0,4.0,19.0,1.0,9.18,23.0,37.625,255.25,1.6875,0.75,2.625,9.1875,0.0625,2.6875,,16.1,Josh Allen
2018,6.0,2018-10-14,HOU,10.0,17.0,84.0,0.0,0.0,4.0,20.0,0.0,5.359999999999999,19.9375,31.1875,248.1875,1.875,0.6875,3.5625,15.75,0.1875,2.0,0.0625,18.5,Josh Allen
2018,12.0,2018-11-25,JAX,8.0,19.0,160.0,1.0,0.0,13.0,99.0,1.0,24.3,18.0,31.75,190.1875,1.0625,1.3125,3.6875,16.6875,0.0625,3.4375,0.0625,10.4,Josh Allen
2018,13.0,2018-12-02,MIA,18.0,33.0,231.0,2.0,2.0,9.0,135.0,0.0,24.74,21.1875,33.0,236.75,1.625,0.5625,3.4375,13.625,0.125,1.875,,16.7,Josh Allen
2018,14.0,2018-12-09,NYJ,18.0,36.0,206.0,0.0,2.0,9.0,101.0,1.0,18.34,20.5625,34.8125,244.0,1.875,0.625,3.375,19.625,0.125,1.75,,18.3,Josh Allen
2018,15.0,2018-12-16,DET,13.0,26.0,204.0,1.0,0.0,9.0,16.0,1.0,17.759999999999998,22.8125,35.5625,256.875,1.3125,1.1875,3.0,11.125,0.1875,2.1875,0.0625,15.2,Josh Allen
2018,16.0,2018-12-23,NE,20.0,41.0,217.0,1.0,2.0,5.0,30.0,0.0,11.68,22.9375,36.875,269.9375,1.5,0.75,3.1875,16.375,0.0625,2.625,0.0625,17.4,Josh Allen
2018,17.0,2018-12-30,MIA,17.0,26.0,224.0,3.0,1.0,9.0,95.0,2.0,40.46,21.1875,33.0,236.75,1.625,0.5625,3.4375,13.625,0.125,1.875,,16.7,Josh Allen
2019,1.0,2019-09-08,NYJ,24.0,37.0,254.0,1.0,2.0,10.0,38.0,1.0,15.96,22.875,36.25,271.4375,1.8125,0.8125,3.875,22.0625,0.1875,2.4375,,19.8,Josh Allen
2019,2.0,2019-09-15,NYG,19.0,30.0,253.0,1.0,0.0,7.0,21.0,1.0,22.22,22.5,34.875,263.875,1.4375,1.0,4.625,19.25,0.125,1.875,0.1875,17.3,Josh Allen
2019,3.0,2019-09-22,CIN,23.0,36.0,243.0,1.0,1.0,9.0,46.0,0.0,12.32,24.25,36.375,282.75,2.0,0.75,4.875,19.3125,0.1875,2.125,0.125,20.7,Josh Allen
2019,4.0,2019-09-29,NE,13.0,28.0,153.0,0.0,3.0,5.0,26.0,1.0,6.720000000000001,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3,Josh Allen
2019,5.0,2019-10-06,TEN,23.0,32.0,219.0,2.0,1.0,10.0,27.0,0.0,17.459999999999997,21.0,33.0625,232.0625,1.3125,0.6875,3.625,16.625,0.125,2.4375,,15.1,Josh Allen
2019,7.0,2019-10-20,MIA,16.0,26.0,202.0,2.0,0.0,4.0,32.0,0.0,19.28,20.9375,31.6875,258.8125,1.9375,1.3125,4.0625,23.9375,0.125,1.9375,0.0625,18.7,Josh Allen
