Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2018-09-09,BUF,BAL,,6,15,40.0,74,0,0,4.9,4.93,56.0,3,16,4,26,0,6.5,0,5.5600000000000005,2018,Josh Allen
2.0,2.0,2.0,2.0,2018-09-16,BUF,LAC,*,18,33,54.5,245,1,2,7.4,5.3,63.3,5,36,8,32,0,4.0,0,13.0,2018,Josh Allen
3.0,3.0,3.0,3.0,2018-09-23,BUF,MIN,*,15,22,68.2,196,1,0,8.9,9.82,111.2,3,32,10,39,2,3.9,3,21.740000000000002,2018,Josh Allen
4.0,4.0,4.0,4.0,2018-09-30,BUF,GB,*,16,33,48.5,151,0,2,4.6,1.85,36.3,7,64,5,19,0,3.8,1,1.9399999999999995,2018,Josh Allen
5.0,5.0,5.0,5.0,2018-10-07,BUF,TEN,*,10,19,52.6,82,0,1,4.3,1.95,42.0,1,3,4,19,1,4.8,0,9.18,2018,Josh Allen
6.0,6.0,6.0,6.0,2018-10-14,BUF,HOU,*,10,17,58.8,84,0,0,4.9,4.94,71.7,2,16,4,20,0,5.0,0,5.359999999999999,2018,Josh Allen
7.0,7.0,11.0,12.0,2018-11-25,BUF,JAX,*,8,19,42.1,160,1,0,8.4,9.47,89.8,0,0,13,99,1,7.6,1,24.3,2018,Josh Allen
8.0,8.0,12.0,13.0,2018-12-02,BUF,MIA,*,18,33,54.5,231,2,2,7.0,5.48,71.7,2,14,9,135,0,15.0,1,24.740000000000002,2018,Josh Allen
9.0,9.0,13.0,14.0,2018-12-09,BUF,NYJ,*,18,36,50.0,206,0,2,5.7,3.22,44.4,3,14,9,101,1,11.2,1,18.34,2018,Josh Allen
10.0,10.0,14.0,15.0,2018-12-16,BUF,DET,*,13,26,50.0,204,1,0,7.8,8.62,89.3,1,9,9,16,1,1.8,1,17.759999999999998,2018,Josh Allen
11.0,11.0,15.0,16.0,2018-12-23,BUF,NE,*,20,41,48.8,217,1,2,5.3,3.59,52.6,0,0,5,30,0,6.0,0,11.68,2018,Josh Allen
12.0,12.0,16.0,17.0,2018-12-30,BUF,MIA,*,17,26,65.4,224,3,1,8.6,9.19,114.9,1,9,9,95,2,10.6,0,40.46,2018,Josh Allen
13.0,13.0,1.0,1.0,2019-09-08,BUF,NYJ,*,24,37,64.9,254,1,2,6.9,4.97,71.2,1,12,10,38,1,3.8,2,15.96,2019,Josh Allen
14.0,14.0,2.0,2.0,2019-09-15,BUF,NYG,*,19,30,63.3,253,1,0,8.4,9.1,101.1,3,16,7,21,1,3.0,0,22.22,2019,Josh Allen
15.0,15.0,3.0,3.0,2019-09-22,BUF,CIN,*,23,36,63.9,243,1,1,6.8,6.06,81.1,1,2,9,46,0,5.1,2,12.32,2019,Josh Allen
16.0,16.0,4.0,4.0,2019-09-29,BUF,NE,*,13,28,46.4,153,0,3,5.5,0.64,24.0,4,31,5,26,1,5.2,1,6.720000000000001,2019,Josh Allen
17.0,17.0,5.0,5.0,2019-10-06,BUF,TEN,*,23,32,71.9,219,2,1,6.8,6.69,98.3,4,15,10,27,0,2.7,0,17.459999999999997,2019,Josh Allen
18.0,18.0,6.0,7.0,2019-10-20,BUF,MIA,*,16,26,61.5,202,2,0,7.8,9.31,111.4,2,14,4,32,0,8.0,0,19.279999999999998,2019,Josh Allen
19.0,19.0,7.0,8.0,2019-10-27,BUF,PHI,*,16,34,47.1,169,2,0,5.0,6.15,81.6,4,14,8,45,0,5.6,3,13.259999999999998,2019,Josh Allen
20.0,20.0,8.0,9.0,2019-11-03,BUF,WAS,*,14,20,70.0,160,1,0,8.0,9.0,110.4,2,14,8,12,1,1.5,2,13.600000000000001,2019,Josh Allen
21.0,21.0,9.0,10.0,2019-11-10,BUF,CLE,*,22,41,53.7,266,0,0,6.5,6.49,73.8,1,6,6,28,2,4.7,1,23.44,2019,Josh Allen
22.0,22.0,10.0,11.0,2019-11-17,BUF,MIA,*,21,33,63.6,256,3,0,7.8,9.58,117.7,0,0,7,56,1,8.0,0,33.84,2019,Josh Allen
23.0,23.0,11.0,12.0,2019-11-24,BUF,DEN,*,15,25,60.0,185,2,1,7.4,7.2,92.9,1,5,9,56,0,6.2,0,19.0,2019,Josh Allen
24.0,24.0,12.0,13.0,2019-11-28,BUF,DAL,*,19,24,79.2,231,1,0,9.6,10.46,120.7,4,27,10,43,1,4.3,1,21.54,2019,Josh Allen
25.0,25.0,13.0,14.0,2019-12-08,BUF,BAL,*,17,39,43.6,146,1,0,3.7,4.26,62.6,6,41,2,9,0,4.5,2,6.74,2019,Josh Allen
26.0,26.0,14.0,15.0,2019-12-15,BUF,PIT,*,13,25,52.0,139,1,1,5.6,4.56,65.2,1,8,7,28,1,4.0,0,16.36,2019,Josh Allen
