Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2018,1.0,2018-09-09,BAL,6,15,74,0,0,4,26,0,5.5600000000000005,20.75,35.5,230.0,1.0625,1.375,2.6875,11.0,0.0,2.5625,,10.9,Josh Allen
2018,2.0,2018-09-16,LAC,18,33,245,1,2,8,32,0,13.0,20.5625,32.6875,213.5625,1.0625,1.125,2.875,14.625,0.125,2.6875,0.0625,12.3,Josh Allen
2018,3.0,2018-09-23,MIN,15,22,196,1,0,10,39,2,21.74,20.1875,34.5625,205.6875,0.75,0.875,2.5625,11.0,0.1875,2.3125,0.0625,11.7,Josh Allen
2018,4.0,2018-09-30,GB,16,33,151,0,2,5,19,0,1.9399999999999995,21.75,32.0625,252.5625,1.875,0.6875,3.125,12.75,0.125,2.3125,0.0625,18.0,Josh Allen
2018,5.0,2018-10-07,TEN,10,19,82,0,1,4,19,1,9.18,23.0,37.625,255.25,1.6875,0.75,2.625,9.1875,0.0625,2.6875,,16.1,Josh Allen
2018,6.0,2018-10-14,HOU,10,17,84,0,0,4,20,0,5.359999999999999,19.9375,31.1875,248.1875,1.875,0.6875,3.5625,15.75,0.1875,2.0,0.0625,18.5,Josh Allen
2018,12.0,2018-11-25,JAX,8,19,160,1,0,13,99,1,24.3,18.0,31.75,190.1875,1.0625,1.3125,3.6875,16.6875,0.0625,3.4375,0.0625,10.4,Josh Allen
2018,13.0,2018-12-02,MIA,18,33,231,2,2,9,135,0,24.74,21.1875,33.0,236.75,1.625,0.5625,3.4375,13.625,0.125,1.875,,16.7,Josh Allen
2018,14.0,2018-12-09,NYJ,18,36,206,0,2,9,101,1,18.34,20.5625,34.8125,244.0,1.875,0.625,3.375,19.625,0.125,1.75,,18.3,Josh Allen
2018,15.0,2018-12-16,DET,13,26,204,1,0,9,16,1,17.759999999999998,22.8125,35.5625,256.875,1.3125,1.1875,3.0,11.125,0.1875,2.1875,0.0625,15.2,Josh Allen
2018,16.0,2018-12-23,NE,20,41,217,1,2,5,30,0,11.68,22.9375,36.875,269.9375,1.5,0.75,3.1875,16.375,0.0625,2.625,0.0625,17.4,Josh Allen
2018,17.0,2018-12-30,MIA,17,26,224,3,1,9,95,2,40.46,21.1875,33.0,236.75,1.625,0.5625,3.4375,13.625,0.125,1.875,,16.7,Josh Allen
2019,1.0,2019-09-08,NYJ,24,37,254,1,2,10,38,1,15.96,22.875,36.25,271.4375,1.8125,0.8125,3.875,22.0625,0.1875,2.4375,,19.8,Josh Allen
2019,2.0,2019-09-15,NYG,19,30,253,1,0,7,21,1,22.22,22.5,34.875,263.875,1.4375,1.0,4.625,19.25,0.125,1.875,0.1875,17.3,Josh Allen
2019,3.0,2019-09-22,CIN,23,36,243,1,1,9,46,0,12.32,24.25,36.375,282.75,2.0,0.75,4.875,19.3125,0.1875,2.125,0.125,20.7,Josh Allen
2019,4.0,2019-09-29,NE,13,28,153,0,3,5,26,1,6.720000000000001,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3,Josh Allen
2019,5.0,2019-10-06,TEN,23,32,219,2,1,10,27,0,17.459999999999997,21.0,33.0625,232.0625,1.3125,0.6875,3.625,16.625,0.125,2.4375,,15.1,Josh Allen
2019,7.0,2019-10-20,MIA,16,26,202,2,0,4,32,0,19.28,20.9375,31.6875,258.8125,1.9375,1.3125,4.0625,23.9375,0.125,1.9375,0.0625,18.7,Josh Allen
2019,8.0,2019-10-27,PHI,16,34,169,2,0,8,45,0,13.259999999999998,25.9375,38.875,287.625,1.375,0.625,3.6875,16.3125,0.25,2.75,0.0625,18.5,Josh Allen
2019,9.0,2019-11-03,WAS,14,20,160,1,0,8,12,1,13.6,22.625,33.4375,255.6875,1.6875,0.9375,4.125,15.625,0.1875,2.875,0.125,17.6,Josh Allen
2019,10.0,2019-11-10,CLE,22,41,266,0,0,6,28,2,23.44,24.5625,39.125,273.125,1.3125,1.0625,4.6875,20.1875,0.3125,2.3125,0.125,17.6,Josh Allen
2019,11.0,2019-11-17,MIA,21,33,256,3,0,7,56,1,33.84,20.9375,31.6875,258.8125,1.9375,1.3125,4.0625,23.9375,0.125,1.9375,0.0625,18.7,Josh Allen
2019,12.0,2019-11-24,DEN,15,25,185,2,1,9,56,0,19.0,22.0,34.1875,264.875,1.5625,1.0625,2.9375,5.75,0.0625,2.75,,15.2,Josh Allen
2019,13.0,2019-11-28,DAL,19,24,231,1,0,10,43,1,21.54,22.9375,33.875,249.0,1.375,0.5625,4.5,15.4375,0.125,2.4375,0.0625,15.9,Josh Allen
2019,14.0,2019-12-08,BAL,17,39,146,1,0,2,9,0,6.74,21.0625,35.9375,228.1875,1.3125,0.75,2.8125,12.1875,0.125,2.6875,0.0625,14.6,Josh Allen
2019,15.0,2019-12-15,PIT,13,25,139,1,1,7,28,1,16.36,22.625,35.375,252.75,1.6875,0.5,2.625,12.5,0.0625,3.25,0.125,17.3,Josh Allen
2019,16.0,2019-12-21,NE,13,26,208,2,0,7,43,0,20.62,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3,Josh Allen
2019,17.0,2019-12-29,NYJ,3,5,5,0,0,0,0,0,0.2,22.875,36.25,271.4375,1.8125,0.8125,3.875,22.0625,0.1875,2.4375,,19.8,Josh Allen
2020,1.0,2020-09-13,NYJ,33,46,312,2,0,14,57,1,28.18,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7,Josh Allen
2020,2.0,2020-09-20,MIA,24,35,415,4,0,4,19,0,34.5,21.5,34.0625,272.0625,2.4375,0.8125,2.5625,8.0,0.1875,1.4375,0.125,21.3,Josh Allen
2020,3.0,2020-09-27,LAR,24,33,311,4,1,4,8,1,31.239999999999995,21.75,35.125,245.5,1.4375,0.8125,3.75,13.5,0.125,3.125,,15.5,Josh Allen
2020,4.0,2020-10-04,LV,24,34,288,2,0,3,-1,1,25.42,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3,Josh Allen
2020,5.0,2020-10-13,TEN,26,41,263,2,2,4,18,0,16.32,24.125,37.3125,272.25,1.5625,0.875,3.8125,15.6875,0.0625,2.6875,0.125,17.2,Josh Allen
2020,6.0,2020-10-19,KC,14,27,122,2,1,8,42,0,15.079999999999998,21.9375,36.3125,240.375,1.3125,1.0,3.3125,16.5625,0.25,2.75,0.125,16.0,Josh Allen
2020,7.0,2020-10-25,NYJ,30,43,307,0,0,11,61,0,16.38,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7,Josh Allen
2020,8.0,2020-11-01,NE,11,18,154,0,1,10,23,1,12.46,18.8125,33.25,199.25,0.75,1.5625,3.625,14.0,0.25,2.9375,,10.9,Josh Allen
2020,9.0,2020-11-08,SEA,31,38,415,3,0,7,14,1,36.0,23.9375,37.25,275.4375,1.1875,1.0,3.625,21.6875,0.1875,1.75,0.1875,16.5,Josh Allen
