Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2021,1,2021-09-12,LAR,2.0,2.0,10.0,0.0,0.0,1.0,3.0,1.0,6.7,21.6875,34.25,212.5625,1.0625,0.875,3.5625,15.125,0.25,3.3125,,13.5,Justin Fields
2021,2,2021-09-19,CIN,6.0,13.0,60.0,0.0,1.0,10.0,31.0,0.0,1.5,21.1875,33.6875,245.1875,2.0,0.6875,4.5,17.1875,0.0625,1.0625,,18.3,Justin Fields
2021,3,2021-09-26,CLE,6.0,20.0,68.0,0.0,0.0,3.0,12.0,0.0,3.92,23.0625,36.375,260.3125,1.875,0.6875,4.6875,23.75,0.1875,2.375,0.0625,19.9,Justin Fields
2021,4,2021-10-03,DET,11.0,17.0,209.0,0.0,1.0,3.0,9.0,0.0,5.26,23.9375,34.6875,297.0625,2.375,0.4375,3.75,10.0,0.375,1.5,0.125,23.7,Justin Fields
2021,5,2021-10-10,LV,12.0,20.0,111.0,1.0,0.0,3.0,4.0,0.0,6.840000000000002,23.0625,36.1875,271.0625,1.75,0.625,3.75,13.4375,0.3125,1.3125,0.25,20.1,Justin Fields
2021,6,2021-10-17,GB,16.0,27.0,174.0,1.0,1.0,6.0,43.0,0.0,13.260000000000002,21.625,33.5,237.0625,1.4375,0.6875,2.875,16.75,0.125,2.5625,0.125,16.0,Justin Fields
2021,7,2021-10-24,TB,22.0,32.0,184.0,0.0,3.0,8.0,38.0,0.0,-0.8399999999999999,26.5625,38.4375,268.3125,1.8125,0.9375,3.1875,16.375,0.125,2.9375,0.0625,18.2,Justin Fields
2021,8,2021-10-31,SF,19.0,27.0,175.0,1.0,1.0,10.0,103.0,1.0,21.3,21.25,33.4375,219.625,1.5625,0.75,5.8125,27.875,0.125,1.875,0.0625,16.7,Justin Fields
2021,9,2021-11-08,PIT,17.0,29.0,291.0,1.0,1.0,8.0,45.0,0.0,18.14,18.625,32.8125,218.375,1.375,1.125,4.125,21.875,0.0625,3.5,0.125,14.2,Justin Fields
2021,11,2021-11-21,BAL,4.0,11.0,79.0,0.0,0.0,4.0,23.0,0.0,3.46,23.625,37.125,235.75,1.3125,0.625,3.125,14.0625,0.3125,2.4375,0.1875,16.9,Justin Fields
