Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2021-09-12,CHI,LAR,,2,2,100.0,10,0,0,5.0,5.0,87.5,0,0,1,3,1,3.0,0,6.7,2021,Justin Fields
2.0,2.0,2.0,2,2021-09-19,CHI,CIN,,6,13,46.2,60,0,1,4.6,1.15,27.7,2,25,10,31,0,3.1,1,1.5,2021,Justin Fields
3.0,3.0,3.0,3,2021-09-26,CHI,CLE,*,6,20,30.0,68,0,0,3.4,3.4,41.2,9,67,3,12,0,4.0,0,3.92,2021,Justin Fields
4.0,4.0,4.0,4,2021-10-03,CHI,DET,*,11,17,64.7,209,0,1,12.3,9.65,82.7,1,24,3,9,0,3.0,1,5.26,2021,Justin Fields
5.0,5.0,5.0,5,2021-10-10,CHI,LV,*,12,20,60.0,111,1,0,5.6,6.55,91.9,2,10,3,4,0,1.3,1,6.840000000000002,2021,Justin Fields
6.0,6.0,6.0,6,2021-10-17,CHI,GB,*,16,27,59.3,174,1,1,6.4,5.52,75.2,4,37,6,43,0,7.2,0,13.260000000000002,2021,Justin Fields
7.0,7.0,7.0,7,2021-10-24,CHI,TB,*,22,32,68.8,184,0,3,5.8,1.53,44.3,4,16,8,38,0,4.8,3,-0.8399999999999999,2021,Justin Fields
8.0,8.0,8.0,8,2021-10-31,CHI,SF,*,19,27,70.4,175,1,1,6.5,5.56,84.6,4,27,10,103,1,10.3,2,21.3,2021,Justin Fields
9.0,9.0,9.0,9,2021-11-08,CHI,PIT,*,17,29,58.6,291,1,1,10.0,9.17,89.9,3,13,8,45,0,5.6,0,18.14,2021,Justin Fields
10.0,10.0,10.0,11,2021-11-21,CHI,BAL,*,4,11,36.4,79,0,0,7.2,7.18,62.3,2,1,4,23,0,5.8,1,3.46,2021,Justin Fields
11.0,11.0,13.0,14,2021-12-12,CHI,GB,*,18,33,54.5,224,2,2,6.8,5.27,70.8,2,14,9,74,0,8.2,1,18.36,2021,Justin Fields
12.0,12.0,14.0,15,2021-12-20,CHI,MIN,*,26,39,66.7,285,1,0,7.3,7.82,96.6,3,30,7,35,0,5.0,2,14.899999999999999,2021,Justin Fields
