Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2020,2.0,2020-09-20,KC,22.0,33.0,311.0,1.0,1.0,4.0,18.0,1.0,22.24,21.9375,36.3125,240.375,1.3125,1.0,3.3125,16.5625,0.25,2.75,0.125,16.0,Justin Herbert
2020,3.0,2020-09-27,CAR,35.0,49.0,330.0,1.0,1.0,3.0,15.0,0.0,12.7,21.625,33.8125,249.625,1.3125,0.75,3.6875,13.8125,0.1875,3.3125,0.0625,16.6,Justin Herbert
2020,4.0,2020-10-04,TB,20.0,25.0,290.0,3.0,1.0,5.0,14.0,0.0,23.0,25.375,41.375,288.0,1.875,0.75,3.25,13.0625,0.125,2.9375,0.3125,19.2,Justin Herbert
2020,5.0,2020-10-12,NO,20.0,34.0,264.0,4.0,0.0,4.0,8.0,0.0,25.360000000000003,23.125,37.625,260.375,1.625,0.8125,2.5,13.4375,0.25,3.1875,0.0625,17.9,Justin Herbert
2020,7.0,2020-10-25,JAX,27.0,43.0,347.0,3.0,0.0,9.0,66.0,1.0,38.48,20.4375,32.25,255.5,1.375,0.625,3.9375,15.25,0.3125,2.9375,0.0625,17.5,Justin Herbert
2020,8.0,2020-11-01,DEN,29.0,43.0,278.0,3.0,2.0,3.0,21.0,0.0,21.22,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8,Justin Herbert
2020,9.0,2020-11-08,LV,28.0,42.0,326.0,2.0,0.0,5.0,24.0,0.0,21.44,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3,Justin Herbert
2020,10.0,2020-11-15,MIA,20.0,32.0,187.0,2.0,1.0,4.0,10.0,1.0,20.48,21.5,34.0625,272.0625,2.4375,0.8125,2.5625,8.0,0.1875,1.4375,0.125,21.3,Justin Herbert
2020,11.0,2020-11-22,NYJ,37.0,49.0,366.0,3.0,0.0,2.0,11.0,0.0,27.74,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7,Justin Herbert
2020,12.0,2020-11-29,BUF,31.0,52.0,316.0,1.0,1.0,2.0,-2.0,0.0,10.44,21.75,34.5625,213.8125,0.9375,0.875,3.5,9.6875,0.125,2.6875,0.1875,12.5,Justin Herbert
2020,13.0,2020-12-06,NE,26.0,53.0,209.0,0.0,2.0,0.0,0.0,0.0,4.359999999999999,18.8125,33.25,199.25,0.75,1.5625,3.625,14.0,0.25,2.9375,,10.9,Justin Herbert
2020,14.0,2020-12-13,ATL,36.0,44.0,243.0,2.0,1.0,0.0,0.0,0.0,15.72,21.8125,33.375,256.6875,1.75,0.75,4.1875,17.375,0.3125,1.75,0.0625,20.0,Justin Herbert
2020,15.0,2020-12-17,LV,22.0,32.0,314.0,2.0,0.0,4.0,14.0,1.0,25.96,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3,Justin Herbert
2020,16.0,2020-12-27,DEN,21.0,33.0,253.0,1.0,0.0,4.0,26.0,0.0,14.72,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8,Justin Herbert
2021,17.0,2021-01-03,KC,22.0,31.0,302.0,3.0,0.0,6.0,9.0,1.0,30.98,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Justin Herbert
2021,1.0,2021-09-12,WAS,31.0,47.0,337.0,1.0,1.0,4.0,-1.0,0.0,13.38,20.5,32.9375,210.1875,1.3125,1.0,4.3125,23.3125,0.375,2.875,0.0625,15.7,Justin Herbert
2021,2.0,2021-09-19,DAL,31.0,41.0,338.0,1.0,2.0,4.0,12.0,0.0,14.72,20.375,31.875,234.6875,2.0625,0.625,4.875,22.875,0.125,1.9375,0.1875,18.9,Justin Herbert
2021,3.0,2021-09-26,KC,26.0,38.0,281.0,4.0,0.0,4.0,16.0,0.0,28.840000000000003,21.75,34.6875,246.25,1.8125,1.0,4.0,17.4375,0.4375,2.0,0.0625,19.3,Justin Herbert
2021,4.0,2021-10-04,LV,25.0,38.0,222.0,3.0,0.0,3.0,4.0,0.0,21.28,23.0625,36.1875,271.0625,1.75,0.625,3.75,13.4375,0.3125,1.3125,0.25,20.1,Justin Herbert
2021,5.0,2021-10-10,CLE,26.0,43.0,398.0,4.0,0.0,4.0,29.0,1.0,40.82,23.0625,36.375,260.3125,1.875,0.6875,4.6875,23.75,0.1875,2.375,0.0625,19.9,Justin Herbert
2021,6.0,2021-10-17,BAL,22.0,39.0,195.0,1.0,1.0,2.0,12.0,0.0,11.0,23.625,37.125,235.75,1.3125,0.625,3.125,14.0625,0.3125,2.4375,0.1875,16.9,Justin Herbert
2021,8.0,2021-10-31,NE,18.0,35.0,223.0,2.0,2.0,2.0,9.0,0.0,13.82,20.75,30.8125,231.8125,1.375,1.125,4.5625,18.625,0.3125,1.5,0.0625,16.3,Justin Herbert
2021,9.0,2021-11-07,PHI,32.0,38.0,356.0,2.0,0.0,5.0,14.0,1.0,29.64,22.6875,33.0625,256.0,1.6875,0.5,4.9375,25.5,0.1875,3.0625,,18.8,Justin Herbert
2021,10.0,2021-11-14,MIN,20.0,34.0,195.0,1.0,1.0,2.0,22.0,0.0,12.0,22.375,33.8125,266.6875,1.875,0.9375,3.625,11.5625,0.0625,1.375,0.0625,17.8,Justin Herbert
