Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2019-09-08,ARI,DET,*,29,54,53.7,308,2,1,5.7,5.61,75.2,5,33,3,13,0,4.3,0,19.62,2019,Kyler Murray
2.0,2.0,2.0,2.0,2019-09-15,ARI,BAL,*,25,40,62.5,349,0,0,8.7,8.73,90.5,3,20,3,4,0,1.3,1,12.360000000000001,2019,Kyler Murray
3.0,3.0,3.0,3.0,2019-09-22,ARI,CAR,*,30,43,69.8,173,2,2,4.0,2.86,73.1,8,46,8,69,0,8.6,0,17.82,2019,Kyler Murray
4.0,4.0,4.0,4.0,2019-09-29,ARI,SEA,*,22,32,68.8,241,0,1,7.5,6.13,77.7,4,35,4,27,1,6.8,0,16.34,2019,Kyler Murray
5.0,5.0,5.0,5.0,2019-10-06,ARI,CIN,*,20,32,62.5,253,0,0,7.9,7.91,87.1,1,5,10,93,1,9.3,0,25.42,2019,Kyler Murray
6.0,6.0,6.0,6.0,2019-10-13,ARI,ATL,*,27,37,73.0,340,3,0,9.2,10.81,128.2,0,0,11,32,0,2.9,0,28.8,2019,Kyler Murray
7.0,7.0,7.0,7.0,2019-10-20,ARI,NYG,*,14,21,66.7,104,0,0,5.0,4.95,78.3,2,15,10,28,0,2.8,0,6.96,2019,Kyler Murray
8.0,8.0,8.0,8.0,2019-10-27,ARI,NO,*,19,33,57.6,220,0,0,6.7,6.67,77.8,3,19,2,13,0,6.5,1,8.100000000000001,2019,Kyler Murray
9.0,9.0,9.0,9.0,2019-10-31,ARI,SF,*,17,24,70.8,241,2,0,10.0,11.71,130.7,3,37,5,34,0,6.8,0,21.04,2019,Kyler Murray
10.0,10.0,10.0,10.0,2019-11-10,ARI,TB,*,27,44,61.4,324,3,1,7.4,7.7,97.2,2,8,3,38,0,12.7,0,26.76,2019,Kyler Murray
11.0,11.0,11.0,11.0,2019-11-17,ARI,SF,*,24,33,72.7,150,2,0,4.5,5.76,101.8,4,19,8,67,1,8.4,0,26.7,2019,Kyler Murray
12.0,12.0,12.0,13.0,2019-12-01,ARI,LAR,*,19,34,55.9,163,0,1,4.8,3.47,56.4,6,39,4,28,1,7.0,0,13.32,2019,Kyler Murray
13.0,13.0,13.0,14.0,2019-12-08,ARI,PIT,*,20,30,66.7,194,2,3,6.5,3.3,67.2,5,29,6,2,0,0.3,1,7.959999999999999,2019,Kyler Murray
14.0,14.0,14.0,15.0,2019-12-15,ARI,CLE,*,19,25,76.0,219,1,1,8.8,7.76,98.6,0,0,8,56,0,7.0,0,16.36,2019,Kyler Murray
15.0,15.0,15.0,16.0,2019-12-22,ARI,SEA,*,11,18,61.1,118,1,0,6.6,7.67,98.8,1,1,6,40,0,6.7,0,12.719999999999999,2019,Kyler Murray
16.0,16.0,16.0,17.0,2019-12-29,ARI,LAR,*,26,42,61.9,325,2,2,7.7,6.55,81.9,1,3,2,0,0,0.0,2,13.0,2019,Kyler Murray
17.0,17.0,1.0,1.0,2020-09-13,ARI,SF,*,26,40,65.0,230,1,1,5.8,5.13,78.1,2,6,13,91,1,7.0,0,26.299999999999997,2020,Kyler Murray
