Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2018-09-09,BAL,BUF,,1,4,25.0,24,0,0,6.0,6.0,52.1,1,8,7,39,0,5.6,1,2.8599999999999994,2018,Lamar Jackson
2.0,2.0,2.0,2.0,2018-09-13,BAL,CIN,,0,0,,0,0,0,,,,0,0,2,6,0,3.0,0,0.6,2018,Lamar Jackson
3.0,3.0,3.0,3.0,2018-09-23,BAL,DEN,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0.0,2018,Lamar Jackson
4.0,4.0,4.0,4.0,2018-09-30,BAL,PIT,,0,0,,0,0,0,,,,0,0,4,17,0,4.3,0,1.7,2018,Lamar Jackson
5.0,5.0,5.0,5.0,2018-10-07,BAL,CLE,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,3,10,0,3.3,0,1.0,2018,Lamar Jackson
6.0,6.0,6.0,6.0,2018-10-14,BAL,TEN,,0,0,,0,0,0,,,,0,0,1,22,0,22.0,0,2.2,2018,Lamar Jackson
7.0,7.0,7.0,7.0,2018-10-21,BAL,NO,,1,1,100.0,5,0,0,5.0,5.0,87.5,0,0,3,9,1,3.0,0,7.1,2018,Lamar Jackson
8.0,8.0,8.0,8.0,2018-10-28,BAL,CAR,,4,5,80.0,46,1,0,9.2,13.2,144.6,0,0,3,26,0,8.7,0,8.44,2018,Lamar Jackson
9.0,9.0,9.0,9.0,2018-11-04,BAL,PIT,,1,1,100.0,12,0,0,12.0,12.0,116.7,0,0,5,10,0,2.0,1,-0.52,2018,Lamar Jackson
10.0,10.0,10.0,11.0,2018-11-18,BAL,CIN,*,13,19,68.4,150,0,1,7.9,5.53,70.1,3,14,26,119,0,4.6,1,13.899999999999999,2018,Lamar Jackson
11.0,11.0,11.0,12.0,2018-11-25,BAL,LV,*,14,25,56.0,178,1,2,7.1,4.32,58.4,1,4,11,71,1,6.5,1,18.22,2018,Lamar Jackson
12.0,12.0,12.0,13.0,2018-12-02,BAL,ATL,*,12,21,57.1,125,0,0,6.0,5.95,74.5,2,8,17,75,1,4.4,3,12.5,2018,Lamar Jackson
13.0,13.0,13.0,14.0,2018-12-09,BAL,KC,*,13,24,54.2,147,2,0,6.1,7.79,100.5,2,20,14,67,0,4.8,1,18.58,2018,Lamar Jackson
14.0,14.0,14.0,15.0,2018-12-16,BAL,TB,*,14,23,60.9,131,1,0,5.7,6.57,91.0,2,3,18,95,0,5.3,1,16.740000000000002,2018,Lamar Jackson
15.0,15.0,15.0,16.0,2018-12-22,BAL,LAC,*,12,22,54.5,204,1,0,9.3,10.18,101.3,3,2,13,39,0,3.0,1,14.059999999999999,2018,Lamar Jackson
