Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg
2017,17,12/31/2017,DEN,22.0,35.0,284.0,0.0,1.0,7.0,10.0,0.0,10.36,19.0625,34.375,199.875,0.75,0.875,3.375,17.5,0.25,2.625,0.0625,12.1
2018,1,9/9/2018,LAC,15.0,27.0,256.0,4.0,0.0,5.0,21.0,0.0,28.34,20.5625,32.6875,213.5625,1.0625,1.125,2.875,14.625,0.125,2.6875,0.0625,12.3
2018,2,9/16/2018,PIT,23.0,28.0,326.0,6.0,0.0,5.0,18.0,0.0,36.84,18.5625,31.0625,225.625,1.25,1.0,2.4375,10.6875,0.125,3.5,0.0625,13.8
2018,3,9/23/2018,SF,24.0,38.0,314.0,3.0,0.0,5.0,7.0,0.0,23.26,21.5,34.0,246.4375,1.6875,0.625,4.375,14.8125,0.25,1.875,0.125,18.4
2018,4,10/1/2018,DEN,28.0,45.0,304.0,1.0,0.0,3.0,7.0,1.0,20.86,18.375,30.625,211.5625,1.8125,0.5625,3.0,8.0625,0.0625,2.0625,,15.1
2018,5,10/7/2018,JAX,22.0,38.0,313.0,0.0,2.0,4.0,13.0,1.0,15.82,18.0,31.75,190.1875,1.0625,1.3125,3.6875,16.6875,0.0625,3.4375,0.0625,10.4
2018,6,10/14/2018,NE,23.0,36.0,352.0,4.0,2.0,2.0,9.0,0.0,26.98,22.9375,36.875,269.9375,1.5,0.75,3.1875,16.375,0.0625,2.625,0.0625,17.4
2018,7,10/21/2018,CIN,28.0,39.0,358.0,4.0,1.0,4.0,45.0,0.0,28.82,20.9375,35.0,225.8125,1.25,0.6875,3.1875,17.0625,0.1875,2.5625,,15.6
2018,8,10/28/2018,DEN,24.0,34.0,303.0,4.0,1.0,2.0,-1.0,0.0,26.02,18.375,30.625,211.5625,1.8125,0.5625,3.0,8.0625,0.0625,2.0625,,15.1
2018,9,11/4/2018,CLE,23.0,32.0,375.0,3.0,1.0,2.0,18.0,0.0,26.8,22.5,32.8125,242.5625,1.75,0.4375,3.625,11.1875,0.25,2.125,0.0625,18.2
2018,10,11/11/2018,ARI,21.0,28.0,249.0,2.0,0.0,4.0,21.0,0.0,20.06,21.4375,35.25,237.25,1.5,0.9375,3.0625,15.25,0.3125,2.3125,,16.8
2018,11,11/19/2018,LAR,33.0,46.0,478.0,6.0,3.0,6.0,28.0,0.0,35.92,20.25,34.625,237.4375,1.3125,1.0625,2.5625,12.8125,0.0625,3.0,,13.8
2018,13,12/2/2018,LV,23.0,38.0,295.0,4.0,0.0,9.0,52.0,0.0,33.0,22.5625,33.125,252.875,1.5,0.3125,2.875,9.4375,0.1875,1.9375,,17.2
2018,14,12/9/2018,BAL,35.0,53.0,377.0,2.0,1.0,2.0,-3.0,0.0,18.78,20.75,35.5,230.0,1.0625,1.375,2.6875,11.0,0.0,2.5625,,10.9
2018,15,12/13/2018,LAC,24.0,34.0,243.0,2.0,0.0,2.0,3.0,0.0,16.02,20.5625,32.6875,213.5625,1.0625,1.125,2.875,14.625,0.125,2.6875,0.0625,12.3
2018,16,12/23/2018,SEA,23.0,40.0,273.0,3.0,0.0,3.0,33.0,0.0,26.22,20.3125,34.625,226.0,1.1875,0.875,3.75,16.4375,0.0,2.4375,,13.1
2018,17,12/30/2018,LV,14.0,24.0,281.0,2.0,1.0,2.0,1.0,0.0,17.34,22.5625,33.125,252.875,1.5,0.3125,2.875,9.4375,0.1875,1.9375,,17.2
2019,1,9/8/2019,JAX,25.0,33.0,378.0,3.0,0.0,1.0,2.0,0.0,27.32,19.5,31.1875,209.625,1.0625,0.6875,5.75,29.4375,0.3125,2.3125,,15.9
2019,2,9/15/2019,LV,30.0,44.0,443.0,4.0,0.0,1.0,-1.0,0.0,31.62,18.625,29.9375,242.5625,2.1875,0.875,3.9375,16.125,0.125,0.8125,0.0625,18.9
2019,3,9/22/2019,BAL,27.0,37.0,374.0,3.0,0.0,4.0,9.0,0.0,25.86,21.0625,35.9375,228.1875,1.3125,0.75,2.8125,12.1875,0.125,2.6875,0.0625,14.6
2019,4,9/29/2019,DET,24.0,42.0,315.0,0.0,0.0,6.0,54.0,0.0,18.0,20.125,30.9375,243.0625,1.8125,0.4375,3.0,7.4375,0.125,2.6875,0.125,17.4
2019,5,10/6/2019,IND,22.0,39.0,321.0,1.0,0.0,3.0,17.0,0.0,18.54,23.9375,33.8125,251.8125,1.3125,0.9375,2.9375,11.375,0.25,2.375,,15.9
2019,6,10/13/2019,HOU,19.0,35.0,273.0,3.0,1.0,1.0,-1.0,0.0,18.82,23.875,36.9375,273.4375,1.625,0.9375,3.625,16.9375,0.0,2.6875,0.0625,16.9
2019,7,10/17/2019,DEN,10.0,11.0,76.0,1.0,0.0,1.0,2.0,0.0,7.24,22.0,34.1875,264.875,1.5625,1.0625,2.9375,5.75,0.0625,2.75,,15.2
2019,10,11/10/2019,TEN,36.0,50.0,446.0,3.0,0.0,0.0,0.0,0.0,29.84,21.0,33.0625,232.0625,1.3125,0.6875,3.625,16.625,0.125,2.4375,,15.1
2019,11,11/18/2019,LAC,19.0,32.0,182.0,1.0,1.0,5.0,59.0,0.0,15.18,21.875,34.1875,242.125,1.4375,0.8125,3.875,15.0625,0.0,2.375,0.0625,15.2
2019,13,12/1/2019,LV,15.0,29.0,175.0,1.0,0.0,3.0,25.0,1.0,19.5,18.625,29.9375,242.5625,2.1875,0.875,3.9375,16.125,0.125,0.8125,0.0625,18.9
2019,14,12/8/2019,NE,26.0,40.0,283.0,1.0,1.0,6.0,6.0,0.0,13.92,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3
2019,15,12/15/2019,DEN,27.0,34.0,340.0,2.0,1.0,3.0,11.0,0.0,20.7,22.0,34.1875,264.875,1.5625,1.0625,2.9375,5.75,0.0625,2.75,,15.2
2019,16,12/22/2019,CHI,23.0,33.0,251.0,2.0,0.0,2.0,14.0,1.0,25.44,23.4375,38.3125,237.375,1.3125,1.6875,1.875,11.5625,0.0625,3.125,0.1875,12.9
2019,17,12/29/2019,LAC,16.0,25.0,174.0,1.0,1.0,7.0,21.0,0.0,11.06,21.875,34.1875,242.125,1.4375,0.8125,3.875,15.0625,0.0,2.375,0.0625,15.2
2020,1,9/10/2020,HOU,24.0,32.0,211.0,3.0,0.0,0.0,0.0,0.0,20.44,23.375,36.4375,280.8125,2.0625,0.75,3.25,18.1875,0.1875,1.875,0.0625,20.4
2020,2,9/20/2020,LAC,27.0,47.0,302.0,2.0,0.0,6.0,54.0,0.0,25.48,20.375,28.875,210.875,1.3125,0.6875,3.6875,13.8125,0.0625,1.8125,,13.8
2020,3,9/28/2020,BAL,31.0,42.0,385.0,4.0,0.0,4.0,26.0,1.0,40.0,19.8125,33.8125,223.6875,0.9375,0.75,2.1875,8.25,0.0625,2.25,0.1875,12.0
2020,4,10/5/2020,NE,19.0,29.0,236.0,2.0,0.0,8.0,28.0,0.0,20.24,18.8125,33.25,199.25,0.75,1.5625,3.625,14.0,0.25,2.9375,,10.9
2020,5,10/11/2020,LV,22.0,43.0,340.0,2.0,1.0,6.0,21.0,1.0,27.7,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3
2020,6,10/19/2020,BUF,21.0,26.0,225.0,2.0,0.0,10.0,36.0,0.0,18.6,21.75,34.5625,213.8125,0.9375,0.875,3.5,9.6875,0.125,2.6875,0.1875,12.5
2020,7,10/25/2020,DEN,15.0,23.0,200.0,1.0,0.0,0.0,0.0,0.0,12.0,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8
2020,8,11/1/2020,NYJ,31.0,42.0,416.0,5.0,0.0,0.0,0.0,0.0,36.64,22.6875,36.5625,250.0625,1.5625,0.75,4.5625,16.5,0.125,2.1875,0.125,16.7
2020,9,11/8/2020,CAR,30.0,45.0,372.0,4.0,0.0,1.0,6.0,0.0,31.48,21.625,33.8125,249.625,1.3125,0.75,3.6875,13.8125,0.1875,3.3125,0.0625,16.6
2020,11,11/22/2020,LV,34.0,45.0,348.0,2.0,1.0,4.0,16.0,0.0,21.52,21.0625,32.875,272.1875,2.0625,0.5625,3.75,15.625,0.1875,2.0,,20.3
2020,12,11/29/2020,TB,37.0,49.0,462.0,3.0,0.0,4.0,28.0,0.0,31.28,25.375,41.375,288.0,1.875,0.75,3.25,13.0625,0.125,2.9375,0.3125,19.2
2020,13,12/6/2020,DEN,25.0,40.0,318.0,1.0,0.0,4.0,26.0,0.0,19.32,21.75,33.5625,238.875,1.1875,0.625,2.5625,11.6875,0.125,2.5,0.0625,14.8
2020,14,12/13/2020,MIA,24.0,34.0,393.0,2.0,3.0,5.0,9.0,0.0,16.62,21.5,34.0625,272.0625,2.4375,0.8125,2.5625,8.0,0.1875,1.4375,0.125,21.3
2020,15,12/20/2020,NO,26.0,47.0,254.0,3.0,0.0,7.0,37.0,0.0,21.86,23.125,37.625,260.375,1.625,0.8125,2.5,13.4375,0.25,3.1875,0.0625,17.9
