Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2009,1,2009-09-13,NO,16.0,37.0,205.0,0.0,3.0,2.0,0.0,1.0,8.2,,,,,,,,,,,,Mathew Stafford
2009,2,2009-09-20,MIN,18.0,30.0,152.0,1.0,2.0,1.0,7.0,0.0,4.779999999999999,,,,,,,,,,,,Mathew Stafford
2009,3,2009-09-27,WAS,21.0,36.0,241.0,1.0,0.0,2.0,23.0,0.0,15.94,,,,,,,,,,,,Mathew Stafford
2009,4,2009-10-04,CHI,24.0,36.0,296.0,1.0,1.0,2.0,20.0,0.0,13.84,,,,,,,,,,,,Mathew Stafford
2009,8,2009-11-01,STL,14.0,33.0,168.0,0.0,1.0,1.0,4.0,1.0,11.12,,,,,,,,,,,,Mathew Stafford
2009,9,2009-11-08,SEA,22.0,42.0,203.0,2.0,5.0,0.0,0.0,0.0,4.119999999999997,,,,,,,,,,,,Mathew Stafford
2009,10,2009-11-15,MIN,29.0,51.0,224.0,1.0,0.0,4.0,28.0,0.0,15.760000000000002,,,,,,,,,,,,Mathew Stafford
2009,11,2009-11-22,CLE,26.0,43.0,422.0,5.0,2.0,2.0,7.0,0.0,31.58,,,,,,,,,,,,Mathew Stafford
2009,12,2009-11-26,GB,20.0,43.0,213.0,1.0,4.0,3.0,21.0,0.0,6.619999999999999,,,,,,,,,,,,Mathew Stafford
2009,13,2009-12-06,CIN,11.0,26.0,143.0,1.0,2.0,3.0,-2.0,0.0,5.52,,,,,,,,,,,,Mathew Stafford
2010,1,2010-09-12,CHI,11.0,15.0,83.0,0.0,0.0,0.0,0.0,0.0,1.3199999999999998,,,,,,,,,,,,Mathew Stafford
2010,8,2010-10-31,WAS,26.0,45.0,212.0,4.0,1.0,0.0,0.0,0.0,22.48,,,,,,,,,,,,Mathew Stafford
2010,9,2010-11-07,NYJ,20.0,36.0,240.0,2.0,0.0,4.0,11.0,1.0,22.700000000000003,,,,,,,,,,,,Mathew Stafford
2011,1,2011-09-11,TB,24.0,33.0,305.0,3.0,1.0,1.0,0.0,0.0,20.2,,,,,,,,,,,,Mathew Stafford
2011,2,2011-09-18,KC,23.0,39.0,294.0,4.0,1.0,1.0,1.0,0.0,25.86,,,,,,,,,,,,Mathew Stafford
2011,3,2011-09-25,MIN,32.0,46.0,378.0,2.0,0.0,1.0,-1.0,0.0,21.02,,,,,,,,,,,,Mathew Stafford
2011,4,2011-10-02,DAL,21.0,43.0,240.0,2.0,1.0,1.0,-1.0,0.0,15.5,,,,,,,,,,,,Mathew Stafford
2011,5,2011-10-10,CHI,19.0,26.0,219.0,2.0,1.0,1.0,1.0,0.0,14.86,,,,,,,,,,,,Mathew Stafford
2011,6,2011-10-16,SF,28.0,50.0,293.0,2.0,0.0,1.0,9.0,0.0,18.62,,,,,,,,,,,,Mathew Stafford
2011,7,2011-10-23,ATL,15.0,32.0,183.0,1.0,0.0,0.0,0.0,0.0,11.32,,,,,,,,,,,,Mathew Stafford
2011,8,2011-10-30,DEN,21.0,30.0,267.0,3.0,0.0,1.0,21.0,0.0,24.78,,,,,,,,,,,,Mathew Stafford
2011,10,2011-11-13,CHI,33.0,63.0,329.0,1.0,4.0,2.0,1.0,0.0,9.260000000000002,,,,,,,,,,,,Mathew Stafford
2011,11,2011-11-20,CAR,28.0,36.0,335.0,5.0,2.0,4.0,2.0,0.0,29.6,,,,,,,,,,,,Mathew Stafford
2011,12,2011-11-24,GB,32.0,45.0,276.0,1.0,3.0,4.0,31.0,0.0,10.14,,,,,,,,,,,,Mathew Stafford
2011,13,2011-12-04,NO,31.0,44.0,408.0,1.0,1.0,0.0,0.0,0.0,18.32,,,,,,,,,,,,Mathew Stafford
2011,14,2011-12-11,MIN,20.0,29.0,227.0,2.0,0.0,2.0,4.0,0.0,17.479999999999997,,,,,,,,,,,,Mathew Stafford
2011,15,2011-12-18,LV,29.0,52.0,391.0,4.0,0.0,1.0,5.0,0.0,30.14,,,,,,,,,,,,Mathew Stafford
2011,16,2011-12-24,SDG,29.0,36.0,373.0,3.0,0.0,2.0,5.0,0.0,27.42,,,,,,,,,,,,Mathew Stafford
2012,17,2012-01-01,GB,36.0,59.0,520.0,5.0,2.0,0.0,0.0,0.0,36.8,,,,,,,,,,,,Mathew Stafford
2012,1,2012-09-09,STL,32.0,48.0,355.0,1.0,3.0,0.0,0.0,0.0,12.2,,,,,,,,,,,,Mathew Stafford
2012,2,2012-09-16,SF,19.0,32.0,230.0,1.0,1.0,2.0,10.0,0.0,12.2,,,,,,,,,,,,Mathew Stafford
2012,3,2012-09-23,TEN,33.0,42.0,278.0,1.0,0.0,2.0,12.0,0.0,16.32,,,,,,,,,,,,Mathew Stafford
2012,4,2012-09-30,MIN,30.0,51.0,319.0,0.0,0.0,4.0,14.0,1.0,20.16,,,,,,,,,,,,Mathew Stafford
2012,6,2012-10-14,PHI,22.0,45.0,311.0,1.0,1.0,3.0,7.0,1.0,21.14,,,,,,,,,,,,Mathew Stafford
2012,7,2012-10-22,CHI,28.0,46.0,263.0,1.0,1.0,3.0,21.0,0.0,14.62,,,,,,,,,,,,Mathew Stafford
2012,8,2012-10-28,SEA,34.0,49.0,352.0,3.0,1.0,4.0,12.0,1.0,31.28,,,,,,,,,,,,Mathew Stafford
2012,9,2012-11-04,JAX,22.0,33.0,285.0,0.0,0.0,2.0,-2.0,0.0,11.2,,,,,,,,,,,,Mathew Stafford
2012,10,2012-11-11,MIN,28.0,42.0,329.0,3.0,1.0,3.0,13.0,0.0,22.46,,,,,,,,,,,,Mathew Stafford
2012,11,2012-11-18,GB,17.0,39.0,266.0,1.0,2.0,2.0,12.0,0.0,9.84,,,,,,,,,,,,Mathew Stafford
2012,12,2012-11-22,HOU,31.0,61.0,441.0,2.0,0.0,2.0,7.0,0.0,26.34,,,,,,,,,,,,Mathew Stafford
2012,13,2012-12-02,IND,27.0,46.0,313.0,2.0,1.0,1.0,0.0,0.0,16.52,,,,,,,,,,,,Mathew Stafford
2012,14,2012-12-09,GB,27.0,45.0,264.0,1.0,1.0,3.0,9.0,1.0,17.46,,,,,,,,,,,,Mathew Stafford
2012,15,2012-12-16,ARI,24.0,50.0,246.0,0.0,3.0,0.0,0.0,0.0,3.84,,,,,,,,,,,,Mathew Stafford
2012,16,2012-12-22,ATL,37.0,56.0,443.0,0.0,1.0,1.0,2.0,0.0,15.919999999999998,,,,,,,,,,,,Mathew Stafford
2012,17,2012-12-30,CHI,24.0,42.0,272.0,3.0,1.0,3.0,9.0,0.0,17.78,,,,,,,,,,,,Mathew Stafford
2013,1,2013-09-08,MIN,28.0,43.0,357.0,2.0,1.0,6.0,-3.0,0.0,17.98,,,,,,,,,,,,Mathew Stafford
