Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2009-09-13,DET,NO,*,16,37,43.2,205,0,3,5.5,1.89,27.4,1,7,2,0,1,0.0,0,8.2,2009,Mathew Stafford
2.0,2.0,2.0,2,2009-09-20,DET,MIN,*,18,30,60.0,152,1,2,5.1,2.73,56.5,2,16,1,7,0,7.0,1,4.779999999999999,2009,Mathew Stafford
3.0,3.0,3.0,3,2009-09-27,DET,WAS,*,21,36,58.3,241,1,0,6.7,7.25,87.8,2,14,2,23,0,11.5,0,15.940000000000001,2009,Mathew Stafford
4.0,4.0,4.0,4,2009-10-04,DET,CHI,*,24,36,66.7,296,1,1,8.2,7.53,89.6,5,42,2,20,0,10.0,1,13.84,2009,Mathew Stafford
5.0,5.0,7.0,8,2009-11-01,DET,STL,*,14,33,42.4,168,0,1,5.1,3.73,46.0,2,6,1,4,1,4.0,0,11.120000000000001,2009,Mathew Stafford
6.0,6.0,8.0,9,2009-11-08,DET,SEA,*,22,42,52.4,203,2,5,4.8,0.43,42.2,2,17,0,0,0,,1,4.119999999999997,2009,Mathew Stafford
7.0,7.0,9.0,10,2009-11-15,DET,MIN,*,29,51,56.9,224,1,0,4.4,4.78,74.3,3,20,4,28,0,7.0,0,15.760000000000002,2009,Mathew Stafford
8.0,8.0,10.0,11,2009-11-22,DET,CLE,*,26,43,60.5,422,5,2,9.8,10.05,112.7,2,6,2,7,0,3.5,1,31.58,2009,Mathew Stafford
9.0,9.0,11.0,12,2009-11-26,DET,GB,*,20,43,46.5,213,1,4,5.0,1.23,30.5,2,14,3,21,0,7.0,0,6.619999999999999,2009,Mathew Stafford
10.0,10.0,12.0,13,2009-12-06,DET,CIN,*,11,26,42.3,143,1,2,5.5,2.81,41.0,3,27,3,-2,0,-0.7,0,5.52,2009,Mathew Stafford
11.0,11.0,1.0,1,2010-09-12,DET,CHI,*,11,15,73.3,83,0,0,5.5,5.53,86.2,1,14,0,0,0,,1,1.3199999999999998,2010,Mathew Stafford
12.0,12.0,7.0,8,2010-10-31,DET,WAS,*,26,45,57.8,212,4,1,4.7,5.49,90.2,1,10,0,0,0,,0,22.48,2010,Mathew Stafford
13.0,13.0,8.0,9,2010-11-07,DET,NYJ,*,20,36,55.6,240,2,0,6.7,7.78,94.7,2,12,4,11,1,2.8,1,22.700000000000003,2010,Mathew Stafford
14.0,14.0,1.0,1,2011-09-11,DET,TB,*,24,33,72.7,305,3,1,9.2,9.7,118.9,0,0,1,0,0,0.0,1,20.2,2011,Mathew Stafford
15.0,15.0,2.0,2,2011-09-18,DET,KC,*,23,39,59.0,294,4,1,7.5,8.44,106.1,0,0,1,1,0,1.0,0,25.86,2011,Mathew Stafford
16.0,16.0,3.0,3,2011-09-25,DET,MIN,*,32,46,69.6,378,2,0,8.2,9.09,108.8,5,40,1,-1,0,-1.0,1,21.019999999999996,2011,Mathew Stafford
17.0,17.0,4.0,4,2011-10-02,DET,DAL,*,21,43,48.8,240,2,1,5.6,5.47,71.9,0,0,1,-1,0,-1.0,0,15.5,2011,Mathew Stafford
18.0,18.0,5.0,5,2011-10-10,DET,CHI,*,19,26,73.1,219,2,1,8.4,8.23,107.7,1,5,1,1,0,1.0,0,14.86,2011,Mathew Stafford
19.0,19.0,6.0,6,2011-10-16,DET,SF,*,28,50,56.0,293,2,0,5.9,6.66,86.5,5,49,1,9,0,9.0,1,18.619999999999997,2011,Mathew Stafford
20.0,20.0,7.0,7,2011-10-23,DET,ATL,*,15,32,46.9,183,1,0,5.7,6.34,75.4,3,24,0,0,0,,0,11.32,2011,Mathew Stafford
21.0,21.0,8.0,8,2011-10-30,DET,DEN,*,21,30,70.0,267,3,0,8.9,10.9,130.8,2,9,1,21,0,21.0,0,24.78,2011,Mathew Stafford
22.0,22.0,9.0,10,2011-11-13,DET,CHI,*,33,63,52.4,329,1,4,5.2,2.68,46.3,2,16,2,1,0,0.5,0,9.260000000000002,2011,Mathew Stafford
23.0,23.0,10.0,11,2011-11-20,DET,CAR,*,28,36,77.8,335,5,2,9.3,9.58,121.9,2,9,4,2,0,0.5,0,29.6,2011,Mathew Stafford
24.0,24.0,11.0,12,2011-11-24,DET,GB,*,32,45,71.1,276,1,3,6.1,3.58,66.5,1,3,4,31,0,7.8,1,10.14,2011,Mathew Stafford
25.0,25.0,12.0,13,2011-12-04,DET,NO,*,31,44,70.5,408,1,1,9.3,8.7,97.5,3,29,0,0,0,,0,18.32,2011,Mathew Stafford
26.0,26.0,13.0,14,2011-12-11,DET,MIN,*,20,29,69.0,227,2,0,7.8,9.21,115.2,5,19,2,4,0,2.0,0,17.479999999999997,2011,Mathew Stafford
27.0,27.0,14.0,15,2011-12-18,DET,LV,*,29,52,55.8,391,4,0,7.5,9.06,105.5,2,16,1,5,0,5.0,1,30.14,2011,Mathew Stafford
28.0,28.0,15.0,16,2011-12-24,DET,SDG,*,29,36,80.6,373,3,0,10.4,12.03,137.6,3,20,2,5,0,2.5,0,27.42,2011,Mathew Stafford
29.0,29.0,16.0,17,2012-01-01,DET,GB,*,36,59,61.0,520,5,2,8.8,8.98,103.8,2,18,0,0,0,,0,36.8,2012,Mathew Stafford
30.0,30.0,1.0,1,2012-09-09,DET,STL,*,32,48,66.7,355,1,3,7.4,5.0,69.4,1,9,0,0,0,,0,12.2,2012,Mathew Stafford
31.0,31.0,2.0,2,2012-09-16,DET,SF,*,19,32,59.4,230,1,1,7.2,6.41,78.9,2,16,2,10,0,5.0,0,12.2,2012,Mathew Stafford
32.0,32.0,3.0,3,2012-09-23,DET,TEN,*,33,42,78.6,278,1,0,6.6,7.1,102.2,1,8,2,12,0,6.0,0,16.32,2012,Mathew Stafford
