Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2009,1,2009-09-13,NO,16,37,205,0,3,2,0,1,8.2,,,,,,,,,,,,Mathew Stafford
2009,2,2009-09-20,MIN,18,30,152,1,2,1,7,0,4.779999999999999,,,,,,,,,,,,Mathew Stafford
2009,3,2009-09-27,WAS,21,36,241,1,0,2,23,0,15.94,,,,,,,,,,,,Mathew Stafford
2009,4,2009-10-04,CHI,24,36,296,1,1,2,20,0,13.84,,,,,,,,,,,,Mathew Stafford
2009,8,2009-11-01,STL,14,33,168,0,1,1,4,1,11.12,,,,,,,,,,,,Mathew Stafford
2009,9,2009-11-08,SEA,22,42,203,2,5,0,0,0,4.119999999999997,,,,,,,,,,,,Mathew Stafford
2009,10,2009-11-15,MIN,29,51,224,1,0,4,28,0,15.760000000000002,,,,,,,,,,,,Mathew Stafford
2009,11,2009-11-22,CLE,26,43,422,5,2,2,7,0,31.58,,,,,,,,,,,,Mathew Stafford
2009,12,2009-11-26,GB,20,43,213,1,4,3,21,0,6.619999999999999,,,,,,,,,,,,Mathew Stafford
2009,13,2009-12-06,CIN,11,26,143,1,2,3,-2,0,5.52,,,,,,,,,,,,Mathew Stafford
2010,1,2010-09-12,CHI,11,15,83,0,0,0,0,0,1.3199999999999998,,,,,,,,,,,,Mathew Stafford
2010,8,2010-10-31,WAS,26,45,212,4,1,0,0,0,22.48,,,,,,,,,,,,Mathew Stafford
2010,9,2010-11-07,NYJ,20,36,240,2,0,4,11,1,22.700000000000003,,,,,,,,,,,,Mathew Stafford
2011,1,2011-09-11,TB,24,33,305,3,1,1,0,0,20.2,,,,,,,,,,,,Mathew Stafford
2011,2,2011-09-18,KC,23,39,294,4,1,1,1,0,25.86,,,,,,,,,,,,Mathew Stafford
2011,3,2011-09-25,MIN,32,46,378,2,0,1,-1,0,21.02,,,,,,,,,,,,Mathew Stafford
2011,4,2011-10-02,DAL,21,43,240,2,1,1,-1,0,15.5,,,,,,,,,,,,Mathew Stafford
2011,5,2011-10-10,CHI,19,26,219,2,1,1,1,0,14.86,,,,,,,,,,,,Mathew Stafford
2011,6,2011-10-16,SF,28,50,293,2,0,1,9,0,18.62,,,,,,,,,,,,Mathew Stafford
2011,7,2011-10-23,ATL,15,32,183,1,0,0,0,0,11.32,,,,,,,,,,,,Mathew Stafford
2011,8,2011-10-30,DEN,21,30,267,3,0,1,21,0,24.78,,,,,,,,,,,,Mathew Stafford
2011,10,2011-11-13,CHI,33,63,329,1,4,2,1,0,9.260000000000002,,,,,,,,,,,,Mathew Stafford
2011,11,2011-11-20,CAR,28,36,335,5,2,4,2,0,29.6,,,,,,,,,,,,Mathew Stafford
2011,12,2011-11-24,GB,32,45,276,1,3,4,31,0,10.14,,,,,,,,,,,,Mathew Stafford
2011,13,2011-12-04,NO,31,44,408,1,1,0,0,0,18.32,,,,,,,,,,,,Mathew Stafford
2011,14,2011-12-11,MIN,20,29,227,2,0,2,4,0,17.479999999999997,,,,,,,,,,,,Mathew Stafford
