Tm,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Season
ARI,NO,CAR,SF,SEA,TEN,IND,GB,BYE,DAL,SEA,SF,JAX,TB,LAR,HOU,ATL,CIN,LAR,2025
ATL,TB,MIN,CAR,WAS,BYE,BUF,SF,MIA,NE,IND,CAR,NO,NYJ,SEA,TB,ARI,LAR,NO,2025
BAL,BUF,CLE,DET,KC,HOU,LAR,BYE,CHI,MIA,MIN,CLE,NYJ,CIN,PIT,CIN,NE,GB,PIT,2025
BUF,BAL,NYJ,MIA,NO,NE,ATL,BYE,CAR,KC,MIA,TB,HOU,PIT,CIN,NE,CLE,PHI,NYJ,2025
CAR,JAX,ARI,ATL,NE,MIA,DAL,NYJ,BUF,GB,NO,ATL,SF,LAR,BYE,NO,TB,SEA,TB,2025
CHI,MIN,DET,DAL,LV,BYE,WAS,NO,BAL,CIN,NYG,MIN,PIT,PHI,GB,CLE,GB,SF,DET,2025
CIN,CLE,JAX,MIN,DEN,DET,GB,PIT,NYJ,CHI,BYE,PIT,NE,BAL,BUF,BAL,MIA,ARI,CLE,2025
CLE,CIN,BAL,GB,DET,MIN,PIT,MIA,NE,BYE,NYJ,BAL,LV,SF,TEN,CHI,BUF,PIT,CIN,2025
DAL,PHI,NYG,CHI,GB,NYJ,CAR,WAS,DEN,ARI,BYE,LV,PHI,KC,DET,MIN,LAC,WAS,NYG,2025
DEN,TEN,IND,LAC,CIN,PHI,NYJ,NYG,DAL,HOU,LV,KC,BYE,WAS,LV,GB,JAX,KC,LAC,2025
DET,GB,CHI,BAL,CLE,CIN,KC,TB,BYE,MIN,WAS,PHI,NYG,GB,DAL,LAR,PIT,MIN,CHI,2025
GB,DET,WAS,CLE,DAL,BYE,CIN,ARI,PIT,CAR,PHI,NYG,MIN,DET,CHI,DEN,CHI,BAL,MIN,2025
HOU,LAR,TB,JAX,TEN,BAL,BYE,SEA,SF,DEN,JAX,TEN,BUF,IND,KC,ARI,LV,LAC,IND,2025
IND,MIA,DEN,TEN,LAR,LV,ARI,LAC,TEN,PIT,ATL,BYE,KC,HOU,JAX,SEA,SF,JAX,HOU,2025
JAX,CAR,CIN,HOU,SF,KC,SEA,LAR,BYE,LV,HOU,LAC,ARI,TEN,IND,NYJ,DEN,IND,TEN,2025
KC,LAC,PHI,NYG,BAL,JAX,DET,LV,WAS,BUF,BYE,DEN,IND,DAL,HOU,LAC,TEN,DEN,LV,2025
LV,NE,LAC,WAS,CHI,IND,TEN,KC,BYE,JAX,DEN,DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC,2025
LAR,HOU,TEN,PHI,IND,SF,BAL,JAX,BYE,NO,SF,SEA,TB,CAR,ARI,DET,SEA,ATL,ARI,2025
LAC,KC,LV,DEN,NYG,WAS,MIA,IND,MIN,TEN,PIT,JAX,BYE,LV,PHI,KC,DAL,HOU,DEN,2025
MIA,IND,NE,BUF,NYJ,CAR,LAC,CLE,ATL,BAL,BUF,WAS,BYE,NO,NYJ,PIT,CIN,TB,NE,2025
MIN,CHI,ATL,CIN,PIT,CLE,BYE,PHI,LAC,DET,BAL,CHI,GB,SEA,WAS,DAL,NYG,DET,GB,2025
NE,LV,MIA,PIT,CAR,BUF,NO,TEN,CLE,ATL,TB,NYJ,CIN,NYG,BYE,BUF,BAL,NYJ,MIA,2025
NO,ARI,SF,SEA,BUF,NYG,NE,CHI,TB,LAR,CAR,BYE,ATL,MIA,TB,CAR,NYJ,TEN,ATL,2025
NYG,WAS,DAL,KC,LAC,NO,PHI,DEN,PHI,SF,CHI,GB,DET,NE,BYE,WAS,MIN,LV,DAL,2025
NYJ,PIT,BUF,TB,MIA,DAL,DEN,CAR,CIN,BYE,CLE,NE,BAL,ATL,MIA,JAX,NO,NE,BUF,2025
PHI,DAL,KC,LAR,TB,DEN,NYG,MIN,NYG,BYE,GB,DET,DAL,CHI,LAC,LV,WAS,BUF,WAS,2025
PIT,NYJ,SEA,NE,MIN,BYE,CLE,CIN,GB,IND,LAC,CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL,2025
SF,SEA,NO,ARI,JAX,LAR,TB,ATL,HOU,NYG,LAR,ARI,CAR,CLE,BYE,TEN,IND,CHI,SEA,2025
SEA,SF,PIT,NO,ARI,TB,JAX,HOU,BYE,WAS,ARI,LAR,TEN,MIN,ATL,IND,LAR,CAR,SF,2025
TB,ATL,HOU,NYJ,PHI,SEA,SF,DET,NO,BYE,NE,BUF,LAR,ARI,NO,ATL,CAR,MIA,CAR,2025
TEN,DEN,LAR,IND,HOU,ARI,LV,NE,IND,LAC,BYE,HOU,SEA,JAX,CLE,SF,KC,NO,JAX,2025
WAS,NYG,GB,LV,ATL,LAC,CHI,DAL,KC,SEA,DET,MIA,BYE,DEN,MIN,NYG,PHI,DAL,PHI,2025
