Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2012,1,2012-09-09,ARI,18.0,34.0,153.0,1.0,1.0,8.0,20.0,0.0,8.120000000000001,,,,,,,,,,,,Russel Wilson
2012,2,2012-09-16,DAL,15.0,20.0,151.0,1.0,0.0,4.0,28.0,0.0,12.84,,,,,,,,,,,,Russel Wilson
2012,3,2012-09-24,GB,10.0,21.0,130.0,2.0,0.0,3.0,18.0,0.0,15.0,,,,,,,,,,,,Russel Wilson
2012,4,2012-09-30,STL,17.0,25.0,160.0,0.0,3.0,7.0,14.0,0.0,1.8000000000000007,,,,,,,,,,,,Russel Wilson
2012,5,2012-10-07,CAR,19.0,25.0,221.0,1.0,2.0,5.0,12.0,0.0,10.04,,,,,,,,,,,,Russel Wilson
2012,6,2012-10-14,NE,16.0,27.0,293.0,3.0,0.0,5.0,17.0,0.0,23.42,,,,,,,,,,,,Russel Wilson
2012,7,2012-10-18,SF,9.0,23.0,122.0,0.0,1.0,3.0,10.0,0.0,3.88,,,,,,,,,,,,Russel Wilson
2012,8,2012-10-28,DET,25.0,35.0,236.0,2.0,1.0,1.0,9.0,0.0,16.339999999999996,,,,,,,,,,,,Russel Wilson
2012,9,2012-11-04,MIN,16.0,24.0,173.0,3.0,0.0,9.0,27.0,0.0,19.62,,,,,,,,,,,,Russel Wilson
2012,10,2012-11-11,NYJ,12.0,19.0,188.0,2.0,0.0,7.0,34.0,0.0,14.919999999999998,,,,,,,,,,,,Russel Wilson
2012,12,2012-11-25,MIA,21.0,27.0,224.0,2.0,0.0,5.0,38.0,0.0,20.76,,,,,,,,,,,,Russel Wilson
2012,13,2012-12-02,CHI,23.0,37.0,293.0,2.0,0.0,9.0,71.0,0.0,26.82,,,,,,,,,,,,Russel Wilson
2012,14,2012-12-09,ARI,7.0,13.0,148.0,1.0,1.0,3.0,12.0,0.0,9.12,,,,,,,,,,,,Russel Wilson
2012,15,2012-12-16,BUF,14.0,23.0,205.0,1.0,0.0,9.0,92.0,3.0,39.4,,,,,,,,,,,,Russel Wilson
2012,16,2012-12-23,SF,15.0,21.0,171.0,4.0,1.0,6.0,29.0,0.0,23.74,,,,,,,,,,,,Russel Wilson
2012,17,2012-12-30,STL,15.0,19.0,250.0,1.0,0.0,10.0,58.0,1.0,23.8,,,,,,,,,,,,Russel Wilson
2013,1,2013-09-08,CAR,25.0,33.0,320.0,1.0,0.0,5.0,7.0,0.0,15.5,,,,,,,,,,,,Russel Wilson
2013,2,2013-09-15,SF,8.0,19.0,142.0,1.0,1.0,10.0,33.0,0.0,8.98,,,,,,,,,,,,Russel Wilson
2013,3,2013-09-22,JAX,14.0,21.0,202.0,4.0,1.0,2.0,14.0,0.0,21.48,,,,,,,,,,,,Russel Wilson
