Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2012-09-09,SEA,ARI,*,18,34,52.9,153,1,1,4.5,3.76,62.5,3,14,8,20,0,2.5,1,8.120000000000001,2012,Russel Wilson
2.0,2.0,2.0,2,2012-09-16,SEA,DAL,*,15,20,75.0,151,1,0,7.6,8.55,112.7,2,18,4,28,0,7.0,0,12.84,2012,Russel Wilson
3.0,3.0,3.0,3,2012-09-24,SEA,GB,*,10,21,47.6,130,2,0,6.2,8.1,99.3,1,19,3,18,0,6.0,0,15.0,2012,Russel Wilson
4.0,4.0,4.0,4,2012-09-30,SEA,STL,*,17,25,68.0,160,0,3,6.4,1.0,45.8,2,20,7,14,0,2.0,0,1.8000000000000007,2012,Russel Wilson
5.0,5.0,5.0,5,2012-10-07,SEA,CAR,*,19,25,76.0,221,1,2,8.8,6.04,82.2,2,9,5,12,0,2.4,0,10.04,2012,Russel Wilson
6.0,6.0,6.0,6,2012-10-14,SEA,NE,*,16,27,59.3,293,3,0,10.9,13.07,133.7,2,10,5,17,0,3.4,1,23.419999999999998,2012,Russel Wilson
7.0,7.0,7.0,7,2012-10-18,SEA,SF,*,9,23,39.1,122,0,1,5.3,3.35,38.7,2,7,3,10,0,3.3,0,3.88,2012,Russel Wilson
8.0,8.0,8.0,8,2012-10-28,SEA,DET,*,25,35,71.4,236,2,1,6.7,6.6,96.8,0,0,1,9,0,9.0,0,16.339999999999996,2012,Russel Wilson
9.0,9.0,9.0,9,2012-11-04,SEA,MIN,*,16,24,66.7,173,3,0,7.2,9.71,127.3,1,8,9,27,0,3.0,1,19.62,2012,Russel Wilson
10.0,10.0,10.0,10,2012-11-11,SEA,NYJ,*,12,19,63.2,188,2,0,9.9,12.0,131.0,4,22,7,34,0,4.9,2,14.919999999999998,2012,Russel Wilson
11.0,11.0,11.0,12,2012-11-25,SEA,MIA,*,21,27,77.8,224,2,0,8.3,9.78,125.9,2,8,5,38,0,7.6,0,20.76,2012,Russel Wilson
12.0,12.0,12.0,13,2012-12-02,SEA,CHI,*,23,37,62.2,293,2,0,7.9,9.0,104.9,2,10,9,71,0,7.9,0,26.82,2012,Russel Wilson
13.0,13.0,13.0,14,2012-12-09,SEA,ARI,*,7,13,53.8,148,1,1,11.4,9.46,88.0,1,7,3,12,0,4.0,0,9.12,2012,Russel Wilson
14.0,14.0,14.0,15,2012-12-16,SEA,BUF,*,14,23,60.9,205,1,0,8.9,9.78,104.4,2,9,9,92,3,10.2,0,39.4,2012,Russel Wilson
15.0,15.0,15.0,16,2012-12-23,SEA,SF,*,15,21,71.4,171,4,1,8.1,9.81,115.3,1,1,6,29,0,4.8,0,23.74,2012,Russel Wilson
16.0,16.0,16.0,17,2012-12-30,SEA,STL,*,15,19,78.9,250,1,0,13.2,14.21,136.3,6,41,10,58,1,5.8,1,23.8,2012,Russel Wilson
17.0,17.0,1.0,1,2013-09-08,SEA,CAR,*,25,33,75.8,320,1,0,9.7,10.3,115.7,2,20,5,7,0,1.4,1,15.5,2013,Russel Wilson
18.0,18.0,2.0,2,2013-09-15,SEA,SF,*,8,19,42.1,142,1,1,7.5,6.16,63.9,4,24,10,33,0,3.3,1,8.98,2013,Russel Wilson
19.0,19.0,3.0,3,2013-09-22,SEA,JAX,*,14,21,66.7,202,4,1,9.6,11.29,117.5,2,8,2,14,0,7.0,1,21.479999999999997,2013,Russel Wilson
20.0,20.0,4.0,4,2013-09-29,SEA,HOU,*,12,23,52.2,123,0,1,5.3,3.39,49.7,5,32,10,77,0,7.7,1,8.620000000000001,2013,Russel Wilson
21.0,21.0,5.0,5,2013-10-06,SEA,IND,*,15,31,48.4,210,2,1,6.8,6.61,78.7,2,5,13,102,0,7.8,1,22.599999999999998,2013,Russel Wilson
22.0,22.0,6.0,6,2013-10-13,SEA,TEN,*,23,31,74.2,257,0,0,8.3,8.29,98.5,2,4,10,61,0,6.1,0,16.38,2013,Russel Wilson
23.0,23.0,7.0,7,2013-10-17,SEA,ARI,*,18,29,62.1,235,3,0,8.1,10.17,122.1,3,26,8,29,0,3.6,3,18.299999999999997,2013,Russel Wilson
24.0,24.0,8.0,8,2013-10-28,SEA,STL,*,10,18,55.6,139,2,0,7.7,9.94,117.6,7,48,3,16,0,5.3,0,15.159999999999998,2013,Russel Wilson
25.0,25.0,9.0,9,2013-11-03,SEA,TB,*,19,26,73.1,217,2,2,8.3,6.42,91.3,0,0,6,36,1,6.0,0,22.28,2013,Russel Wilson
26.0,26.0,10.0,10,2013-11-10,SEA,ATL,*,19,26,73.1,287,2,0,11.0,12.58,134.6,1,8,3,20,0,6.7,0,21.48,2013,Russel Wilson
27.0,27.0,11.0,11,2013-11-17,SEA,MIN,*,13,18,72.2,230,2,0,12.8,15.0,151.4,1,6,2,14,0,7.0,0,18.599999999999998,2013,Russel Wilson
28.0,28.0,12.0,13,2013-12-02,SEA,NO,*,22,30,73.3,310,3,0,10.3,12.33,139.6,1,8,8,47,0,5.9,0,29.099999999999998,2013,Russel Wilson
