Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1,2018-09-10,NYJ,DET,*,16,21,76.2,198,2,1,9.4,9.19,116.8,2,18,6,-1,0,-0.2,0,13.82,2018,Sam Darnold
2.0,2.0,2.0,2,2018-09-16,NYJ,MIA,*,25,41,61.0,334,1,2,8.1,6.44,74.6,3,14,2,1,0,0.5,1,11.46,2018,Sam Darnold
3.0,3.0,3.0,3,2018-09-20,NYJ,CLE,*,15,31,48.4,169,0,2,5.5,2.55,38.2,2,8,0,0,0,,0,2.76,2018,Sam Darnold
4.0,4.0,4.0,4,2018-09-30,NYJ,JAX,*,17,34,50.0,167,1,0,4.9,5.5,74.0,3,23,2,8,0,4.0,0,11.48,2018,Sam Darnold
5.0,5.0,5.0,5,2018-10-07,NYJ,DEN,*,10,22,45.5,198,3,1,9.0,9.68,98.1,1,9,3,5,0,1.7,0,18.42,2018,Sam Darnold
6.0,6.0,6.0,6,2018-10-14,NYJ,IND,*,24,30,80.0,280,2,1,9.3,9.17,113.9,2,13,6,8,0,1.3,0,18.0,2018,Sam Darnold
7.0,7.0,7.0,7,2018-10-21,NYJ,MIN,*,17,42,40.5,206,1,3,4.9,2.17,34.4,3,14,6,18,1,3.0,2,10.04,2018,Sam Darnold
8.0,8.0,8.0,8,2018-10-28,NYJ,CHI,*,14,29,48.3,153,1,0,5.3,5.97,75.8,1,3,5,22,0,4.4,1,10.32,2018,Sam Darnold
9.0,9.0,9.0,9,2018-11-04,NYJ,MIA,*,21,39,53.8,229,0,4,5.9,1.26,31.8,4,27,0,0,0,,0,1.1600000000000001,2018,Sam Darnold
10.0,10.0,13.0,14,2018-12-09,NYJ,BUF,*,16,24,66.7,170,1,1,7.1,6.04,83.7,0,0,4,10,0,2.5,0,9.8,2018,Sam Darnold
11.0,11.0,14.0,15,2018-12-15,NYJ,HOU,*,24,38,63.2,253,2,0,6.7,7.71,100.0,3,25,6,35,0,5.8,0,21.619999999999997,2018,Sam Darnold
