Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2021,1.0,2021-09-12,HOU,28.0,51.0,332.0,3.0,3.0,1.0,-2.0,0.0,19.08,23.5625,33.6875,270.3125,1.875,0.1875,3.625,10.0,0.1875,2.0625,0.1875,20.2,Trevor Lawrence
2021,2.0,2021-09-19,DEN,14.0,33.0,118.0,1.0,2.0,2.0,21.0,0.0,6.819999999999999,23.25,35.25,253.1875,1.3125,0.625,4.3125,23.625,0.5,2.625,0.0625,19.7,Trevor Lawrence
2021,3.0,2021-09-26,ARI,22.0,34.0,219.0,1.0,2.0,6.0,27.0,0.0,7.460000000000001,22.75,35.5625,246.0625,1.5625,0.6875,4.875,28.3125,0.1875,2.9375,,18.6,Trevor Lawrence
2021,4.0,2021-09-30,CIN,17.0,24.0,204.0,0.0,0.0,8.0,36.0,1.0,17.759999999999998,21.1875,33.6875,245.1875,2.0,0.6875,4.5,17.1875,0.0625,1.0625,,18.3,Trevor Lawrence
2021,5.0,2021-10-10,TEN,23.0,33.0,273.0,1.0,1.0,7.0,28.0,1.0,21.72,26.375,39.25,286.6875,2.25,0.9375,3.6875,14.125,0.1875,1.1875,0.0625,21.2,Trevor Lawrence
2021,6.0,2021-10-17,MIA,25.0,41.0,319.0,1.0,0.0,2.0,11.0,0.0,15.86,21.4375,34.0,273.3125,1.3125,1.125,4.3125,19.8125,0.3125,2.5625,,17.2,Trevor Lawrence
2021,8.0,2021-10-31,SEA,32.0,54.0,238.0,1.0,1.0,3.0,11.0,0.0,12.62,28.125,42.125,300.6875,1.4375,0.875,5.0625,20.8125,0.3125,2.875,0.125,19.7,Trevor Lawrence
2021,9.0,2021-11-07,BUF,15.0,26.0,118.0,0.0,0.0,3.0,4.0,0.0,5.12,23.0,35.75,244.625,1.4375,0.9375,3.9375,20.4375,0.4375,2.375,0.3125,18.3,Trevor Lawrence
2021,10.0,2021-11-14,IND,16.0,35.0,162.0,0.0,0.0,5.0,33.0,0.0,5.780000000000001,22.9375,35.0,255.0,1.5,0.9375,3.75,13.8125,0.3125,2.5,,17.0,Trevor Lawrence
2021,11.0,2021-11-21,SF,16.0,25.0,158.0,0.0,0.0,3.0,23.0,0.0,8.620000000000001,21.25,33.4375,219.625,1.5625,0.75,5.8125,27.875,0.125,1.875,0.0625,16.7,Trevor Lawrence
