Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,1.0,1.0,2021-09-12,JAX,HOU,*,28,51,54.9,332,3,3,6.5,5.04,70.1,1,13,1,-2,0,-2.0,0,19.080000000000002,2021,Trevor Lawrence
2.0,2.0,2.0,2.0,2021-09-19,JAX,DEN,*,14,33,42.4,118,1,2,3.6,1.45,37.2,1,4,2,21,0,10.5,0,6.8199999999999985,2021,Trevor Lawrence
3.0,3.0,3.0,3.0,2021-09-26,JAX,ARI,*,22,34,64.7,219,1,2,6.4,4.38,68.1,3,17,6,27,0,4.5,2,7.460000000000001,2021,Trevor Lawrence
4.0,4.0,4.0,4.0,2021-09-30,JAX,CIN,*,17,24,70.8,204,0,0,8.5,8.5,96.5,1,2,8,36,1,4.5,0,17.759999999999998,2021,Trevor Lawrence
5.0,5.0,5.0,5.0,2021-10-10,JAX,TEN,*,23,33,69.7,273,1,1,8.3,7.52,92.1,2,17,7,28,1,4.0,0,21.72,2021,Trevor Lawrence
6.0,6.0,6.0,6.0,2021-10-17,JAX,MIA,*,25,41,61.0,319,1,0,7.8,8.27,93.4,2,7,2,11,0,5.5,1,15.86,2021,Trevor Lawrence
7.0,7.0,7.0,8.0,2021-10-31,JAX,SEA,*,32,54,59.3,238,1,1,4.4,3.94,68.3,1,11,3,11,0,3.7,0,12.62,2021,Trevor Lawrence
8.0,8.0,8.0,9.0,2021-11-07,JAX,BUF,*,15,26,57.7,118,0,0,4.5,4.54,69.1,2,12,3,4,0,1.3,0,5.12,2021,Trevor Lawrence
9.0,9.0,9.0,10.0,2021-11-14,JAX,IND,*,16,35,45.7,162,0,0,4.6,4.63,59.5,3,10,5,33,0,6.6,2,5.780000000000001,2021,Trevor Lawrence
10.0,10.0,10.0,11.0,2021-11-21,JAX,SF,*,16,25,64.0,158,0,0,6.3,6.32,81.7,3,12,3,23,0,7.7,0,8.620000000000001,2021,Trevor Lawrence
11.0,11.0,11.0,12.0,2021-11-28,JAX,ATL,*,23,42,54.8,228,1,1,5.4,4.83,68.4,1,12,5,39,0,7.8,1,13.02,2021,Trevor Lawrence
12.0,12.0,12.0,13.0,2021-12-05,JAX,LAR,*,16,28,57.1,145,0,0,5.2,5.18,71.3,2,9,4,10,0,2.5,1,4.8,2021,Trevor Lawrence
13.0,13.0,13.0,14.0,2021-12-12,JAX,TEN,*,24,40,60.0,221,0,4,5.5,1.03,35.5,3,37,1,2,0,2.0,0,1.0399999999999991,2021,Trevor Lawrence
14.0,14.0,14.0,15.0,2021-12-19,JAX,HOU,*,22,38,57.9,210,0,0,5.5,5.53,73.4,3,21,5,21,0,4.2,0,10.5,2021,Trevor Lawrence
15.0,15.0,15.0,16.0,2021-12-26,JAX,NYJ,*,26,39,66.7,280,0,0,7.2,7.18,87.6,1,28,6,37,0,6.2,2,10.899999999999999,2021,Trevor Lawrence
16.0,16.0,16.0,17.0,2022-01-02,JAX,NE,*,17,27,63.0,193,1,3,7.1,2.89,57.1,2,20,2,16,0,8.0,0,7.3199999999999985,2022,Trevor Lawrence
17.0,17.0,17.0,18.0,2022-01-09,JAX,IND,*,23,32,71.9,223,2,0,7.0,8.22,111.8,1,6,10,17,0,1.7,0,18.62,2022,Trevor Lawrence
18.0,18.0,1.0,1.0,2022-09-11,JAX,WAS,*,24,42,57.1,275,1,1,6.5,5.95,75.0,2,15,2,4,0,2.0,0,13.4,2022,Trevor Lawrence
19.0,19.0,2.0,2.0,2022-09-18,JAX,IND,*,25,30,83.3,235,2,0,7.8,9.17,121.5,0,0,3,11,0,3.7,0,18.5,2022,Trevor Lawrence
20.0,20.0,3.0,3.0,2022-09-25,JAX,LAC,*,28,39,71.8,262,3,0,6.7,8.26,115.5,0,0,3,7,0,2.3,0,23.18,2022,Trevor Lawrence
21.0,21.0,4.0,4.0,2022-10-02,JAX,PHI,*,11,23,47.8,174,2,1,7.6,7.35,84.3,4,26,2,7,0,3.5,4,5.66,2022,Trevor Lawrence
22.0,22.0,5.0,5.0,2022-10-09,JAX,HOU,*,25,47,53.2,286,0,2,6.1,4.17,54.0,0,0,4,29,0,7.3,0,10.34,2022,Trevor Lawrence
23.0,23.0,6.0,6.0,2022-10-16,JAX,IND,*,20,22,90.9,165,1,0,7.5,8.41,113.1,4,29,6,23,2,3.8,0,24.9,2022,Trevor Lawrence
