Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2021,1.0,2021-09-12,HOU,28,51,332,3,3,1,-2,0,19.08,23.5625,33.6875,270.3125,1.875,0.1875,3.625,10.0,0.1875,2.0625,0.1875,20.2,Trevor Lawrence
2021,2.0,2021-09-19,DEN,14,33,118,1,2,2,21,0,6.819999999999999,23.25,35.25,253.1875,1.3125,0.625,4.3125,23.625,0.5,2.625,0.0625,19.7,Trevor Lawrence
2021,3.0,2021-09-26,ARI,22,34,219,1,2,6,27,0,7.460000000000001,22.75,35.5625,246.0625,1.5625,0.6875,4.875,28.3125,0.1875,2.9375,,18.6,Trevor Lawrence
2021,4.0,2021-09-30,CIN,17,24,204,0,0,8,36,1,17.759999999999998,21.1875,33.6875,245.1875,2.0,0.6875,4.5,17.1875,0.0625,1.0625,,18.3,Trevor Lawrence
2021,5.0,2021-10-10,TEN,23,33,273,1,1,7,28,1,21.72,26.375,39.25,286.6875,2.25,0.9375,3.6875,14.125,0.1875,1.1875,0.0625,21.2,Trevor Lawrence
2021,6.0,2021-10-17,MIA,25,41,319,1,0,2,11,0,15.86,21.4375,34.0,273.3125,1.3125,1.125,4.3125,19.8125,0.3125,2.5625,,17.2,Trevor Lawrence
2021,8.0,2021-10-31,SEA,32,54,238,1,1,3,11,0,12.62,28.125,42.125,300.6875,1.4375,0.875,5.0625,20.8125,0.3125,2.875,0.125,19.7,Trevor Lawrence
2021,9.0,2021-11-07,BUF,15,26,118,0,0,3,4,0,5.12,23.0,35.75,244.625,1.4375,0.9375,3.9375,20.4375,0.4375,2.375,0.3125,18.3,Trevor Lawrence
2021,10.0,2021-11-14,IND,16,35,162,0,0,5,33,0,5.780000000000001,22.9375,35.0,255.0,1.5,0.9375,3.75,13.8125,0.3125,2.5,,17.0,Trevor Lawrence
2021,11.0,2021-11-21,SF,16,25,158,0,0,3,23,0,8.620000000000001,21.25,33.4375,219.625,1.5625,0.75,5.8125,27.875,0.125,1.875,0.0625,16.7,Trevor Lawrence
2021,12.0,2021-11-28,ATL,23,42,228,1,1,5,39,0,13.02,26.5625,38.9375,307.375,2.125,0.6875,4.0625,21.5,0.375,1.8125,0.125,23.3,Trevor Lawrence
2021,13.0,2021-12-05,LAR,16,28,145,0,0,4,10,0,4.8,21.6875,34.25,212.5625,1.0625,0.875,3.5625,15.125,0.25,3.3125,,13.5,Trevor Lawrence
2021,14.0,2021-12-12,TEN,24,40,221,0,4,1,2,0,1.0399999999999991,26.375,39.25,286.6875,2.25,0.9375,3.6875,14.125,0.1875,1.1875,0.0625,21.2,Trevor Lawrence
2021,15.0,2021-12-19,HOU,22,38,210,0,0,5,21,0,10.5,23.5625,33.6875,270.3125,1.875,0.1875,3.625,10.0,0.1875,2.0625,0.1875,20.2,Trevor Lawrence
2021,16.0,2021-12-26,NYJ,26,39,280,0,0,6,37,0,10.9,26.0,37.6875,285.1875,2.0625,0.625,5.0625,18.0,0.3125,1.9375,,22.0,Trevor Lawrence
2022,17.0,2022-01-02,NE,17,27,193,1,3,2,16,0,7.3199999999999985,18.764705882352942,31.647058823529413,202.1764705882353,1.2352941176470589,1.3529411764705883,4.176470588235294,17.11764705882353,0.11764705882352941,2.1176470588235294,,12.5,Trevor Lawrence
2022,18.0,2022-01-09,IND,23,32,223,2,0,10,17,0,18.62,22.941176470588236,35.05882352941177,247.23529411764707,1.8823529411764706,1.1176470588235294,4.235294117647059,22.470588235294116,0.0,1.9411764705882353,0.17647058823529413,17.5,Trevor Lawrence
2022,1.0,2022-09-11,WAS,24,42,275,1,1,2,4,0,13.4,23.529411764705884,35.11764705882353,265.88235294117646,2.0,0.6470588235294118,4.882352941176471,28.0,0.29411764705882354,2.235294117647059,,21.5,Trevor Lawrence
2022,2.0,2022-09-18,IND,25,30,235,2,0,3,11,0,18.5,22.941176470588236,35.05882352941177,247.23529411764707,1.8823529411764706,1.1176470588235294,4.235294117647059,22.470588235294116,0.0,1.9411764705882353,0.17647058823529413,17.5,Trevor Lawrence
2022,3.0,2022-09-25,LAC,28,39,262,3,0,3,7,0,23.18,20.941176470588236,32.76470588235294,234.76470588235293,1.588235294117647,0.6470588235294118,3.411764705882353,17.294117647058822,0.17647058823529413,2.0588235294117645,0.17647058823529413,17.1,Trevor Lawrence
2022,4.0,2022-10-02,PHI,11,23,174,2,1,2,7,0,5.66,24.058823529411764,34.64705882352941,233.88235294117646,1.6470588235294117,0.7058823529411765,3.8823529411764706,10.294117647058824,0.23529411764705882,1.7058823529411764,0.058823529411764705,17.0,Trevor Lawrence
2022,5.0,2022-10-09,HOU,25,47,286,0,2,4,29,0,10.34,21.352941176470587,32.11764705882353,255.41176470588235,1.588235294117647,1.0,4.0,10.352941176470589,0.29411764705882354,1.8823529411764706,0.11764705882352941,17.5,Trevor Lawrence
2022,6.0,2022-10-16,IND,20,22,165,1,0,6,23,2,24.9,22.941176470588236,35.05882352941177,247.23529411764707,1.8823529411764706,1.1176470588235294,4.235294117647059,22.470588235294116,0.0,1.9411764705882353,0.17647058823529413,17.5,Trevor Lawrence
2022,7.0,2022-10-23,NYG,22,43,310,0,0,4,3,1,18.700000000000003,23.58823529411765,35.8235294117647,236.58823529411765,1.588235294117647,0.8235294117647058,3.235294117647059,13.470588235294118,0.11764705882352941,2.0,,16.0,Trevor Lawrence
2022,8.0,2022-10-30,DEN,18,31,133,1,2,3,15,0,4.82,20.058823529411764,33.05882352941177,229.47058823529412,1.2941176470588236,0.7647058823529411,4.352941176470588,18.11764705882353,0.11764705882352941,2.1176470588235294,,15.2,Trevor Lawrence
2022,9.0,2022-11-06,LV,25,31,235,1,0,6,53,0,16.7,23.470588235294116,35.529411764705884,234.11764705882354,1.7058823529411764,0.35294117647058826,3.9411764705882355,16.41176470588235,0.058823529411764705,2.0,0.23529411764705882,17.3,Trevor Lawrence
2022,10.0,2022-11-13,KC,29,40,259,2,0,4,26,0,20.96,23.41176470588235,35.64705882352941,261.29411764705884,1.5294117647058822,0.8823529411764706,4.470588235294118,22.88235294117647,0.4117647058823529,1.8235294117647058,0.058823529411764705,19.4,Trevor Lawrence
2022,12.0,2022-11-27,BAL,29,37,321,3,0,2,1,0,20.94,23.352941176470587,36.470588235294116,293.29411764705884,1.8235294117647058,0.5294117647058824,2.411764705882353,7.352941176470588,0.11764705882352941,1.8823529411764706,0.058823529411764705,19.1,Trevor Lawrence
2022,13.0,2022-12-04,DET,17,31,179,1,0,4,32,0,14.36,21.11764705882353,31.941176470588236,256.52941176470586,1.8235294117647058,0.6470588235294118,4.352941176470588,15.705882352941176,0.0,1.7647058823529411,0.058823529411764705,17.8,Trevor Lawrence
2022,14.0,2022-12-11,TEN,30,42,368,3,0,3,7,1,33.42,23.235294117647058,36.88235294117647,263.8235294117647,1.411764705882353,0.9411764705882353,3.6470588235294117,13.529411764705882,0.29411764705882354,2.5294117647058822,0.058823529411764705,17.5,Trevor Lawrence
2022,15.0,2022-12-18,DAL,27,42,318,4,1,3,21,0,26.82,21.294117647058822,35.76470588235294,254.1764705882353,1.411764705882353,1.5294117647058822,4.411764705882353,18.529411764705884,0.23529411764705882,2.411764705882353,0.11764705882352941,15.9,Trevor Lawrence
2022,16.0,2022-12-22,NYJ,20,31,229,0,0,7,51,1,18.26,23.470588235294116,34.294117647058826,271.2352941176471,1.588235294117647,0.4117647058823529,4.176470588235294,17.529411764705884,0.17647058823529413,1.9411764705882353,0.058823529411764705,19.1,Trevor Lawrence
2023,17.0,2023-01-01,HOU,17,21,152,0,1,2,4,0,2.4800000000000004,19.764705882352942,30.705882352941178,222.05882352941177,0.8823529411764706,0.9411764705882353,5.0,17.41176470588235,0.11764705882352941,2.2941176470588234,0.058823529411764705,12.9,Trevor Lawrence
