Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,6.0,6.0,2020-10-18,MIA,NYJ,,2,2,100.0,9,0,0,4.5,4.5,85.4,0,0,0,0,0,,0,0.36,2020,Tua Tagovailoa
2.0,2.0,7.0,8.0,2020-11-01,MIA,LAR,*,12,22,54.5,93,1,0,4.2,5.14,80.3,1,3,2,0,0,0.0,1,5.720000000000001,2020,Tua Tagovailoa
3.0,3.0,8.0,9.0,2020-11-08,MIA,ARI,*,20,28,71.4,248,2,0,8.9,10.29,122.3,3,27,7,35,0,5.0,0,21.42,2020,Tua Tagovailoa
4.0,4.0,9.0,10.0,2020-11-15,MIA,LAC,*,15,25,60.0,169,2,0,6.8,8.36,106.9,0,0,6,-1,0,-0.2,0,14.66,2020,Tua Tagovailoa
5.0,5.0,10.0,11.0,2020-11-22,MIA,DEN,*,11,20,55.0,83,1,0,4.2,5.15,81.9,6,33,0,0,0,,0,7.32,2020,Tua Tagovailoa
6.0,6.0,12.0,13.0,2020-12-06,MIA,CIN,*,26,39,66.7,296,1,0,7.6,8.1,97.8,0,0,3,3,0,1.0,0,16.14,2020,Tua Tagovailoa
7.0,7.0,13.0,14.0,2020-12-13,MIA,KC,*,28,48,58.3,316,2,1,6.6,6.48,83.3,4,29,6,24,1,4.0,0,27.04,2020,Tua Tagovailoa
8.0,8.0,14.0,15.0,2020-12-20,MIA,NE,*,20,26,76.9,145,0,1,5.6,3.85,73.4,2,12,3,9,2,3.0,0,16.7,2020,Tua Tagovailoa
9.0,9.0,15.0,16.0,2020-12-26,MIA,LV,*,17,22,77.3,94,1,0,4.3,5.18,99.4,3,23,3,11,0,3.7,0,8.86,2020,Tua Tagovailoa
10.0,10.0,16.0,17.0,2021-01-03,MIA,BUF,*,35,58,60.3,361,1,3,6.2,4.24,62.5,1,9,6,28,0,4.7,0,15.239999999999998,2021,Tua Tagovailoa
11.0,11.0,1.0,1.0,2021-09-12,MIA,NE,*,16,27,59.3,202,1,1,7.5,6.56,79.6,2,17,4,1,1,0.3,0,16.18,2021,Tua Tagovailoa
12.0,12.0,2.0,2.0,2021-09-19,MIA,BUF,*,1,4,25.0,13,0,0,3.3,3.25,40.6,2,13,0,0,0,,0,0.52,2021,Tua Tagovailoa
13.0,13.0,6.0,6.0,2021-10-17,MIA,JAX,*,33,47,70.2,329,2,1,7.0,6.89,95.1,0,0,3,22,0,7.3,0,21.36,2021,Tua Tagovailoa
14.0,14.0,7.0,7.0,2021-10-24,MIA,ATL,*,32,40,80.0,291,4,2,7.3,7.03,109.5,1,10,4,29,0,7.3,0,26.54,2021,Tua Tagovailoa
15.0,15.0,8.0,8.0,2021-10-31,MIA,BUF,*,21,39,53.8,205,0,1,5.3,4.1,58.2,2,11,4,10,1,2.5,1,11.2,2021,Tua Tagovailoa
16.0,16.0,10.0,10.0,2021-11-11,MIA,BAL,,8,13,61.5,158,0,0,12.2,12.15,104.0,1,6,3,0,1,0.0,1,10.32,2021,Tua Tagovailoa
17.0,17.0,11.0,11.0,2021-11-21,MIA,NYJ,*,27,33,81.8,273,2,1,8.3,8.12,108.7,0,0,3,6,0,2.0,0,17.520000000000003,2021,Tua Tagovailoa
18.0,18.0,12.0,12.0,2021-11-28,MIA,CAR,*,27,31,87.1,230,1,0,7.4,8.06,108.3,2,26,4,0,0,0.0,2,9.2,2021,Tua Tagovailoa
19.0,19.0,13.0,13.0,2021-12-05,MIA,NYG,*,30,41,73.2,244,2,0,6.0,6.93,104.1,2,15,2,1,0,0.5,0,17.86,2021,Tua Tagovailoa
20.0,20.0,14.0,15.0,2021-12-19,MIA,NYJ,*,16,27,59.3,196,2,2,7.3,5.41,75.5,1,0,7,19,0,2.7,1,11.739999999999998,2021,Tua Tagovailoa
21.0,21.0,15.0,16.0,2021-12-27,MIA,NO,*,19,26,73.1,198,1,1,7.6,6.65,91.5,2,25,1,1,0,1.0,1,8.02,2021,Tua Tagovailoa
22.0,22.0,16.0,17.0,2022-01-02,MIA,TEN,*,18,38,47.4,205,0,1,5.4,4.21,53.1,4,23,2,1,0,0.5,3,0.29999999999999893,2022,Tua Tagovailoa
23.0,23.0,17.0,18.0,2022-01-09,MIA,NE,*,15,22,68.2,109,1,0,5.0,5.86,94.7,1,6,5,38,0,7.6,0,12.16,2022,Tua Tagovailoa
24.0,24.0,1.0,1.0,2022-09-11,MIA,NE,*,23,33,69.7,270,1,0,8.2,8.79,104.4,3,28,2,0,0,0.0,1,12.8,2022,Tua Tagovailoa
25.0,25.0,2.0,2.0,2022-09-18,MIA,BAL,*,36,50,72.0,469,6,2,9.4,9.98,124.1,1,8,1,1,0,1.0,0,38.86000000000001,2022,Tua Tagovailoa
26.0,26.0,3.0,3.0,2022-09-25,MIA,BUF,*,13,18,72.2,186,1,0,10.3,11.44,123.8,1,7,1,0,0,0.0,0,11.440000000000001,2022,Tua Tagovailoa
27.0,27.0,4.0,4.0,2022-09-29,MIA,CIN,*,8,14,57.1,110,0,1,7.9,4.64,52.7,1,10,0,0,0,,0,2.4000000000000004,2022,Tua Tagovailoa
28.0,28.0,7.0,7.0,2022-10-23,MIA,PIT,*,21,35,60.0,261,1,0,7.5,8.03,92.7,0,0,4,15,0,3.8,0,15.94,2022,Tua Tagovailoa
29.0,29.0,8.0,8.0,2022-10-30,MIA,DET,*,29,36,80.6,382,3,0,10.6,12.28,138.7,2,13,5,19,0,3.8,0,29.18,2022,Tua Tagovailoa
30.0,30.0,9.0,9.0,2022-11-06,MIA,CHI,*,21,30,70.0,302,3,0,10.1,12.07,135.7,0,0,5,0,0,0.0,1,22.08,2022,Tua Tagovailoa
31.0,31.0,10.0,10.0,2022-11-13,MIA,CLE,*,25,32,78.1,285,3,0,8.9,10.78,135.0,0,0,1,0,0,0.0,0,23.4,2022,Tua Tagovailoa
32.0,32.0,11.0,12.0,2022-11-27,MIA,HOU,*,22,36,61.1,299,1,0,8.3,8.86,96.9,4,26,0,0,0,,0,15.96,2022,Tua Tagovailoa
33.0,33.0,12.0,13.0,2022-12-04,MIA,SF,*,18,33,54.5,295,2,2,8.9,7.42,79.7,3,20,0,0,0,,1,13.8,2022,Tua Tagovailoa
34.0,34.0,13.0,14.0,2022-12-11,MIA,LAC,*,10,28,35.7,145,1,0,5.2,5.89,65.3,2,18,3,28,0,9.3,0,12.600000000000001,2022,Tua Tagovailoa
35.0,35.0,14.0,15.0,2022-12-17,MIA,BUF,*,17,30,56.7,234,2,0,7.8,9.13,104.0,2,17,1,7,0,7.0,1,16.06,2022,Tua Tagovailoa
36.0,36.0,15.0,16.0,2022-12-25,MIA,GB,*,16,25,64.0,310,1,3,12.4,7.8,80.8,2,16,1,0,0,0.0,2,6.399999999999999,2022,Tua Tagovailoa
37.0,37.0,1.0,1.0,2023-09-10,MIA,LAC,*,28,45,62.2,466,3,1,10.4,10.69,110.0,0,0,5,5,0,1.0,2,25.14,2023,Tua Tagovailoa
38.0,38.0,2.0,2.0,2023-09-17,MIA,NE,*,21,30,70.0,249,1,1,8.3,7.47,92.2,1,5,4,3,0,0.8,2,8.260000000000002,2023,Tua Tagovailoa
39.0,39.0,3.0,3.0,2023-09-24,MIA,DEN,*,23,26,88.5,309,4,0,11.9,14.96,155.8,0,0,0,0,0,,0,28.36,2023,Tua Tagovailoa
40.0,40.0,4.0,4.0,2023-10-01,MIA,BUF,*,25,35,71.4,282,1,1,8.1,7.34,92.8,4,31,2,7,0,3.5,1,11.979999999999999,2023,Tua Tagovailoa
41.0,41.0,5.0,5.0,2023-10-08,MIA,NYG,*,22,30,73.3,308,2,2,10.3,8.6,100.4,1,6,2,6,0,3.0,0,16.92,2023,Tua Tagovailoa
42.0,42.0,6.0,6.0,2023-10-15,MIA,CAR,*,21,31,67.7,262,3,0,8.5,10.39,126.0,0,0,1,0,0,0.0,1,20.48,2023,Tua Tagovailoa
43.0,43.0,7.0,7.0,2023-10-22,MIA,PHI,*,23,32,71.9,216,1,1,6.8,5.97,87.5,3,10,1,-3,0,-3.0,0,10.34,2023,Tua Tagovailoa
44.0,44.0,8.0,8.0,2023-10-29,MIA,NE,*,30,45,66.7,324,3,1,7.2,7.53,100.6,2,12,6,8,0,1.3,1,21.76,2023,Tua Tagovailoa
45.0,45.0,9.0,9.0,2023-11-05,MIA,KC,*,21,34,61.8,193,1,0,5.7,6.26,87.0,3,18,2,7,0,3.5,1,10.419999999999998,2023,Tua Tagovailoa
46.0,46.0,10.0,11.0,2023-11-19,MIA,LV,*,28,39,71.8,325,2,1,8.3,8.21,103.0,1,2,2,6,0,3.0,1,17.6,2023,Tua Tagovailoa
47.0,47.0,11.0,12.0,2023-11-24,MIA,NYJ,*,21,30,70.0,243,1,2,8.1,5.77,77.5,2,15,2,1,0,0.5,1,7.82,2023,Tua Tagovailoa
48.0,48.0,12.0,13.0,2023-12-03,MIA,WAS,*,18,24,75.0,280,2,0,11.7,13.33,141.0,0,0,0,0,0,,0,19.2,2023,Tua Tagovailoa
49.0,49.0,13.0,14.0,2023-12-11,MIA,TEN,*,23,33,69.7,240,0,0,7.3,7.27,90.5,5,32,3,15,0,5.0,2,7.1,2023,Tua Tagovailoa
50.0,50.0,14.0,15.0,2023-12-17,MIA,NYJ,*,21,24,87.5,224,1,0,9.3,10.17,119.4,3,15,0,0,0,,0,12.96,2023,Tua Tagovailoa
51.0,51.0,15.0,16.0,2023-12-24,MIA,DAL,*,24,37,64.9,293,1,0,7.9,8.46,98.1,1,9,2,-2,0,-1.0,1,13.520000000000001,2023,Tua Tagovailoa
52.0,52.0,16.0,17.0,2023-12-31,MIA,BAL,*,22,38,57.9,237,2,2,6.2,4.92,71.9,3,16,2,14,0,7.0,0,14.879999999999999,2023,Tua Tagovailoa
53.0,53.0,17.0,18.0,2024-01-07,MIA,BUF,*,17,27,63.0,173,1,2,6.4,3.81,62.7,0,0,1,7,0,7.0,0,7.619999999999999,2024,Tua Tagovailoa
54.0,54.0,1.0,1.0,2024-09-08,MIA,JAX,*,23,37,62.2,338,1,0,9.1,9.68,101.0,3,19,1,11,0,11.0,0,18.62,2024,Tua Tagovailoa
55.0,55.0,2.0,2.0,2024-09-12,MIA,BUF,*,17,25,68.0,145,1,3,5.8,1.2,56.7,1,6,2,17,0,8.5,0,5.5,2024,Tua Tagovailoa
56.0,56.0,7.0,8.0,2024-10-27,MIA,ARI,*,28,38,73.7,234,1,0,6.2,6.68,97.9,1,7,3,13,0,4.3,3,8.66,2024,Tua Tagovailoa
57.0,57.0,8.0,9.0,2024-11-03,MIA,BUF,*,25,28,89.3,231,2,0,8.3,9.68,124.9,1,7,2,3,0,1.5,0,17.540000000000003,2024,Tua Tagovailoa
58.0,58.0,9.0,10.0,2024-11-11,MIA,LAR,*,20,28,71.4,207,1,1,7.4,6.5,89.4,3,36,1,-1,0,-1.0,1,8.18,2024,Tua Tagovailoa
59.0,59.0,10.0,11.0,2024-11-17,MIA,LV,*,28,36,77.8,288,3,0,8.0,9.67,127.8,2,17,0,0,0,,1,21.52,2024,Tua Tagovailoa
60.0,60.0,11.0,12.0,2024-11-24,MIA,NE,*,29,40,72.5,317,4,0,7.9,9.93,128.9,2,9,3,-2,0,-0.7,0,28.48,2024,Tua Tagovailoa
61.0,61.0,12.0,13.0,2024-11-28,MIA,GB,*,37,46,80.4,365,2,0,7.9,8.8,114.2,5,29,2,6,0,3.0,0,23.200000000000003,2024,Tua Tagovailoa
62.0,62.0,13.0,14.0,2024-12-08,MIA,NYJ,*,33,47,70.2,331,2,0,7.0,7.89,104.1,0,0,1,3,0,3.0,0,21.540000000000003,2024,Tua Tagovailoa
63.0,63.0,14.0,15.0,2024-12-15,MIA,HOU,*,29,40,72.5,196,1,3,4.9,2.03,60.0,3,24,0,0,0,,1,3.84,2024,Tua Tagovailoa
64.0,64.0,15.0,16.0,2024-12-22,MIA,SF,*,22,34,64.7,215,1,0,6.3,6.91,92.2,0,0,2,-1,0,-0.5,1,10.5,2024,Tua Tagovailoa
